1,伊藤 将吉,伊藤 将吉.1,2,大野 芳顕,大野 芳顕.1,3,森林 太,森林 太.1,4,大橋　純一郎,大橋　純一郎.1,5,木村 亮太,木村 亮太.1,6,香月 大輝,香月 大輝.1
2.0,3.0,10.3,1.0,3.0,92.6,1.0,2.0,304.3,1.0,2.0,25.0,1.0,2.0,277.7,1.0,2.0,1368.0
2.0,4.0,3.4,1.0,4.0,35.2,1.0,4.0,263.6,1.0,3.0,87.3,1.0,3.0,643.5,1.0,3.0,2093.0
2.0,5.0,15.2,1.0,5.0,98.8,1.0,5.0,423.8,1.0,5.0,40.5,1.0,4.0,226.6,1.0,4.0,1700.0
2.0,6.0,114.2,1.0,6.0,494.8,1.0,6.0,1484.0,1.0,6.0,241.8,1.0,6.0,1113.0,1.0,5.0,2622.0
3.0,2.0,23.1,3.0,1.0,378.1,2.0,1.0,478.7,2.0,1.0,56.5,2.0,1.0,572.6,2.0,1.0,2093.0
3.0,4.0,17.4,3.0,4.0,553.4,2.0,4.0,637.6,2.0,3.0,256.4,2.0,3.0,1764.0,2.0,3.0,3843.0
3.0,5.0,53.8,3.0,5.0,1031.0,2.0,5.0,1159.0,2.0,5.0,128.8,2.0,4.0,615.2,2.0,4.0,2550.0
3.0,6.0,358.7,3.0,6.0,2338.0,2.0,6.0,2777.0,2.0,6.0,599.5,2.0,6.0,2226.0,2.0,5.0,5101.0
4.0,2.0,4.7,4.0,1.0,80.5,4.0,1.0,406.6,3.0,1.0,361.5,3.0,1.0,1576.0,3.0,1.0,4922.0
4.0,3.0,11.3,4.0,3.0,297.2,4.0,2.0,631.9,3.0,2.0,515.7,3.0,2.0,3896.0,3.0,2.0,5969.0
4.0,5.0,10.7,4.0,5.0,243.7,4.0,5.0,801.6,3.0,5.0,609.9,3.0,4.0,2338.0,3.0,4.0,4922.0
4.0,6.0,87.6,4.0,6.0,1023.0,4.0,6.0,3016.0,3.0,6.0,2004.0,3.0,6.0,5195.0,3.0,5.0,5969.0
5.0,2.0,47.9,5.0,1.0,507.3,5.0,1.0,832.5,5.0,1.0,84.4,4.0,1.0,272.6,4.0,1.0,2550.0
5.0,3.0,97.8,5.0,3.0,1135.0,5.0,2.0,1921.0,5.0,2.0,127.1,4.0,2.0,437.7,4.0,2.0,3262.0
5.0,4.0,41.1,5.0,4.0,497.4,5.0,4.0,1446.0,5.0,3.0,426.4,4.0,3.0,1214.0,4.0,3.0,4922.0
5.0,6.0,380.1,5.0,6.0,2209.0,5.0,6.0,3843.0,5.0,6.0,527.3,4.0,6.0,1690.0,4.0,5.0,4126.0
6.0,2.0,422.5,6.0,1.0,2527.0,6.0,1.0,4187.0,6.0,1.0,981.0,6.0,1.0,2078.0,5.0,1.0,5501.0
6.0,3.0,663.2,6.0,3.0,4525.0,6.0,2.0,4316.0,6.0,2.0,1576.0,6.0,2.0,5395.0,5.0,2.0,5845.0
6.0,4.0,408.4,6.0,4.0,2597.0,6.0,4.0,5195.0,6.0,3.0,2550.0,6.0,3.0,5501.0,5.0,3.0,6376.0
6.0,5.0,779.3,6.0,5.0,4008.0,6.0,5.0,6843.0,6.0,5.0,1438.0,6.0,4.0,4453.0,5.0,4.0,4922.0
