1,岡部 浩,岡部 浩.1,2,松尾 充,松尾 充.1,3,松崎　祐太郎,松崎　祐太郎.1,4,天野 誠,天野 誠.1,5,高山 敬悟,高山 敬悟.1,6,澤 大介,澤 大介.1
2.0,3.0,24.2,1.0,3.0,17.1,1.0,2.0,35.2,1.0,2.0,712.6,1.0,2.0,1366.0,1.0,2.0,69.0
2.0,4.0,107.2,1.0,4.0,105.4,1.0,4.0,117.5,1.0,3.0,1070.0,1.0,3.0,1303.0,1.0,3.0,71.2
2.0,5.0,209.8,1.0,5.0,130.3,1.0,5.0,171.2,1.0,5.0,2211.0,1.0,4.0,1336.0,1.0,4.0,249.0
2.0,6.0,43.1,1.0,6.0,31.2,1.0,6.0,43.2,1.0,6.0,1241.0,1.0,6.0,1366.0,1.0,5.0,201.1
3.0,2.0,25.5,3.0,1.0,15.3,2.0,1.0,23.8,2.0,1.0,784.6,2.0,1.0,1447.0,2.0,1.0,59.2
3.0,4.0,100.5,3.0,4.0,29.1,2.0,4.0,39.2,2.0,3.0,397.8,2.0,3.0,698.9,2.0,3.0,25.6
3.0,5.0,214.1,3.0,5.0,48.4,2.0,5.0,64.5,2.0,5.0,1387.0,2.0,4.0,2133.0,2.0,4.0,117.2
3.0,6.0,39.2,3.0,6.0,6.9,2.0,6.0,12.1,2.0,6.0,622.6,2.0,6.0,846.5,2.0,5.0,91.3
4.0,2.0,239.2,4.0,1.0,227.3,4.0,1.0,242.1,3.0,1.0,1079.0,3.0,1.0,1232.0,3.0,1.0,62.1
4.0,3.0,292.1,4.0,3.0,92.9,4.0,2.0,137.3,3.0,2.0,459.5,3.0,2.0,761.7,3.0,2.0,28.2
4.0,5.0,631.2,4.0,5.0,491.7,4.0,5.0,444.4,3.0,5.0,1425.0,3.0,4.0,1890.0,3.0,4.0,115.2
4.0,6.0,375.3,4.0,6.0,133.4,4.0,6.0,131.4,3.0,6.0,492.4,3.0,6.0,900.9,3.0,5.0,104.8
5.0,2.0,528.0,5.0,1.0,268.2,5.0,1.0,448.2,5.0,1.0,2785.0,4.0,1.0,3092.0,4.0,1.0,528.7
5.0,3.0,570.1,5.0,3.0,213.7,5.0,2.0,234.3,5.0,2.0,2211.0,4.0,2.0,3040.0,4.0,2.0,293.3
5.0,4.0,1070.0,5.0,4.0,764.9,5.0,4.0,671.9,5.0,3.0,1666.0,4.0,3.0,2606.0,4.0,3.0,266.7
5.0,6.0,682.0,5.0,6.0,301.5,5.0,6.0,281.3,5.0,6.0,2004.0,4.0,6.0,2850.0,4.0,5.0,563.0
6.0,2.0,71.2,6.0,1.0,43.4,6.0,1.0,45.4,6.0,1.0,1200.0,6.0,1.0,1126.0,5.0,1.0,242.1
6.0,3.0,61.8,6.0,3.0,18.7,6.0,2.0,19.9,6.0,2.0,734.1,6.0,2.0,834.9,5.0,2.0,138.3
6.0,4.0,200.2,6.0,4.0,79.0,6.0,4.0,70.5,6.0,3.0,611.1,6.0,3.0,784.6,5.0,3.0,135.7
6.0,5.0,340.3,6.0,5.0,115.1,6.0,5.0,102.4,6.0,5.0,1861.0,6.0,4.0,1697.0,5.0,4.0,339.0
