1,宮脇 遼太,宮脇 遼太.1,2,田中 京介,田中 京介.1,3,篠原 飛翔,篠原 飛翔.1,4,加倉 侑征,加倉 侑征.1,5,鶴田 勇雄,鶴田 勇雄.1,6,池永 太,池永 太.1
2.0,3.0,14.9,1.0,3.0,52.0,1.0,2.0,120.9,1.0,2.0,420.4,1.0,2.0,140.6,1.0,2.0,68.1
2.0,4.0,35.2,1.0,4.0,107.1,1.0,4.0,186.6,1.0,3.0,458.0,1.0,3.0,177.3,1.0,3.0,98.7
2.0,5.0,18.0,1.0,5.0,45.3,1.0,5.0,86.1,1.0,5.0,385.5,1.0,4.0,392.3,1.0,4.0,271.7
2.0,6.0,12.9,1.0,6.0,33.6,1.0,6.0,71.2,1.0,6.0,322.0,1.0,6.0,90.3,1.0,5.0,101.5
3.0,2.0,20.8,3.0,1.0,82.9,2.0,1.0,125.5,2.0,1.0,465.5,2.0,1.0,165.7,2.0,1.0,104.5
3.0,4.0,40.2,3.0,4.0,165.1,2.0,4.0,230.8,2.0,3.0,498.0,2.0,3.0,201.5,2.0,3.0,130.3
3.0,5.0,21.4,3.0,5.0,64.7,2.0,5.0,101.4,2.0,5.0,425.8,2.0,4.0,434.1,2.0,4.0,335.0
3.0,6.0,17.3,3.0,6.0,51.6,2.0,6.0,84.0,2.0,6.0,394.6,2.0,6.0,100.5,2.0,5.0,82.3
4.0,2.0,80.2,4.0,1.0,254.7,4.0,1.0,326.3,3.0,1.0,573.8,3.0,1.0,241.4,3.0,1.0,178.3
4.0,3.0,80.8,4.0,3.0,290.6,4.0,2.0,343.1,3.0,2.0,582.2,3.0,2.0,274.6,3.0,2.0,233.5
4.0,5.0,83.0,4.0,5.0,259.0,4.0,5.0,267.6,3.0,5.0,503.0,3.0,4.0,594.3,3.0,4.0,610.7
4.0,6.0,67.4,4.0,6.0,191.8,4.0,6.0,227.1,3.0,6.0,448.7,3.0,6.0,177.5,3.0,5.0,199.7
5.0,2.0,39.1,5.0,1.0,99.3,5.0,1.0,133.9,5.0,1.0,541.1,4.0,1.0,768.0,4.0,1.0,550.1
5.0,3.0,41.2,5.0,3.0,98.8,5.0,2.0,155.0,5.0,2.0,578.8,4.0,2.0,811.7,4.0,2.0,672.3
5.0,4.0,97.0,5.0,4.0,268.4,5.0,4.0,291.1,5.0,3.0,654.7,4.0,3.0,849.7,4.0,3.0,818.4
5.0,6.0,31.2,5.0,6.0,51.4,5.0,6.0,88.4,5.0,6.0,314.9,4.0,6.0,459.0,4.0,5.0,536.8
6.0,2.0,22.7,6.0,1.0,63.7,6.0,1.0,120.8,6.0,1.0,423.9,6.0,1.0,91.4,5.0,1.0,125.1
6.0,3.0,34.0,6.0,3.0,70.4,6.0,2.0,122.5,6.0,2.0,410.0,6.0,2.0,86.6,5.0,2.0,91.1
6.0,4.0,81.5,6.0,4.0,197.9,6.0,4.0,265.9,6.0,3.0,550.1,6.0,3.0,134.7,5.0,3.0,145.2
6.0,5.0,28.8,6.0,5.0,51.0,6.0,5.0,101.9,6.0,5.0,303.0,6.0,4.0,329.5,5.0,4.0,387.0
