1,沖島 広和,沖島 広和.1,2,杉山 喜一,杉山 喜一.1,3,谷口 健一,谷口 健一.1,4,雑賀 勇貴,雑賀 勇貴.1,5,荒井 輝年,荒井 輝年.1,6,吉川 昭男,吉川 昭男.1
2.0,3.0,67.4,1.0,3.0,232.4,1.0,2.0,298.9,1.0,2.0,144.4,1.0,2.0,112.4,1.0,2.0,19.1
2.0,4.0,70.9,1.0,4.0,159.3,1.0,4.0,162.3,1.0,3.0,183.2,1.0,3.0,179.8,1.0,3.0,63.5
2.0,5.0,51.9,1.0,5.0,132.9,1.0,5.0,234.2,1.0,5.0,99.7,1.0,4.0,94.1,1.0,4.0,25.0
2.0,6.0,32.6,1.0,6.0,103.2,1.0,6.0,171.3,1.0,6.0,67.6,1.0,6.0,46.5,1.0,5.0,17.2
3.0,2.0,92.5,3.0,1.0,352.3,2.0,1.0,373.6,2.0,1.0,222.2,2.0,1.0,170.6,2.0,1.0,50.8
3.0,4.0,111.8,3.0,4.0,325.9,2.0,4.0,231.1,2.0,3.0,395.8,2.0,3.0,305.2,2.0,3.0,146.6
3.0,5.0,131.5,3.0,5.0,405.0,2.0,5.0,372.0,2.0,5.0,323.4,2.0,4.0,224.0,2.0,4.0,92.0
3.0,6.0,73.5,3.0,6.0,367.3,2.0,6.0,352.3,2.0,6.0,210.4,2.0,6.0,130.5,2.0,5.0,64.5
4.0,2.0,95.5,4.0,1.0,217.8,4.0,1.0,136.7,3.0,1.0,172.6,3.0,1.0,261.9,3.0,1.0,188.4
4.0,3.0,147.4,4.0,3.0,372.0,4.0,2.0,209.9,3.0,2.0,293.8,3.0,2.0,385.2,3.0,2.0,307.4
4.0,5.0,72.4,4.0,5.0,265.9,4.0,5.0,156.4,3.0,5.0,207.8,3.0,4.0,198.8,3.0,4.0,187.2
4.0,6.0,43.4,4.0,6.0,190.9,4.0,6.0,116.8,3.0,6.0,162.0,3.0,6.0,222.2,3.0,5.0,223.4
5.0,2.0,51.7,5.0,1.0,180.2,5.0,1.0,311.8,5.0,1.0,119.7,4.0,1.0,116.0,4.0,1.0,62.6
5.0,3.0,96.4,5.0,3.0,328.3,5.0,2.0,422.8,5.0,2.0,213.5,4.0,2.0,229.9,4.0,2.0,122.0
5.0,4.0,54.5,5.0,4.0,216.1,5.0,4.0,228.7,5.0,3.0,254.2,4.0,3.0,204.4,4.0,3.0,160.5
5.0,6.0,22.2,5.0,6.0,147.1,5.0,6.0,262.6,5.0,6.0,89.8,4.0,6.0,84.7,4.0,5.0,70.6
6.0,2.0,15.8,6.0,1.0,103.8,6.0,1.0,195.2,6.0,1.0,66.9,6.0,1.0,50.1,5.0,1.0,32.5
6.0,3.0,38.8,6.0,3.0,277.8,6.0,2.0,348.1,6.0,2.0,128.8,6.0,2.0,95.2,5.0,2.0,58.1
6.0,4.0,22.8,6.0,4.0,151.2,6.0,4.0,160.8,6.0,3.0,158.4,6.0,3.0,141.8,5.0,3.0,122.7
6.0,5.0,13.5,6.0,5.0,131.3,6.0,5.0,234.9,6.0,5.0,72.7,6.0,4.0,65.6,5.0,4.0,51.9
