1,長野　壮志郎,長野　壮志郎.1,2,佐竹 太一,佐竹 太一.1,3,廣中 良一,廣中 良一.1,4,乙津 康志,乙津 康志.1,5,重成 一人,重成 一人.1,6,川田 正人,川田 正人.1
2.0,3.0,14.9,1.0,3.0,81.0,1.0,2.0,299.9,1.0,2.0,62.5,1.0,2.0,51.1,1.0,2.0,944.3
2.0,4.0,7.5,1.0,4.0,50.7,1.0,4.0,364.5,1.0,3.0,310.7,1.0,3.0,138.1,1.0,3.0,2392.0
2.0,5.0,5.2,1.0,5.0,37.1,1.0,5.0,232.8,1.0,5.0,46.8,1.0,4.0,61.7,1.0,4.0,1905.0
2.0,6.0,42.4,1.0,6.0,169.2,1.0,6.0,738.4,1.0,6.0,296.0,1.0,6.0,97.5,1.0,5.0,864.8
3.0,2.0,31.4,3.0,1.0,323.7,2.0,1.0,483.6,2.0,1.0,132.9,2.0,1.0,118.0,2.0,1.0,2505.0
3.0,4.0,37.0,3.0,4.0,690.3,2.0,4.0,833.1,2.0,3.0,911.9,2.0,3.0,554.4,2.0,3.0,4359.0
3.0,5.0,26.5,3.0,5.0,576.5,2.0,5.0,680.0,2.0,5.0,118.0,2.0,4.0,257.2,2.0,4.0,1552.0
3.0,6.0,118.0,3.0,6.0,1132.0,2.0,6.0,1466.0,2.0,6.0,818.1,2.0,6.0,368.3,2.0,5.0,2791.0
4.0,2.0,15.9,4.0,1.0,193.1,4.0,1.0,813.9,3.0,1.0,805.7,3.0,1.0,472.1,3.0,1.0,4359.0
4.0,3.0,39.0,4.0,3.0,620.3,4.0,2.0,1377.0,3.0,2.0,1273.0,3.0,2.0,1033.0,3.0,2.0,6365.0
4.0,5.0,14.1,4.0,5.0,203.8,4.0,5.0,994.5,3.0,5.0,1036.0,3.0,4.0,1000.0,3.0,4.0,6771.0
4.0,6.0,68.6,4.0,6.0,674.2,4.0,6.0,2093.0,3.0,6.0,1976.0,3.0,6.0,1233.0,3.0,5.0,4680.0
5.0,2.0,8.6,5.0,1.0,95.3,5.0,1.0,425.4,5.0,1.0,54.8,4.0,1.0,127.8,4.0,1.0,3060.0
5.0,3.0,25.1,5.0,3.0,470.1,5.0,2.0,678.5,5.0,2.0,170.1,4.0,2.0,208.0,4.0,2.0,3881.0
5.0,4.0,12.6,5.0,4.0,213.5,5.0,4.0,862.4,5.0,3.0,434.1,4.0,3.0,648.1,4.0,3.0,5487.0
5.0,6.0,30.5,5.0,6.0,401.3,5.0,6.0,1729.0,5.0,6.0,76.4,4.0,6.0,265.2,4.0,5.0,2135.0
6.0,2.0,195.6,6.0,1.0,886.5,6.0,1.0,2505.0,6.0,1.0,799.6,6.0,1.0,270.8,5.0,1.0,1224.0
6.0,3.0,298.5,6.0,3.0,2566.0,6.0,2.0,3315.0,6.0,2.0,1023.0,6.0,2.0,556.3,5.0,2.0,2743.0
6.0,4.0,254.4,6.0,4.0,1729.0,6.0,4.0,4750.0,6.0,3.0,1649.0,6.0,3.0,1108.0,5.0,3.0,4896.0
6.0,5.0,131.8,6.0,5.0,857.8,6.0,5.0,3658.0,6.0,5.0,625.2,6.0,4.0,571.3,5.0,4.0,2107.0
