1,竹田 辰也,竹田 辰也.1,2,大塚 康雅,大塚 康雅.1,3,大崎 翔,大崎 翔.1,4,宮迫 暢彦,宮迫 暢彦.1,5,松浦 勝,松浦 勝.1,6,島田 賢人,島田 賢人.1
2.0,3.0,22.6,1.0,3.0,316.5,1.0,2.0,373.7,1.0,2.0,188.0,1.0,2.0,1336.0,1.0,2.0,26.5
2.0,4.0,19.3,1.0,4.0,267.3,1.0,4.0,275.0,1.0,3.0,238.4,1.0,3.0,1183.0,1.0,3.0,35.8
2.0,5.0,90.9,1.0,5.0,643.5,1.0,5.0,483.3,1.0,5.0,239.0,1.0,4.0,904.3,1.0,4.0,19.5
2.0,6.0,12.3,1.0,6.0,168.9,1.0,6.0,175.8,1.0,6.0,54.5,1.0,6.0,536.6,1.0,5.0,66.7
3.0,2.0,29.7,3.0,1.0,620.6,2.0,1.0,652.5,2.0,1.0,356.0,2.0,1.0,1945.0,2.0,1.0,72.9
3.0,4.0,23.9,3.0,4.0,1184.0,2.0,4.0,1257.0,2.0,3.0,1106.0,2.0,3.0,2378.0,2.0,3.0,198.2
3.0,5.0,92.0,3.0,5.0,1338.0,2.0,5.0,1271.0,2.0,5.0,1075.0,2.0,4.0,2864.0,2.0,4.0,124.0
3.0,6.0,14.9,3.0,6.0,851.8,2.0,6.0,812.8,2.0,6.0,341.9,2.0,6.0,1711.0,2.0,5.0,296.5
4.0,2.0,19.3,4.0,1.0,491.6,4.0,1.0,520.5,3.0,1.0,511.2,3.0,1.0,1986.0,3.0,1.0,111.4
4.0,3.0,25.5,4.0,3.0,1261.0,4.0,2.0,1377.0,3.0,2.0,1303.0,3.0,2.0,2661.0,3.0,2.0,262.1
4.0,5.0,51.2,4.0,5.0,1508.0,4.0,5.0,1398.0,3.0,5.0,1242.0,3.0,4.0,2936.0,3.0,4.0,179.2
4.0,6.0,8.3,4.0,6.0,463.5,4.0,6.0,523.4,3.0,6.0,477.4,3.0,6.0,2247.0,3.0,5.0,424.2
5.0,2.0,191.3,5.0,1.0,1310.0,5.0,1.0,1262.0,5.0,1.0,440.1,4.0,1.0,1229.0,4.0,1.0,36.7
5.0,3.0,188.4,5.0,3.0,1472.0,5.0,2.0,1634.0,5.0,2.0,1134.0,4.0,2.0,2763.0,4.0,2.0,96.3
5.0,4.0,146.4,5.0,4.0,1828.0,5.0,4.0,1961.0,5.0,3.0,1173.0,4.0,3.0,2574.0,4.0,3.0,120.2
5.0,6.0,89.8,5.0,6.0,916.6,5.0,6.0,1215.0,5.0,6.0,306.6,4.0,6.0,853.4,4.0,5.0,142.2
6.0,2.0,11.0,6.0,1.0,254.3,6.0,1.0,262.6,6.0,1.0,56.7,6.0,1.0,738.1,5.0,1.0,211.0
6.0,3.0,12.4,6.0,3.0,721.6,6.0,2.0,725.0,6.0,2.0,185.8,6.0,2.0,1530.0,5.0,2.0,479.8
6.0,4.0,8.3,6.0,4.0,421.9,6.0,4.0,492.4,6.0,3.0,225.3,6.0,3.0,1674.0,5.0,3.0,568.0
6.0,5.0,39.6,6.0,5.0,798.9,6.0,5.0,953.9,6.0,5.0,186.0,6.0,4.0,891.4,5.0,4.0,315.8
