1,澤 大介,澤 大介.1,2,服部 達哉,服部 達哉.1,3,藤丸 光一,藤丸 光一.1,4,檀 将太,檀 将太.1,5,藤田 竜弘,藤田 竜弘.1,6,黒野 元基,黒野 元基.1
2.0,3.0,15.5,1.0,3.0,47.5,1.0,2.0,48.6,1.0,2.0,543.2,1.0,2.0,89.6,1.0,2.0,85.0
2.0,4.0,77.9,1.0,4.0,171.3,1.0,4.0,144.9,1.0,3.0,505.7,1.0,3.0,84.9,1.0,3.0,75.3
2.0,5.0,22.7,1.0,5.0,52.8,1.0,5.0,39.8,1.0,5.0,511.8,1.0,4.0,293.2,1.0,4.0,269.3
2.0,6.0,20.0,1.0,6.0,47.3,1.0,6.0,32.5,1.0,6.0,298.5,1.0,6.0,54.1,1.0,5.0,68.6
3.0,2.0,15.4,3.0,1.0,76.2,2.0,1.0,79.7,2.0,1.0,788.3,2.0,1.0,137.8,2.0,1.0,135.0
3.0,4.0,60.6,3.0,4.0,237.7,2.0,4.0,287.8,2.0,3.0,939.5,2.0,3.0,183.3,2.0,3.0,184.3
3.0,5.0,15.6,3.0,5.0,91.5,2.0,5.0,96.5,2.0,5.0,916.0,2.0,4.0,589.3,2.0,4.0,500.1
3.0,6.0,14.0,3.0,6.0,82.4,2.0,6.0,80.4,2.0,6.0,615.1,2.0,6.0,110.8,2.0,5.0,162.7
4.0,2.0,166.6,4.0,1.0,466.5,4.0,1.0,287.2,3.0,1.0,534.8,3.0,1.0,126.8,3.0,1.0,119.1
4.0,3.0,135.6,4.0,3.0,452.3,4.0,2.0,436.5,3.0,2.0,816.5,3.0,2.0,197.1,3.0,2.0,194.3
4.0,5.0,195.0,4.0,5.0,586.8,4.0,5.0,323.9,3.0,5.0,644.0,3.0,4.0,521.0,3.0,4.0,436.1
4.0,6.0,130.2,4.0,6.0,386.6,4.0,6.0,199.6,3.0,6.0,415.6,3.0,6.0,105.7,3.0,5.0,144.2
5.0,2.0,39.4,5.0,1.0,111.6,5.0,1.0,61.3,5.0,1.0,464.2,4.0,1.0,453.1,4.0,1.0,486.4
5.0,3.0,29.7,5.0,3.0,129.4,5.0,2.0,95.7,5.0,2.0,654.0,4.0,2.0,659.5,4.0,2.0,679.9
5.0,4.0,149.2,5.0,4.0,439.3,5.0,4.0,237.7,5.0,3.0,649.3,4.0,3.0,622.1,4.0,3.0,576.3
5.0,6.0,27.9,5.0,6.0,94.4,5.0,6.0,57.2,5.0,6.0,279.9,4.0,6.0,269.6,4.0,5.0,448.2
6.0,2.0,31.4,6.0,1.0,106.1,6.0,1.0,60.5,6.0,1.0,369.0,6.0,1.0,64.8,5.0,1.0,89.7
6.0,3.0,27.5,6.0,3.0,146.1,6.0,2.0,96.3,6.0,2.0,554.8,6.0,2.0,84.0,5.0,2.0,133.8
6.0,4.0,120.3,6.0,4.0,426.6,6.0,4.0,177.8,6.0,3.0,502.9,6.0,3.0,86.6,5.0,3.0,116.6
6.0,5.0,35.5,6.0,5.0,133.1,6.0,5.0,67.6,6.0,5.0,310.8,6.0,4.0,199.3,5.0,4.0,261.7
