1,高濱 芳久,高濱 芳久.1,2,金田 諭,金田 諭.1,3,森安 弘雅,森安 弘雅.1,4,宗行 治哉,宗行 治哉.1,5,佐々木　裕美,佐々木　裕美.1,6,山ノ内　雅人,山ノ内　雅人.1
2.0,3.0,11.0,1.0,3.0,17.5,1.0,2.0,68.1,1.0,2.0,61.6,1.0,2.0,618.0,1.0,2.0,344.6
2.0,4.0,10.1,1.0,4.0,13.5,1.0,4.0,56.3,1.0,3.0,90.0,1.0,3.0,839.6,1.0,3.0,562.9
2.0,5.0,41.6,1.0,5.0,55.3,1.0,5.0,202.1,1.0,5.0,174.0,1.0,4.0,1005.0,1.0,4.0,345.8
2.0,6.0,28.2,1.0,6.0,34.9,1.0,6.0,104.7,1.0,6.0,84.1,1.0,6.0,806.9,1.0,5.0,1285.0
3.0,2.0,17.0,3.0,1.0,48.1,2.0,1.0,89.2,2.0,1.0,76.8,2.0,1.0,795.9,2.0,1.0,342.9
3.0,4.0,17.3,3.0,4.0,37.3,2.0,4.0,65.4,2.0,3.0,108.3,2.0,3.0,825.2,2.0,3.0,494.8
3.0,5.0,67.3,3.0,5.0,106.8,2.0,5.0,201.8,2.0,5.0,166.3,2.0,4.0,672.4,2.0,4.0,263.3
3.0,6.0,40.0,3.0,6.0,63.7,2.0,6.0,110.4,2.0,6.0,90.9,2.0,6.0,802.5,2.0,5.0,698.3
4.0,2.0,18.7,4.0,1.0,34.1,4.0,1.0,85.2,3.0,1.0,142.8,3.0,1.0,1497.0,3.0,1.0,811.4
4.0,3.0,25.4,4.0,3.0,42.9,4.0,2.0,79.0,3.0,2.0,136.4,3.0,2.0,1252.0,3.0,2.0,589.2
4.0,5.0,65.8,4.0,5.0,82.2,4.0,5.0,196.8,3.0,5.0,320.2,3.0,4.0,1587.0,3.0,4.0,538.9
4.0,6.0,32.6,4.0,6.0,41.6,4.0,6.0,95.7,3.0,6.0,130.9,3.0,6.0,1596.0,3.0,5.0,1545.0
5.0,2.0,147.3,5.0,1.0,240.2,5.0,1.0,473.1,5.0,1.0,280.6,4.0,1.0,1257.0,4.0,1.0,452.5
5.0,3.0,182.9,5.0,3.0,253.9,5.0,2.0,387.3,5.0,2.0,247.0,4.0,2.0,733.5,4.0,2.0,312.0
5.0,4.0,174.4,5.0,4.0,202.4,5.0,4.0,400.6,5.0,3.0,467.0,4.0,3.0,1459.0,4.0,3.0,501.7
5.0,6.0,220.5,5.0,6.0,226.7,5.0,6.0,484.9,5.0,6.0,240.4,4.0,6.0,800.2,4.0,5.0,981.4
6.0,2.0,102.0,6.0,1.0,143.7,6.0,1.0,283.9,6.0,1.0,155.8,6.0,1.0,1520.0,5.0,1.0,2151.0
6.0,3.0,125.8,6.0,3.0,145.9,6.0,2.0,233.1,6.0,2.0,128.0,6.0,2.0,1314.0,5.0,2.0,1782.0
6.0,4.0,88.5,6.0,4.0,96.7,6.0,4.0,210.9,6.0,3.0,181.7,6.0,3.0,1669.0,5.0,3.0,2324.0
6.0,5.0,283.1,6.0,5.0,257.0,6.0,5.0,557.5,6.0,5.0,272.2,6.0,4.0,1125.0,5.0,4.0,1497.0
