1,藤堂 里香,藤堂 里香.1,2,犬童 千秋,犬童 千秋.1,3,實森 美祐,實森 美祐.1,4,筒井 美琴,筒井 美琴.1,5,平川 香織,平川 香織.1,6,大石 真央,大石 真央.1
2.0,3.0,8.7,1.0,3.0,16.1,1.0,2.0,14.1,1.0,2.0,719.2,1.0,2.0,98.2,1.0,2.0,745.5
2.0,4.0,81.8,1.0,4.0,125.0,1.0,4.0,97.3,1.0,3.0,659.7,1.0,3.0,76.7,1.0,3.0,574.9
2.0,5.0,20.4,1.0,5.0,34.1,1.0,5.0,16.4,1.0,5.0,1042.0,1.0,4.0,696.0,1.0,4.0,2601.0
2.0,6.0,56.1,1.0,6.0,80.7,1.0,6.0,58.2,1.0,6.0,1449.0,1.0,6.0,235.7,1.0,5.0,1247.0
3.0,2.0,8.1,3.0,1.0,22.8,2.0,1.0,20.3,2.0,1.0,892.5,2.0,1.0,144.1,2.0,1.0,903.5
3.0,4.0,63.8,3.0,4.0,139.0,2.0,4.0,121.4,2.0,3.0,675.5,2.0,3.0,97.3,2.0,3.0,769.0
3.0,5.0,11.9,3.0,5.0,31.0,2.0,5.0,24.4,2.0,5.0,1333.0,2.0,4.0,795.7,2.0,4.0,1871.0
3.0,6.0,43.0,3.0,6.0,78.2,2.0,6.0,70.8,2.0,6.0,1218.0,2.0,6.0,293.2,2.0,5.0,1449.0
4.0,2.0,222.5,4.0,1.0,365.7,4.0,1.0,221.5,3.0,1.0,723.5,3.0,1.0,80.4,3.0,1.0,609.3
4.0,3.0,207.8,4.0,3.0,343.7,4.0,2.0,218.6,3.0,2.0,697.3,3.0,2.0,83.1,3.0,2.0,751.6
4.0,5.0,360.3,4.0,5.0,625.9,4.0,5.0,220.5,3.0,5.0,867.2,3.0,4.0,490.4,3.0,4.0,2026.0
4.0,6.0,385.7,4.0,6.0,607.3,4.0,6.0,318.9,3.0,6.0,1379.0,3.0,6.0,184.6,3.0,5.0,865.1
5.0,2.0,36.9,5.0,1.0,79.8,5.0,1.0,27.4,5.0,1.0,1410.0,4.0,1.0,1567.0,4.0,1.0,3493.0
5.0,3.0,30.1,5.0,3.0,60.4,5.0,2.0,29.3,5.0,2.0,1730.0,4.0,2.0,1400.0,4.0,2.0,2620.0
5.0,4.0,265.0,5.0,4.0,468.4,5.0,4.0,157.5,5.0,3.0,1194.0,4.0,3.0,1088.0,4.0,3.0,2888.0
5.0,6.0,121.6,5.0,6.0,192.5,5.0,6.0,61.9,5.0,6.0,1780.0,4.0,6.0,1746.0,4.0,5.0,3902.0
6.0,2.0,187.5,6.0,1.0,292.2,6.0,1.0,177.8,6.0,1.0,2620.0,6.0,1.0,426.5,5.0,1.0,1338.0
6.0,3.0,181.4,6.0,3.0,254.0,6.0,2.0,171.6,6.0,2.0,2026.0,6.0,2.0,444.6,5.0,2.0,1384.0
6.0,4.0,629.2,6.0,4.0,820.6,6.0,4.0,484.5,6.0,3.0,2547.0,6.0,3.0,355.4,5.0,3.0,905.7
6.0,5.0,302.9,6.0,5.0,386.1,6.0,5.0,168.1,6.0,5.0,3365.0,6.0,4.0,1455.0,5.0,4.0,3246.0
