1,荒木 颯斗,荒木 颯斗.1,2,笹木 香吾,笹木 香吾.1,3,上原　健次郎,上原　健次郎.1,4,生方 靖亜,生方 靖亜.1,5,中野 孝二,中野 孝二.1,6,砂長 知輝,砂長 知輝.1
2.0,3.0,10.8,1.0,3.0,53.2,1.0,2.0,63.1,1.0,2.0,204.8,1.0,2.0,388.7,1.0,2.0,117.0
2.0,4.0,29.2,1.0,4.0,92.5,1.0,4.0,52.4,1.0,3.0,143.6,1.0,3.0,188.5,1.0,3.0,69.2
2.0,5.0,41.3,1.0,5.0,123.2,1.0,5.0,46.2,1.0,5.0,159.8,1.0,4.0,382.1,1.0,4.0,177.3
2.0,6.0,17.4,1.0,6.0,59.2,1.0,6.0,29.3,1.0,6.0,130.1,1.0,6.0,181.0,1.0,5.0,219.5
3.0,2.0,12.8,3.0,1.0,109.1,2.0,1.0,117.8,2.0,1.0,291.7,2.0,1.0,523.0,2.0,1.0,209.4
3.0,4.0,19.7,3.0,4.0,209.8,2.0,4.0,216.1,2.0,3.0,368.5,2.0,3.0,671.6,2.0,3.0,239.4
3.0,5.0,18.5,3.0,5.0,263.3,2.0,5.0,160.0,2.0,5.0,513.5,2.0,4.0,1158.0,2.0,4.0,378.3
3.0,6.0,11.1,3.0,6.0,132.7,2.0,6.0,132.5,2.0,6.0,330.9,2.0,6.0,641.2,2.0,5.0,627.0
4.0,2.0,54.5,4.0,1.0,260.9,4.0,1.0,94.9,3.0,1.0,203.0,3.0,1.0,202.6,3.0,1.0,98.5
4.0,3.0,36.7,4.0,3.0,286.6,4.0,2.0,180.7,3.0,2.0,326.1,3.0,2.0,508.9,3.0,2.0,206.3
4.0,5.0,64.7,4.0,5.0,561.8,4.0,5.0,101.6,3.0,5.0,245.1,3.0,4.0,390.0,3.0,4.0,211.3
4.0,6.0,41.4,4.0,6.0,253.9,4.0,6.0,80.7,3.0,6.0,164.7,3.0,6.0,244.0,3.0,5.0,236.4
5.0,2.0,92.4,5.0,1.0,354.6,5.0,1.0,91.3,5.0,1.0,184.8,4.0,1.0,480.9,4.0,1.0,289.5
5.0,3.0,53.1,5.0,3.0,470.9,5.0,2.0,210.9,5.0,2.0,353.5,4.0,2.0,793.7,4.0,2.0,399.6
5.0,4.0,105.7,5.0,4.0,741.8,5.0,4.0,157.4,5.0,3.0,246.7,4.0,3.0,491.3,4.0,3.0,329.9
5.0,6.0,59.8,5.0,6.0,445.1,5.0,6.0,87.1,5.0,6.0,166.4,4.0,6.0,329.9,4.0,5.0,443.3
6.0,2.0,36.2,6.0,1.0,139.2,6.0,1.0,49.9,6.0,1.0,154.8,6.0,1.0,244.6,5.0,1.0,327.0
6.0,3.0,21.1,6.0,3.0,183.0,6.0,2.0,127.2,6.0,2.0,283.0,6.0,2.0,606.9,5.0,2.0,597.3
6.0,4.0,50.0,6.0,4.0,250.5,6.0,4.0,96.1,6.0,3.0,188.8,6.0,3.0,298.6,5.0,3.0,348.1
6.0,5.0,56.0,6.0,5.0,480.9,6.0,5.0,81.4,6.0,5.0,205.9,6.0,4.0,415.7,5.0,4.0,439.9
