1,林 祐介,林 祐介.1,2,近藤 稔也,近藤 稔也.1,3,松尾 昂明,松尾 昂明.1,4,尾上 雅也,尾上 雅也.1,5,山本 兼士,山本 兼士.1,6,伊藤 啓三,伊藤 啓三.1
2.0,3.0,51.4,1.0,3.0,252.5,1.0,2.0,54.8,1.0,2.0,42.5,1.0,2.0,1463.0,1.0,2.0,632.0
2.0,4.0,37.4,1.0,4.0,166.3,1.0,4.0,15.7,1.0,3.0,15.4,1.0,3.0,872.0,1.0,3.0,337.1
2.0,5.0,170.2,1.0,5.0,647.0,1.0,5.0,115.8,1.0,5.0,69.7,1.0,4.0,948.7,1.0,4.0,238.1
2.0,6.0,103.1,1.0,6.0,330.4,1.0,6.0,31.0,1.0,6.0,23.8,1.0,6.0,1183.0,1.0,5.0,1078.0
3.0,2.0,32.2,3.0,1.0,368.2,2.0,1.0,196.1,2.0,1.0,92.7,2.0,1.0,1901.0,2.0,1.0,937.2
3.0,4.0,8.1,3.0,4.0,331.3,2.0,4.0,137.7,2.0,3.0,127.0,2.0,3.0,2017.0,2.0,3.0,1288.0
3.0,5.0,66.4,3.0,5.0,956.5,2.0,5.0,552.9,2.0,5.0,380.5,2.0,4.0,2128.0,2.0,4.0,760.5
3.0,6.0,25.8,3.0,6.0,600.9,2.0,6.0,221.7,2.0,6.0,145.0,2.0,6.0,1662.0,2.0,5.0,1656.0
4.0,2.0,21.3,4.0,1.0,176.2,4.0,1.0,19.0,3.0,1.0,21.6,3.0,1.0,958.5,3.0,1.0,361.8
4.0,3.0,7.9,4.0,3.0,242.6,4.0,2.0,48.9,3.0,2.0,65.2,3.0,2.0,1812.0,3.0,2.0,1006.0
4.0,5.0,58.3,4.0,5.0,728.3,4.0,5.0,82.5,3.0,5.0,79.8,3.0,4.0,907.8,3.0,4.0,280.8
4.0,6.0,16.9,4.0,6.0,359.6,4.0,6.0,24.8,3.0,6.0,28.2,3.0,6.0,929.7,3.0,5.0,1012.0
5.0,2.0,310.1,5.0,1.0,1310.0,5.0,1.0,271.3,5.0,1.0,156.2,4.0,1.0,960.5,4.0,1.0,243.5
5.0,3.0,233.7,5.0,3.0,1588.0,5.0,2.0,560.9,5.0,2.0,377.4,4.0,2.0,1645.0,4.0,2.0,552.3
5.0,4.0,227.9,5.0,4.0,1486.0,5.0,4.0,226.6,5.0,3.0,191.6,4.0,3.0,867.1,4.0,3.0,248.8
5.0,6.0,326.0,5.0,6.0,1253.0,5.0,6.0,226.5,5.0,6.0,163.0,4.0,6.0,849.6,4.0,5.0,713.7
6.0,2.0,169.8,6.0,1.0,764.3,6.0,1.0,96.7,6.0,1.0,45.3,6.0,1.0,1521.0,5.0,1.0,1744.0
6.0,3.0,89.0,6.0,3.0,984.9,6.0,2.0,216.4,6.0,2.0,130.8,6.0,2.0,1841.0,5.0,2.0,1833.0
6.0,4.0,69.7,6.0,4.0,695.5,6.0,4.0,77.2,6.0,3.0,57.7,6.0,3.0,1089.0,5.0,3.0,1380.0
6.0,5.0,285.8,6.0,5.0,1325.0,6.0,5.0,212.3,6.0,5.0,137.0,6.0,4.0,1230.0,5.0,4.0,1306.0
