1,大賀 広幸,大賀 広幸.1,2,笠 雅雄,笠 雅雄.1,3,平池 仁志,平池 仁志.1,4,日高 逸子,日高 逸子.1,5,宮迫 暢彦,宮迫 暢彦.1,6,志道 吉和,志道 吉和.1
2.0,3.0,31.1,1.0,3.0,148.1,1.0,2.0,183.4,1.0,2.0,32.2,1.0,2.0,206.4,1.0,2.0,1203.0
2.0,4.0,17.0,1.0,4.0,86.3,1.0,4.0,84.4,1.0,3.0,31.3,1.0,3.0,168.7,1.0,3.0,1203.0
2.0,5.0,43.4,1.0,5.0,199.8,1.0,5.0,118.3,1.0,5.0,16.8,1.0,4.0,73.9,1.0,4.0,607.8
2.0,6.0,99.4,1.0,6.0,367.4,1.0,6.0,269.6,1.0,6.0,49.0,1.0,6.0,177.5,1.0,5.0,1056.0
3.0,2.0,33.4,3.0,1.0,334.3,2.0,1.0,425.9,2.0,1.0,92.1,2.0,1.0,433.1,2.0,1.0,1799.0
3.0,4.0,12.3,3.0,4.0,376.1,2.0,4.0,477.7,2.0,3.0,280.3,2.0,3.0,911.7,2.0,3.0,2907.0
3.0,5.0,23.3,3.0,5.0,518.7,2.0,5.0,666.5,2.0,5.0,147.1,2.0,4.0,406.5,2.0,4.0,1867.0
3.0,6.0,66.2,3.0,6.0,1028.0,2.0,6.0,1144.0,2.0,6.0,252.4,2.0,6.0,792.2,2.0,5.0,2490.0
4.0,2.0,12.0,4.0,1.0,158.4,4.0,1.0,130.4,3.0,1.0,92.3,3.0,1.0,349.7,3.0,1.0,1645.0
4.0,3.0,9.4,4.0,3.0,345.9,4.0,2.0,338.3,3.0,2.0,247.4,3.0,2.0,811.3,3.0,2.0,2772.0
4.0,5.0,7.6,4.0,5.0,320.5,4.0,5.0,183.3,3.0,5.0,111.8,3.0,4.0,355.5,3.0,4.0,1921.0
4.0,6.0,29.3,4.0,6.0,532.5,4.0,6.0,345.4,3.0,6.0,244.0,3.0,6.0,796.9,3.0,5.0,2636.0
5.0,2.0,50.5,5.0,1.0,467.3,5.0,1.0,280.0,5.0,1.0,24.9,4.0,1.0,77.3,4.0,1.0,664.9
5.0,3.0,32.9,5.0,3.0,662.4,5.0,2.0,663.2,5.0,2.0,58.6,4.0,2.0,201.9,4.0,2.0,1149.0
5.0,4.0,18.9,5.0,4.0,453.9,5.0,4.0,286.2,5.0,3.0,62.7,4.0,3.0,193.4,4.0,3.0,1280.0
5.0,6.0,58.6,5.0,6.0,943.7,5.0,6.0,782.9,5.0,6.0,47.8,4.0,6.0,135.0,4.0,5.0,614.0
6.0,2.0,199.8,6.0,1.0,957.1,6.0,1.0,970.9,6.0,1.0,155.3,6.0,1.0,337.6,5.0,1.0,1217.0
6.0,3.0,164.4,6.0,3.0,1713.0,6.0,2.0,1438.0,6.0,2.0,273.8,6.0,2.0,638.0,5.0,2.0,1842.0
6.0,4.0,104.9,6.0,4.0,1084.0,6.0,4.0,1032.0,6.0,3.0,337.8,6.0,3.0,749.1,5.0,3.0,1948.0
6.0,5.0,143.3,6.0,5.0,1453.0,6.0,5.0,1515.0,6.0,5.0,143.4,6.0,4.0,259.2,5.0,4.0,681.7
