1,三原 司,三原 司.1,2,廣中 良一,廣中 良一.1,3,松本 弓雄,松本 弓雄.1,4,飯田 庄吾,飯田 庄吾.1,5,中野 和裕,中野 和裕.1,6,大熊 辰弥,大熊 辰弥.1
2.0,3.0,5.8,1.0,3.0,25.1,1.0,2.0,38.5,1.0,2.0,184.6,1.0,2.0,126.1,1.0,2.0,1469.0
2.0,4.0,11.8,1.0,4.0,54.7,1.0,4.0,76.6,1.0,3.0,242.7,1.0,3.0,137.9,1.0,3.0,2051.0
2.0,5.0,10.4,1.0,5.0,41.7,1.0,5.0,36.7,1.0,5.0,174.5,1.0,4.0,191.4,1.0,4.0,3198.0
2.0,6.0,57.7,1.0,6.0,97.9,1.0,6.0,160.3,1.0,6.0,399.7,1.0,6.0,464.7,1.0,5.0,1599.0
3.0,2.0,7.0,3.0,1.0,61.2,2.0,1.0,78.1,2.0,1.0,303.7,2.0,1.0,286.9,2.0,1.0,1249.0
3.0,4.0,16.3,3.0,4.0,193.8,2.0,4.0,187.8,2.0,3.0,604.1,2.0,3.0,336.6,2.0,3.0,2363.0
3.0,5.0,9.9,3.0,5.0,150.1,2.0,5.0,135.4,2.0,5.0,399.7,2.0,4.0,724.9,2.0,4.0,3020.0
3.0,6.0,60.6,3.0,6.0,338.7,2.0,6.0,311.5,2.0,6.0,639.6,2.0,6.0,849.5,2.0,5.0,3020.0
4.0,2.0,27.6,4.0,1.0,178.5,4.0,1.0,164.5,3.0,1.0,361.2,3.0,1.0,196.9,3.0,1.0,2265.0
4.0,3.0,37.2,4.0,3.0,345.2,4.0,2.0,325.5,3.0,2.0,663.0,3.0,2.0,386.9,3.0,2.0,2652.0
4.0,5.0,34.7,4.0,5.0,402.7,4.0,5.0,216.6,3.0,5.0,466.6,3.0,4.0,776.7,3.0,4.0,3883.0
4.0,6.0,84.1,4.0,6.0,578.4,4.0,6.0,456.8,3.0,6.0,1194.0,3.0,6.0,970.8,3.0,5.0,4027.0
5.0,2.0,26.4,5.0,1.0,167.8,5.0,1.0,85.1,5.0,1.0,254.6,4.0,1.0,402.7,4.0,1.0,3106.0
5.0,3.0,26.8,5.0,3.0,286.9,5.0,2.0,157.8,5.0,2.0,374.9,4.0,2.0,697.0,4.0,2.0,3507.0
5.0,4.0,41.1,5.0,4.0,530.4,5.0,4.0,220.5,5.0,3.0,443.8,4.0,3.0,729.8,4.0,3.0,6396.0
5.0,6.0,76.7,5.0,6.0,765.7,5.0,6.0,302.8,5.0,6.0,421.4,4.0,6.0,811.4,4.0,5.0,2788.0
6.0,2.0,182.4,6.0,1.0,594.2,6.0,1.0,522.7,6.0,1.0,913.7,6.0,1.0,929.4,5.0,1.0,2861.0
6.0,3.0,190.1,6.0,3.0,1489.0,6.0,2.0,906.1,6.0,2.0,1121.0,6.0,2.0,1045.0,5.0,2.0,2265.0
6.0,4.0,233.8,6.0,4.0,1622.0,6.0,4.0,1359.0,6.0,3.0,1782.0,6.0,3.0,1449.0,5.0,3.0,4530.0
6.0,5.0,206.3,6.0,5.0,1169.0,6.0,5.0,891.3,6.0,5.0,793.7,6.0,4.0,1310.0,5.0,4.0,2589.0
