1,木村 仁紀,木村 仁紀.1,2,深川 和仁,深川 和仁.1,3,里岡 右貴,里岡 右貴.1,4,後藤 隼之,後藤 隼之.1,5,貫地谷　直人,貫地谷　直人.1,6,小林 京平,小林 京平.1
2.0,3.0,6.2,1.0,3.0,37.8,1.0,2.0,14.7,1.0,2.0,175.5,1.0,2.0,777.3,1.0,2.0,681.8
2.0,4.0,19.0,1.0,4.0,86.2,1.0,4.0,16.0,1.0,3.0,115.7,1.0,3.0,681.8,1.0,3.0,493.5
2.0,5.0,39.9,1.0,5.0,180.3,1.0,5.0,35.6,1.0,5.0,240.6,1.0,4.0,847.1,1.0,4.0,1269.0
2.0,6.0,70.3,1.0,6.0,226.4,1.0,6.0,44.5,1.0,6.0,337.5,1.0,6.0,1182.0,1.0,5.0,2129.0
3.0,2.0,4.2,3.0,1.0,68.8,2.0,1.0,44.0,2.0,1.0,373.2,2.0,1.0,1061.0,2.0,1.0,1138.0
3.0,4.0,6.0,3.0,4.0,162.7,2.0,4.0,84.7,2.0,3.0,452.5,2.0,3.0,1594.0,2.0,3.0,1345.0
3.0,5.0,20.6,3.0,5.0,302.7,2.0,5.0,173.0,2.0,5.0,675.9,2.0,4.0,1861.0,2.0,4.0,2220.0
3.0,6.0,26.4,3.0,6.0,522.5,2.0,6.0,220.0,2.0,6.0,751.0,2.0,6.0,2320.0,2.0,5.0,3746.0
4.0,2.0,30.7,4.0,1.0,349.7,4.0,1.0,53.7,3.0,1.0,164.8,3.0,1.0,888.3,3.0,1.0,609.6
4.0,3.0,22.0,4.0,3.0,359.0,4.0,2.0,87.8,3.0,2.0,285.5,3.0,2.0,1446.0,3.0,2.0,1186.0
4.0,5.0,83.5,4.0,5.0,767.7,4.0,5.0,157.1,3.0,5.0,359.8,3.0,4.0,1446.0,3.0,4.0,1531.0
4.0,6.0,127.6,4.0,6.0,962.6,4.0,6.0,179.6,3.0,6.0,545.4,3.0,6.0,2220.0,3.0,5.0,2569.0
5.0,2.0,144.0,5.0,1.0,686.3,5.0,1.0,227.4,5.0,1.0,477.6,4.0,1.0,1177.0,4.0,1.0,2045.0
5.0,3.0,137.8,5.0,3.0,906.4,5.0,2.0,375.5,5.0,2.0,686.3,4.0,2.0,1797.0,4.0,2.0,2337.0
5.0,4.0,226.2,5.0,4.0,1177.0,5.0,4.0,336.1,5.0,3.0,667.2,4.0,3.0,1562.0,4.0,3.0,2144.0
5.0,6.0,390.6,5.0,6.0,1786.0,5.0,6.0,545.4,5.0,6.0,767.7,4.0,6.0,1980.0,4.0,5.0,3701.0
6.0,2.0,194.2,6.0,1.0,858.8,6.0,1.0,220.0,6.0,1.0,849.5,6.0,1.0,2905.0,5.0,1.0,4441.0
6.0,3.0,141.2,6.0,3.0,1151.0,6.0,2.0,416.7,6.0,2.0,1114.0,6.0,2.0,3140.0,5.0,2.0,4379.0
6.0,4.0,274.4,6.0,4.0,1473.0,6.0,4.0,434.8,6.0,3.0,956.6,6.0,3.0,3343.0,5.0,3.0,4037.0
6.0,5.0,457.9,6.0,5.0,2236.0,6.0,5.0,646.4,6.0,5.0,1228.0,6.0,4.0,3172.0,5.0,4.0,4259.0
