1,松江 秀徳,松江 秀徳.1,2,堀本 翔太,堀本 翔太.1,3,白水 勝也,白水 勝也.1,4,高濱 芳久,高濱 芳久.1,5,泉 啓文,泉 啓文.1,6,渡辺 真至,渡辺 真至.1
2.0,3.0,20.3,1.0,3.0,87.4,1.0,2.0,34.1,1.0,2.0,353.7,1.0,2.0,751.4,1.0,2.0,649.9
2.0,4.0,45.0,1.0,4.0,203.6,1.0,4.0,13.5,1.0,3.0,108.1,1.0,3.0,302.4,1.0,3.0,217.1
2.0,5.0,73.7,1.0,5.0,290.0,1.0,5.0,30.3,1.0,5.0,264.9,1.0,4.0,543.1,1.0,4.0,535.5
2.0,6.0,54.8,1.0,6.0,188.7,1.0,6.0,13.7,1.0,6.0,163.2,1.0,6.0,495.7,1.0,5.0,992.7
3.0,2.0,13.0,3.0,1.0,138.0,2.0,1.0,87.4,2.0,1.0,510.3,2.0,1.0,1128.0,2.0,1.0,936.5
3.0,4.0,6.4,3.0,4.0,315.0,2.0,4.0,166.0,2.0,3.0,714.7,2.0,3.0,1584.0,2.0,3.0,1008.0
3.0,5.0,15.9,3.0,5.0,454.2,2.0,5.0,261.1,2.0,5.0,1005.0,2.0,4.0,1949.0,2.0,4.0,1728.0
3.0,6.0,7.7,3.0,6.0,267.7,2.0,6.0,131.7,2.0,6.0,626.4,2.0,6.0,1577.0,2.0,5.0,2361.0
4.0,2.0,52.0,4.0,1.0,493.1,4.0,1.0,31.8,3.0,1.0,123.7,3.0,1.0,382.1,3.0,1.0,235.5
4.0,3.0,18.5,4.0,3.0,576.1,4.0,2.0,121.9,3.0,2.0,434.5,3.0,2.0,1162.0,3.0,2.0,735.4
4.0,5.0,53.8,4.0,5.0,1124.0,4.0,5.0,68.2,3.0,5.0,269.0,3.0,4.0,734.0,3.0,4.0,430.1
4.0,6.0,36.1,4.0,6.0,754.4,4.0,6.0,33.5,3.0,6.0,142.5,3.0,6.0,528.8,3.0,5.0,890.4
5.0,2.0,129.7,5.0,1.0,898.8,5.0,1.0,98.3,5.0,1.0,361.0,4.0,1.0,771.2,4.0,1.0,748.4
5.0,3.0,55.4,5.0,3.0,995.3,5.0,2.0,267.3,5.0,2.0,720.1,4.0,2.0,1631.0,4.0,2.0,1597.0
5.0,4.0,98.6,5.0,4.0,1496.0,5.0,4.0,131.1,5.0,3.0,441.1,4.0,3.0,890.4,4.0,3.0,614.2
5.0,6.0,111.7,5.0,6.0,1343.0,5.0,6.0,107.5,5.0,6.0,345.3,4.0,6.0,841.2,4.0,5.0,1440.0
6.0,2.0,102.4,6.0,1.0,576.1,6.0,1.0,43.1,6.0,1.0,295.4,6.0,1.0,1059.0,5.0,1.0,1502.0
6.0,3.0,34.6,6.0,3.0,582.2,6.0,2.0,143.6,6.0,2.0,678.9,6.0,2.0,1793.0,5.0,2.0,2658.0
6.0,4.0,79.2,6.0,4.0,1259.0,6.0,4.0,61.1,6.0,3.0,305.6,6.0,3.0,890.4,5.0,3.0,1267.0
6.0,5.0,133.4,6.0,5.0,1429.0,6.0,5.0,130.5,6.0,5.0,480.6,6.0,4.0,1118.0,5.0,4.0,1597.0
