1,安河内 将,安河内 将.1,2,池田 雄一,池田 雄一.1,3,大野 芳顕,大野 芳顕.1,4,中山 雄太,中山 雄太.1,5,岡崎 恭裕,岡崎 恭裕.1,6,森 晋太郎,森 晋太郎.1
2.0,3.0,13.9,1.0,3.0,77.7,1.0,2.0,155.3,1.0,2.0,43.3,1.0,2.0,94.4,1.0,2.0,1406.0
2.0,4.0,8.9,1.0,4.0,43.5,1.0,4.0,73.7,1.0,3.0,68.1,1.0,3.0,126.8,1.0,3.0,2620.0
2.0,5.0,16.3,1.0,5.0,72.5,1.0,5.0,85.8,1.0,5.0,31.5,1.0,4.0,80.1,1.0,4.0,1909.0
2.0,6.0,128.2,1.0,6.0,364.8,1.0,6.0,314.4,1.0,6.0,104.1,1.0,6.0,195.9,1.0,5.0,2108.0
3.0,2.0,16.6,3.0,1.0,269.5,2.0,1.0,361.8,2.0,1.0,80.6,2.0,1.0,190.5,2.0,1.0,2581.0
3.0,4.0,11.0,3.0,4.0,383.9,2.0,4.0,427.9,2.0,3.0,205.9,2.0,3.0,523.0,2.0,3.0,3955.0
3.0,5.0,16.0,3.0,5.0,561.1,2.0,5.0,577.1,2.0,5.0,95.0,2.0,4.0,239.9,2.0,4.0,3195.0
3.0,6.0,96.7,3.0,6.0,1552.0,2.0,6.0,1203.0,2.0,6.0,286.7,2.0,6.0,584.5,2.0,5.0,3716.0
4.0,2.0,11.8,4.0,1.0,103.9,4.0,1.0,143.9,3.0,1.0,177.4,3.0,1.0,257.7,3.0,1.0,3882.0
4.0,3.0,13.3,4.0,3.0,275.8,4.0,2.0,341.7,3.0,2.0,338.8,3.0,2.0,525.1,3.0,2.0,4159.0
4.0,5.0,13.7,4.0,5.0,184.5,4.0,5.0,168.4,3.0,5.0,229.4,3.0,4.0,411.8,3.0,4.0,4031.0
4.0,6.0,76.3,4.0,6.0,883.0,4.0,6.0,484.5,3.0,6.0,512.7,3.0,6.0,728.8,3.0,5.0,4385.0
5.0,2.0,25.8,5.0,1.0,208.8,5.0,1.0,187.0,5.0,1.0,38.5,4.0,1.0,81.9,4.0,1.0,2031.0
5.0,3.0,27.0,5.0,3.0,552.8,5.0,2.0,390.6,5.0,2.0,54.7,4.0,2.0,120.8,4.0,2.0,2772.0
5.0,4.0,25.1,5.0,4.0,266.9,5.0,4.0,250.7,5.0,3.0,132.8,4.0,3.0,262.2,4.0,3.0,3493.0
5.0,6.0,100.7,5.0,6.0,1169.0,5.0,6.0,523.0,5.0,6.0,70.8,4.0,6.0,154.3,4.0,5.0,1871.0
6.0,2.0,335.0,6.0,1.0,1461.0,6.0,1.0,1435.0,6.0,1.0,287.3,6.0,1.0,597.9,5.0,1.0,2472.0
6.0,3.0,345.6,6.0,3.0,2694.0,6.0,2.0,2225.0,6.0,2.0,453.5,6.0,2.0,760.0,5.0,2.0,3565.0
6.0,4.0,305.5,6.0,4.0,2254.0,6.0,4.0,1712.0,6.0,3.0,622.7,6.0,3.0,1176.0,5.0,3.0,3867.0
6.0,5.0,322.6,6.0,5.0,2443.0,6.0,5.0,1804.0,6.0,5.0,278.4,6.0,4.0,628.7,5.0,4.0,2339.0
