1,向井田　佑紀,向井田　佑紀.1,2,松村 敏,松村 敏.1,3,栗原 謙治,栗原 謙治.1,4,亀山 雅幸,亀山 雅幸.1,5,赤峰 和也,赤峰 和也.1,6,若林 義人,若林 義人.1
2.0,3.0,21.8,1.0,3.0,30.2,1.0,2.0,521.8,1.0,2.0,62.2,1.0,2.0,1249.0,1.0,2.0,78.8
2.0,4.0,5.9,1.0,4.0,6.4,1.0,4.0,638.5,1.0,3.0,430.1,1.0,3.0,2799.0,1.0,3.0,386.1
2.0,5.0,67.0,1.0,5.0,65.3,1.0,5.0,1051.0,1.0,5.0,354.2,1.0,4.0,1683.0,1.0,4.0,135.3
2.0,6.0,9.9,1.0,6.0,9.2,1.0,6.0,1047.0,1.0,6.0,95.9,1.0,6.0,1928.0,1.0,5.0,633.0
3.0,2.0,60.6,3.0,1.0,132.4,2.0,1.0,585.8,2.0,1.0,57.4,2.0,1.0,1198.0,2.0,1.0,74.3
3.0,4.0,78.2,3.0,4.0,112.0,2.0,4.0,570.9,2.0,3.0,258.3,2.0,3.0,2971.0,2.0,3.0,287.7
3.0,5.0,281.0,3.0,5.0,331.6,2.0,5.0,1155.0,2.0,5.0,351.2,2.0,4.0,1617.0,2.0,4.0,87.1
3.0,6.0,144.2,3.0,6.0,137.7,2.0,6.0,758.3,2.0,6.0,54.0,2.0,6.0,1663.0,2.0,5.0,509.0
4.0,2.0,15.8,4.0,1.0,16.6,4.0,1.0,1074.0,3.0,1.0,918.5,3.0,1.0,3235.0,3.0,1.0,768.3
4.0,3.0,72.7,4.0,3.0,75.5,4.0,2.0,927.3,3.0,2.0,699.9,3.0,2.0,3882.0,3.0,2.0,672.4
4.0,5.0,165.1,4.0,5.0,136.1,4.0,5.0,1854.0,3.0,5.0,2173.0,3.0,4.0,3347.0,3.0,4.0,1155.0
4.0,6.0,31.1,4.0,6.0,18.6,4.0,6.0,1282.0,3.0,6.0,874.4,3.0,6.0,4411.0,3.0,5.0,2274.0
5.0,2.0,252.9,5.0,1.0,368.1,5.0,1.0,3065.0,5.0,1.0,569.8,4.0,1.0,2065.0,4.0,1.0,177.4
5.0,3.0,581.2,5.0,3.0,669.4,5.0,2.0,2721.0,5.0,2.0,628.9,4.0,2.0,2189.0,4.0,2.0,124.9
5.0,4.0,454.9,5.0,4.0,427.5,5.0,4.0,3594.0,5.0,3.0,1645.0,4.0,3.0,3733.0,4.0,3.0,663.3
5.0,6.0,371.4,5.0,6.0,381.6,5.0,6.0,3685.0,5.0,6.0,493.5,4.0,6.0,2110.0,4.0,5.0,596.7
6.0,2.0,30.5,6.0,1.0,28.8,6.0,1.0,1915.0,6.0,1.0,110.2,6.0,1.0,2311.0,5.0,1.0,1866.0
6.0,3.0,167.1,6.0,3.0,123.6,6.0,2.0,1128.0,6.0,2.0,81.7,6.0,2.0,1434.0,5.0,2.0,1478.0
6.0,4.0,50.1,6.0,4.0,31.6,6.0,4.0,1941.0,6.0,3.0,501.1,6.0,3.0,3235.0,5.0,3.0,2883.0
6.0,5.0,286.3,6.0,5.0,191.8,6.0,5.0,3781.0,6.0,5.0,379.1,6.0,4.0,2488.0,5.0,4.0,2065.0
