1,宮迫 暢彦,宮迫 暢彦.1,2,宮武 英司,宮武 英司.1,3,笠 雅雄,笠 雅雄.1,4,西原 明生,西原 明生.1,5,横井 光弘,横井 光弘.1,6,羽田 妃希,羽田 妃希.1
2.0,3.0,5.9,1.0,3.0,15.9,1.0,2.0,42.6,1.0,2.0,89.5,1.0,2.0,237.5,1.0,2.0,1303.0
2.0,4.0,7.8,1.0,4.0,17.0,1.0,4.0,55.7,1.0,3.0,129.0,1.0,3.0,405.0,1.0,3.0,1699.0
2.0,5.0,11.7,1.0,5.0,30.3,1.0,5.0,64.1,1.0,5.0,127.2,1.0,4.0,343.4,1.0,4.0,2245.0
2.0,6.0,112.3,1.0,6.0,184.4,1.0,6.0,382.4,1.0,6.0,531.7,1.0,6.0,993.8,1.0,5.0,2408.0
3.0,2.0,11.1,3.0,1.0,38.8,2.0,1.0,71.2,2.0,1.0,103.4,2.0,1.0,300.1,2.0,1.0,2139.0
3.0,4.0,20.2,3.0,4.0,49.0,2.0,4.0,74.7,2.0,3.0,144.4,2.0,3.0,384.4,2.0,3.0,2525.0
3.0,5.0,25.4,3.0,5.0,65.2,2.0,5.0,81.8,2.0,5.0,138.4,2.0,4.0,389.4,2.0,4.0,2377.0
3.0,6.0,168.3,3.0,6.0,443.5,2.0,6.0,412.8,2.0,6.0,532.5,2.0,6.0,1224.0,2.0,5.0,3637.0
4.0,2.0,24.6,4.0,1.0,52.8,4.0,1.0,84.1,3.0,1.0,141.6,3.0,1.0,531.0,3.0,1.0,2841.0
4.0,3.0,37.0,4.0,3.0,70.4,4.0,2.0,90.0,3.0,2.0,144.1,3.0,2.0,443.5,3.0,2.0,3306.0
4.0,5.0,49.9,4.0,5.0,88.6,4.0,5.0,105.8,3.0,5.0,163.5,3.0,4.0,521.8,3.0,4.0,3276.0
4.0,6.0,226.7,4.0,6.0,307.2,4.0,6.0,395.7,3.0,6.0,728.9,3.0,6.0,1732.0,3.0,5.0,3953.0
5.0,2.0,42.0,5.0,1.0,118.5,5.0,1.0,183.1,5.0,1.0,133.9,4.0,1.0,392.3,4.0,1.0,3367.0
5.0,3.0,56.1,5.0,3.0,108.9,5.0,2.0,158.6,5.0,2.0,129.1,4.0,2.0,318.7,4.0,2.0,3218.0
5.0,4.0,84.4,5.0,4.0,157.5,5.0,4.0,207.7,5.0,3.0,186.3,4.0,3.0,450.1,4.0,3.0,3637.0
5.0,6.0,305.1,5.0,6.0,256.3,5.0,6.0,669.8,5.0,6.0,382.8,4.0,6.0,743.8,4.0,5.0,3247.0
6.0,2.0,544.5,6.0,1.0,1079.0,6.0,1.0,1258.0,6.0,1.0,1180.0,6.0,1.0,2714.0,5.0,1.0,3637.0
6.0,3.0,597.2,6.0,3.0,1377.0,6.0,2.0,1449.0,6.0,2.0,1177.0,6.0,2.0,2616.0,5.0,2.0,4086.0
6.0,4.0,748.4,6.0,4.0,1342.0,6.0,4.0,1638.0,6.0,3.0,1454.0,6.0,3.0,2819.0,5.0,3.0,3601.0
6.0,5.0,789.0,6.0,5.0,1561.0,6.0,5.0,1404.0,6.0,5.0,1105.0,6.0,4.0,2457.0,5.0,4.0,3276.0
