1,竹田 広樹,竹田 広樹.1,2,上田 隆章,上田 隆章.1,3,川尻 泰輔,川尻 泰輔.1,4,今坂 晃広,今坂 晃広.1,5,松下 知幸,松下 知幸.1,6,上野 俊樹,上野 俊樹.1
2.0,3.0,9.7,1.0,3.0,29.5,1.0,2.0,25.0,1.0,2.0,138.0,1.0,2.0,293.2,1.0,2.0,365.6
2.0,4.0,23.1,1.0,4.0,52.8,1.0,4.0,20.7,1.0,3.0,80.5,1.0,3.0,240.8,1.0,3.0,268.9
2.0,5.0,41.5,1.0,5.0,93.9,1.0,5.0,39.8,1.0,5.0,166.1,1.0,4.0,412.1,1.0,4.0,468.5
2.0,6.0,42.6,1.0,6.0,111.0,1.0,6.0,47.5,1.0,6.0,148.8,1.0,6.0,433.0,1.0,5.0,602.7
3.0,2.0,10.5,3.0,1.0,53.8,2.0,1.0,49.5,2.0,1.0,200.5,2.0,1.0,537.8,2.0,1.0,506.1
3.0,4.0,10.0,3.0,4.0,78.7,2.0,4.0,56.1,2.0,3.0,176.9,2.0,3.0,459.5,2.0,3.0,489.5
3.0,5.0,27.3,3.0,5.0,118.6,2.0,5.0,76.9,2.0,5.0,299.8,2.0,4.0,641.4,2.0,4.0,611.9
3.0,6.0,26.4,3.0,6.0,144.1,2.0,6.0,89.4,2.0,6.0,249.3,2.0,6.0,644.8,2.0,5.0,838.7
4.0,2.0,33.9,4.0,1.0,137.3,4.0,1.0,34.6,3.0,1.0,76.1,3.0,1.0,257.9,3.0,1.0,327.7
4.0,3.0,24.6,4.0,3.0,134.9,4.0,2.0,57.7,3.0,2.0,146.2,3.0,2.0,445.8,3.0,2.0,474.0
4.0,5.0,46.7,4.0,5.0,267.1,4.0,5.0,59.0,3.0,5.0,132.2,3.0,4.0,406.5,3.0,4.0,379.5
4.0,6.0,46.3,4.0,6.0,231.1,4.0,6.0,54.8,3.0,6.0,110.2,3.0,6.0,521.5,3.0,5.0,740.4
5.0,2.0,95.3,5.0,1.0,309.9,5.0,1.0,112.5,5.0,1.0,207.8,4.0,1.0,445.8,4.0,1.0,395.8
5.0,3.0,81.5,5.0,3.0,271.3,5.0,2.0,142.2,5.0,2.0,298.3,4.0,2.0,585.1,4.0,2.0,602.7
5.0,4.0,142.7,5.0,4.0,442.6,5.0,4.0,115.0,5.0,3.0,236.1,4.0,3.0,410.7,4.0,3.0,474.0
5.0,6.0,158.6,5.0,6.0,497.7,5.0,6.0,149.5,5.0,6.0,243.2,4.0,6.0,557.8,4.0,5.0,745.0
6.0,2.0,152.4,6.0,1.0,385.6,6.0,1.0,135.2,6.0,1.0,248.3,6.0,1.0,611.9,5.0,1.0,745.0
6.0,3.0,89.3,6.0,3.0,423.8,6.0,2.0,217.6,6.0,2.0,310.7,6.0,2.0,1007.0,5.0,2.0,875.5
6.0,4.0,162.0,6.0,4.0,475.9,6.0,4.0,131.8,6.0,3.0,223.7,6.0,3.0,677.6,5.0,3.0,789.1
6.0,5.0,238.4,6.0,5.0,709.7,6.0,5.0,230.2,6.0,5.0,331.3,6.0,4.0,749.6,5.0,4.0,862.9
