1,平山 智加,平山 智加.1,2,山田 亮太,山田 亮太.1,3,溝口　海義也,溝口　海義也.1,4,前野 竜一,前野 竜一.1,5,野長瀬　正孝,野長瀬　正孝.1,6,竹上 真司,竹上 真司.1
2.0,3.0,7.2,1.0,3.0,55.0,1.0,2.0,34.6,1.0,2.0,225.1,1.0,2.0,253.9,1.0,2.0,650.8
2.0,4.0,18.3,1.0,4.0,120.2,1.0,4.0,35.0,1.0,3.0,193.4,1.0,3.0,147.7,1.0,3.0,582.6
2.0,5.0,15.9,1.0,5.0,110.1,1.0,5.0,31.7,1.0,5.0,280.2,1.0,4.0,312.9,1.0,4.0,863.3
2.0,6.0,46.9,1.0,6.0,213.5,1.0,6.0,71.6,1.0,6.0,389.4,1.0,6.0,408.5,1.0,5.0,918.7
3.0,2.0,6.6,3.0,1.0,108.0,2.0,1.0,95.4,2.0,1.0,371.6,2.0,1.0,466.6,2.0,1.0,847.9
3.0,4.0,9.3,3.0,4.0,257.1,2.0,4.0,180.4,2.0,3.0,550.1,2.0,3.0,493.8,2.0,3.0,1051.0
3.0,5.0,8.1,3.0,5.0,202.7,2.0,5.0,158.0,2.0,5.0,631.6,2.0,4.0,911.6,2.0,4.0,1251.0
3.0,6.0,26.3,3.0,6.0,356.2,2.0,6.0,203.6,2.0,6.0,730.1,2.0,6.0,1118.0,2.0,5.0,1841.0
4.0,2.0,35.7,4.0,1.0,365.0,4.0,1.0,88.5,3.0,1.0,270.5,3.0,1.0,218.6,3.0,1.0,779.4
4.0,3.0,28.6,4.0,3.0,491.3,4.0,2.0,168.3,3.0,2.0,504.4,3.0,2.0,446.3,3.0,2.0,1063.0
4.0,5.0,46.0,4.0,5.0,716.8,4.0,5.0,132.8,3.0,5.0,433.2,3.0,4.0,513.1,3.0,4.0,1140.0
4.0,6.0,97.5,4.0,6.0,788.5,4.0,6.0,184.0,3.0,6.0,571.4,3.0,6.0,684.7,3.0,5.0,1248.0
5.0,2.0,32.5,5.0,1.0,299.2,5.0,1.0,75.9,5.0,1.0,443.0,4.0,1.0,637.6,4.0,1.0,924.1
5.0,3.0,21.8,5.0,3.0,345.8,5.0,2.0,141.4,5.0,2.0,592.9,4.0,2.0,1068.0,4.0,2.0,1015.0
5.0,4.0,49.5,5.0,4.0,648.1,5.0,4.0,138.5,5.0,3.0,528.0,4.0,3.0,683.7,4.0,3.0,1017.0
5.0,6.0,66.5,5.0,6.0,678.8,5.0,6.0,177.5,5.0,6.0,581.9,4.0,6.0,891.0,4.0,5.0,951.9
6.0,2.0,112.4,6.0,1.0,682.7,6.0,1.0,204.5,6.0,1.0,556.6,6.0,1.0,844.8,5.0,1.0,1303.0
6.0,3.0,85.3,6.0,3.0,678.8,6.0,2.0,279.3,6.0,2.0,766.8,6.0,2.0,1521.0,5.0,2.0,1955.0
6.0,4.0,159.5,6.0,4.0,950.0,6.0,4.0,333.6,6.0,3.0,739.2,6.0,3.0,901.2,5.0,3.0,1416.0
6.0,5.0,133.9,6.0,5.0,1090.0,6.0,5.0,321.2,6.0,5.0,748.6,6.0,4.0,944.3,5.0,4.0,1044.0
