1,長尾 章平,長尾 章平.1,2,出畑 孝典,出畑 孝典.1,3,中越 博紀,中越 博紀.1,4,秋元 哲,秋元 哲.1,5,平野 和明,平野 和明.1,6,前沢 丈史,前沢 丈史.1
2.0,3.0,5.4,1.0,3.0,19.2,1.0,2.0,60.5,1.0,2.0,70.0,1.0,2.0,601.6,1.0,2.0,954.4
2.0,4.0,6.9,1.0,4.0,19.3,1.0,4.0,65.7,1.0,3.0,104.0,1.0,3.0,696.4,1.0,3.0,1285.0
2.0,5.0,28.0,1.0,5.0,64.0,1.0,5.0,136.4,1.0,5.0,142.5,1.0,4.0,697.9,1.0,4.0,1240.0
2.0,6.0,25.2,1.0,6.0,61.2,1.0,6.0,147.4,1.0,6.0,141.3,1.0,6.0,926.8,1.0,5.0,1875.0
3.0,2.0,8.3,3.0,1.0,65.9,2.0,1.0,100.7,2.0,1.0,102.4,2.0,1.0,1159.0,2.0,1.0,1464.0
3.0,4.0,10.7,3.0,4.0,116.6,2.0,4.0,168.9,2.0,3.0,188.0,2.0,3.0,1607.0,2.0,3.0,1603.0
3.0,5.0,30.7,3.0,5.0,310.3,2.0,5.0,425.0,2.0,5.0,263.9,2.0,4.0,1644.0,2.0,4.0,1683.0
3.0,6.0,27.3,3.0,6.0,309.1,2.0,6.0,413.2,2.0,6.0,249.5,2.0,6.0,1687.0,2.0,5.0,3159.0
4.0,2.0,15.2,4.0,1.0,67.2,4.0,1.0,172.4,3.0,1.0,207.7,3.0,1.0,1119.0,3.0,1.0,1943.0
4.0,3.0,19.7,4.0,3.0,128.4,4.0,2.0,228.0,3.0,2.0,274.8,3.0,2.0,1627.0,3.0,2.0,2138.0
4.0,5.0,49.0,4.0,5.0,270.7,4.0,5.0,485.9,3.0,5.0,522.7,3.0,4.0,1931.0,3.0,4.0,2825.0
4.0,6.0,40.4,4.0,6.0,241.0,4.0,6.0,424.2,3.0,6.0,497.6,3.0,6.0,2109.0,3.0,5.0,3863.0
5.0,2.0,88.9,5.0,1.0,425.6,5.0,1.0,598.3,5.0,1.0,275.8,4.0,1.0,995.9,4.0,1.0,1457.0
5.0,3.0,101.8,5.0,3.0,815.0,5.0,2.0,815.0,5.0,2.0,339.1,4.0,2.0,1428.0,4.0,2.0,1791.0
5.0,4.0,127.3,5.0,4.0,715.8,5.0,4.0,809.8,5.0,3.0,543.1,4.0,3.0,1696.0,4.0,3.0,2586.0
5.0,6.0,157.4,5.0,6.0,953.0,5.0,6.0,936.3,5.0,6.0,303.4,4.0,6.0,1072.0,4.0,5.0,2402.0
6.0,2.0,90.0,6.0,1.0,429.3,6.0,1.0,673.0,6.0,1.0,339.5,6.0,1.0,2069.0,5.0,1.0,3068.0
6.0,3.0,115.4,6.0,3.0,751.0,6.0,2.0,824.4,6.0,2.0,398.8,6.0,2.0,2565.0,5.0,2.0,3750.0
6.0,4.0,123.8,6.0,4.0,677.3,6.0,4.0,950.2,6.0,3.0,578.3,6.0,3.0,2683.0,5.0,3.0,3583.0
6.0,5.0,204.9,6.0,5.0,1109.0,6.0,5.0,1611.0,6.0,5.0,461.1,6.0,4.0,1687.0,5.0,4.0,2706.0
