1,黒柳 浩孝,黒柳 浩孝.1,2,小野 信樹,小野 信樹.1,3,西原 明生,西原 明生.1,4,金子 貴志,金子 貴志.1,5,田村 隆信,田村 隆信.1,6,平池 仁志,平池 仁志.1
2.0,3.0,39.7,1.0,3.0,266.0,1.0,2.0,258.4,1.0,2.0,169.8,1.0,2.0,50.9,1.0,2.0,2115.0
2.0,4.0,41.6,1.0,4.0,242.9,1.0,4.0,88.3,1.0,3.0,109.8,1.0,3.0,31.2,1.0,3.0,1764.0
2.0,5.0,28.6,1.0,5.0,196.6,1.0,5.0,60.8,1.0,5.0,34.1,1.0,4.0,22.2,1.0,4.0,1319.0
2.0,6.0,142.5,1.0,6.0,635.2,1.0,6.0,216.6,1.0,6.0,110.6,1.0,6.0,41.8,1.0,5.0,808.5
3.0,2.0,58.1,3.0,1.0,656.4,2.0,1.0,565.4,2.0,1.0,408.7,2.0,1.0,175.4,2.0,1.0,2493.0
3.0,4.0,17.9,3.0,4.0,932.1,2.0,4.0,676.9,2.0,3.0,905.2,2.0,3.0,307.3,2.0,3.0,2292.0
3.0,5.0,13.3,3.0,5.0,713.1,2.0,5.0,536.5,2.0,5.0,366.1,2.0,4.0,293.4,2.0,4.0,2493.0
3.0,6.0,80.0,3.0,6.0,1602.0,2.0,6.0,1096.0,2.0,6.0,809.6,2.0,6.0,388.7,2.0,5.0,2435.0
4.0,2.0,37.1,4.0,1.0,549.1,4.0,1.0,146.6,3.0,1.0,209.7,3.0,1.0,74.5,3.0,1.0,2416.0
4.0,3.0,21.3,4.0,3.0,1029.0,4.0,2.0,557.9,3.0,2.0,709.0,3.0,2.0,231.3,3.0,2.0,2855.0
4.0,5.0,8.2,4.0,5.0,609.3,4.0,5.0,63.2,3.0,5.0,174.6,3.0,4.0,116.6,3.0,4.0,2309.0
4.0,6.0,45.0,4.0,6.0,1185.0,4.0,6.0,313.1,3.0,6.0,418.2,3.0,6.0,145.9,3.0,5.0,1154.0
5.0,2.0,25.7,5.0,1.0,360.6,5.0,1.0,69.2,5.0,1.0,33.8,4.0,1.0,30.8,4.0,1.0,1543.0
5.0,3.0,11.2,5.0,3.0,593.8,5.0,2.0,262.5,5.0,2.0,151.1,4.0,2.0,163.1,4.0,2.0,3395.0
5.0,4.0,8.2,5.0,4.0,574.7,5.0,4.0,100.7,5.0,3.0,104.8,4.0,3.0,108.3,4.0,3.0,2684.0
5.0,6.0,24.9,5.0,6.0,909.1,5.0,6.0,141.6,5.0,6.0,64.7,4.0,6.0,73.2,4.0,5.0,896.2
6.0,2.0,329.6,6.0,1.0,1881.0,6.0,1.0,654.4,6.0,1.0,311.6,6.0,1.0,123.5,5.0,1.0,827.7
6.0,3.0,262.1,6.0,3.0,2379.0,6.0,2.0,1295.0,6.0,2.0,871.3,6.0,2.0,378.0,5.0,2.0,2301.0
6.0,4.0,178.7,6.0,4.0,2743.0,6.0,4.0,751.5,6.0,3.0,716.3,6.0,3.0,219.5,5.0,3.0,1081.0
6.0,5.0,135.2,6.0,5.0,2122.0,6.0,5.0,407.9,6.0,5.0,229.8,6.0,4.0,153.2,5.0,4.0,792.2
