1,杉村 賢也,杉村 賢也.1,2,中島 昂章,中島 昂章.1,3,古田 祐貴,古田 祐貴.1,4,中尾 彩香,中尾 彩香.1,5,宮地 博士,宮地 博士.1,6,平田 忠則,平田 忠則.1
2.0,3.0,10.8,1.0,3.0,21.4,1.0,2.0,51.3,1.0,2.0,331.0,1.0,2.0,581.4,1.0,2.0,33.2
2.0,4.0,36.0,1.0,4.0,71.1,1.0,4.0,181.2,1.0,3.0,581.4,1.0,3.0,647.9,1.0,3.0,44.6
2.0,5.0,36.1,1.0,5.0,71.5,1.0,5.0,133.5,1.0,5.0,627.7,1.0,4.0,1201.0,1.0,4.0,122.8
2.0,6.0,9.9,1.0,6.0,17.7,1.0,6.0,42.7,1.0,6.0,288.4,1.0,6.0,548.0,1.0,5.0,132.6
3.0,2.0,15.4,3.0,1.0,50.6,2.0,1.0,69.6,2.0,1.0,367.9,2.0,1.0,975.3,2.0,1.0,37.1
3.0,4.0,56.9,3.0,4.0,215.9,2.0,4.0,264.4,2.0,3.0,676.9,2.0,3.0,1042.0,2.0,3.0,41.3
3.0,5.0,46.0,3.0,5.0,165.9,2.0,5.0,182.5,2.0,5.0,802.7,2.0,4.0,1634.0,2.0,4.0,123.3
3.0,6.0,14.0,3.0,6.0,39.4,2.0,6.0,42.6,2.0,6.0,293.5,2.0,6.0,676.9,2.0,5.0,123.1
4.0,2.0,97.2,4.0,1.0,206.8,4.0,1.0,473.6,3.0,1.0,1002.0,3.0,1.0,964.9,3.0,1.0,71.9
4.0,3.0,124.6,4.0,3.0,361.3,4.0,2.0,442.4,3.0,2.0,911.6,3.0,2.0,1133.0,3.0,2.0,57.3
4.0,5.0,227.0,4.0,5.0,610.8,4.0,5.0,556.4,3.0,5.0,1140.0,3.0,4.0,2015.0,3.0,4.0,201.7
4.0,6.0,84.1,4.0,6.0,188.5,4.0,6.0,281.2,3.0,6.0,478.6,3.0,6.0,785.3,3.0,5.0,184.5
5.0,2.0,105.5,5.0,1.0,332.8,5.0,1.0,390.9,5.0,1.0,889.2,4.0,1.0,1778.0,4.0,1.0,296.9
5.0,3.0,139.0,5.0,3.0,345.5,5.0,2.0,397.8,5.0,2.0,939.9,4.0,2.0,1832.0,4.0,2.0,251.6
5.0,4.0,343.5,5.0,4.0,820.8,5.0,4.0,689.7,5.0,3.0,1079.0,4.0,3.0,1889.0,4.0,3.0,351.5
5.0,6.0,111.6,5.0,6.0,253.7,5.0,6.0,260.2,5.0,6.0,551.4,4.0,6.0,1079.0,4.0,5.0,461.6
6.0,2.0,17.4,6.0,1.0,35.2,6.0,1.0,63.5,6.0,1.0,279.0,6.0,1.0,641.0,5.0,1.0,277.8
6.0,3.0,21.4,6.0,3.0,41.4,6.0,2.0,50.4,6.0,2.0,287.0,6.0,2.0,643.3,5.0,2.0,245.8
6.0,4.0,71.6,6.0,4.0,154.5,6.0,4.0,213.9,6.0,3.0,382.7,6.0,3.0,731.5,5.0,3.0,293.5
6.0,5.0,68.7,6.0,5.0,129.3,6.0,5.0,151.1,6.0,5.0,455.8,6.0,4.0,954.8,5.0,4.0,387.6
