1,井内　将太郎,井内　将太郎.1,2,待鳥 雄紀,待鳥 雄紀.1,3,外崎 悟,外崎 悟.1,4,川辺 郭人,川辺 郭人.1,5,嶋田 貴支,嶋田 貴支.1,6,乙津 康志,乙津 康志.1
2.0,3.0,4.0,1.0,3.0,26.3,1.0,2.0,23.5,1.0,2.0,1120.0,1.0,2.0,392.7,1.0,2.0,240.1
2.0,4.0,139.0,1.0,4.0,397.6,1.0,4.0,297.6,1.0,3.0,1466.0,1.0,3.0,399.9,1.0,3.0,205.4
2.0,5.0,14.8,1.0,5.0,78.4,1.0,5.0,47.6,1.0,5.0,1905.0,1.0,4.0,2024.0,1.0,4.0,1355.0
2.0,6.0,12.0,1.0,6.0,58.3,1.0,6.0,33.2,1.0,6.0,1340.0,1.0,6.0,616.4,1.0,5.0,657.4
3.0,2.0,5.0,3.0,1.0,41.0,2.0,1.0,39.8,2.0,1.0,2199.0,2.0,1.0,630.9,2.0,1.0,361.9
3.0,4.0,102.1,3.0,4.0,465.3,2.0,4.0,490.7,2.0,3.0,2987.0,2.0,3.0,649.5,2.0,3.0,384.9
3.0,5.0,15.6,3.0,5.0,114.8,2.0,5.0,122.8,2.0,5.0,3666.0,2.0,4.0,3810.0,2.0,4.0,2282.0
3.0,6.0,8.9,3.0,6.0,77.4,2.0,6.0,79.9,2.0,6.0,1927.0,2.0,6.0,1085.0,2.0,5.0,1243.0
4.0,2.0,419.6,4.0,1.0,1237.0,4.0,1.0,1087.0,3.0,1.0,2629.0,3.0,1.0,593.7,3.0,1.0,312.0
4.0,3.0,530.0,4.0,3.0,1668.0,4.0,2.0,1382.0,3.0,2.0,2968.0,3.0,2.0,728.7,3.0,2.0,376.0
4.0,5.0,573.3,4.0,5.0,2444.0,4.0,5.0,1766.0,3.0,5.0,3666.0,3.0,4.0,3506.0,3.0,4.0,1951.0
4.0,6.0,530.0,4.0,6.0,1591.0,4.0,6.0,1448.0,3.0,6.0,2897.0,3.0,6.0,902.8,3.0,5.0,975.6
5.0,2.0,42.0,5.0,1.0,280.8,5.0,1.0,174.0,5.0,1.0,3611.0,4.0,1.0,3269.0,4.0,1.0,2629.0
5.0,3.0,43.7,5.0,3.0,284.8,5.0,2.0,230.4,5.0,2.0,5259.0,4.0,2.0,4399.0,4.0,2.0,2574.0
5.0,4.0,400.5,5.0,4.0,1576.0,5.0,4.0,1250.0,5.0,3.0,4744.0,4.0,3.0,4399.0,4.0,3.0,2829.0
5.0,6.0,88.9,5.0,6.0,423.0,5.0,6.0,269.1,5.0,6.0,2846.0,4.0,6.0,2533.0,4.0,5.0,3840.0
6.0,2.0,27.1,6.0,1.0,178.6,6.0,1.0,104.1,6.0,1.0,2372.0,6.0,1.0,806.5,5.0,1.0,1138.0
6.0,3.0,27.0,6.0,3.0,172.9,6.0,2.0,126.3,6.0,2.0,2520.0,6.0,2.0,1163.0,5.0,2.0,1374.0
6.0,4.0,290.6,6.0,4.0,1234.0,6.0,4.0,963.9,6.0,3.0,2587.0,6.0,3.0,1014.0,5.0,3.0,1120.0
6.0,5.0,87.3,6.0,5.0,468.4,6.0,5.0,284.1,6.0,5.0,3062.0,6.0,4.0,2337.0,5.0,4.0,3024.0
