1,内山 文典,内山 文典.1,2,宮迫 暢彦,宮迫 暢彦.1,3,小野 信樹,小野 信樹.1,4,上野 秀和,上野 秀和.1,5,南野 利騰,南野 利騰.1,6,田山 和広,田山 和広.1
2.0,3.0,10.9,1.0,3.0,27.5,1.0,2.0,154.2,1.0,2.0,49.3,1.0,2.0,52.2,1.0,2.0,905.7
2.0,4.0,6.2,1.0,4.0,16.1,1.0,4.0,231.8,1.0,3.0,172.7,1.0,3.0,138.9,1.0,3.0,2041.0
2.0,5.0,7.1,1.0,5.0,19.0,1.0,5.0,194.2,1.0,5.0,50.0,1.0,4.0,66.3,1.0,4.0,1670.0
2.0,6.0,80.1,1.0,6.0,123.2,1.0,6.0,679.2,1.0,6.0,170.5,1.0,6.0,181.5,1.0,5.0,1648.0
3.0,2.0,34.9,3.0,1.0,79.7,2.0,1.0,196.8,2.0,1.0,64.2,2.0,1.0,68.3,2.0,1.0,1092.0
3.0,4.0,54.6,3.0,4.0,144.2,2.0,4.0,343.8,2.0,3.0,264.4,2.0,3.0,229.2,2.0,3.0,2679.0
3.0,5.0,53.9,3.0,5.0,138.5,2.0,5.0,302.3,2.0,5.0,86.9,2.0,4.0,112.3,2.0,4.0,1614.0
3.0,6.0,198.8,3.0,6.0,499.7,2.0,6.0,936.4,2.0,6.0,271.9,2.0,6.0,275.3,2.0,5.0,1882.0
4.0,2.0,16.4,4.0,1.0,42.0,4.0,1.0,435.9,3.0,1.0,357.2,3.0,1.0,318.8,3.0,1.0,2816.0
4.0,3.0,58.7,4.0,3.0,134.4,4.0,2.0,468.8,3.0,2.0,481.6,3.0,2.0,382.7,3.0,2.0,2879.0
4.0,5.0,26.8,4.0,5.0,62.1,4.0,5.0,487.1,3.0,5.0,428.2,3.0,4.0,487.7,3.0,4.0,2990.0
4.0,6.0,130.4,4.0,6.0,205.2,4.0,6.0,1074.0,3.0,6.0,969.4,3.0,6.0,1037.0,3.0,5.0,3038.0
5.0,2.0,18.4,5.0,1.0,45.8,5.0,1.0,339.6,5.0,1.0,60.6,4.0,1.0,99.2,4.0,1.0,1968.0
5.0,3.0,58.0,5.0,3.0,136.0,5.0,2.0,428.6,5.0,2.0,73.6,4.0,2.0,113.0,4.0,2.0,1794.0
5.0,4.0,32.0,5.0,4.0,77.5,5.0,4.0,564.9,5.0,3.0,250.3,4.0,3.0,385.4,4.0,3.0,3215.0
5.0,6.0,121.1,5.0,6.0,238.4,5.0,6.0,1037.0,5.0,6.0,134.5,4.0,6.0,232.5,4.0,5.0,1574.0
6.0,2.0,307.6,6.0,1.0,359.2,6.0,1.0,1811.0,6.0,1.0,354.6,6.0,1.0,507.0,5.0,1.0,1461.0
6.0,3.0,472.8,6.0,3.0,1028.0,6.0,2.0,1811.0,6.0,2.0,485.9,6.0,2.0,524.2,5.0,2.0,1769.0
6.0,4.0,378.6,6.0,4.0,481.0,6.0,4.0,1846.0,6.0,3.0,969.4,6.0,3.0,1172.0,5.0,3.0,2900.0
6.0,5.0,362.9,6.0,5.0,452.8,6.0,5.0,1778.0,6.0,5.0,346.6,6.0,4.0,596.3,5.0,4.0,1562.0
