1,後藤 陽介,後藤 陽介.1,2,胡本 悟志,胡本 悟志.1,3,尾形 栄治,尾形 栄治.1,4,亀本 勇樹,亀本 勇樹.1,5,小宮 涼雅,小宮 涼雅.1,6,大神 康司,大神 康司.1
2.0,3.0,11.0,1.0,3.0,44.0,1.0,2.0,44.3,1.0,2.0,149.0,1.0,2.0,150.4,1.0,2.0,74.2
2.0,4.0,24.8,1.0,4.0,95.1,1.0,4.0,58.7,1.0,3.0,172.4,1.0,3.0,134.3,1.0,3.0,57.3
2.0,5.0,53.7,1.0,5.0,133.0,1.0,5.0,116.0,1.0,5.0,345.8,1.0,4.0,308.9,1.0,4.0,111.7
2.0,6.0,16.3,1.0,6.0,59.7,1.0,6.0,35.9,1.0,6.0,132.2,1.0,6.0,176.1,1.0,5.0,134.8
3.0,2.0,10.2,3.0,1.0,75.7,2.0,1.0,79.4,2.0,1.0,273.3,2.0,1.0,208.3,2.0,1.0,123.0
3.0,4.0,16.1,3.0,4.0,210.6,2.0,4.0,196.9,2.0,3.0,409.6,2.0,3.0,271.1,2.0,3.0,174.7
3.0,5.0,39.0,3.0,5.0,233.5,2.0,5.0,249.8,2.0,5.0,693.4,2.0,4.0,543.4,2.0,4.0,220.8
3.0,6.0,9.4,3.0,6.0,130.0,2.0,6.0,125.0,2.0,6.0,282.0,2.0,6.0,343.1,2.0,5.0,320.8
4.0,2.0,40.7,4.0,1.0,235.2,4.0,1.0,150.4,3.0,1.0,223.7,3.0,1.0,207.3,3.0,1.0,89.1
4.0,3.0,33.5,4.0,3.0,329.5,4.0,2.0,213.7,3.0,2.0,356.9,3.0,2.0,339.6,3.0,2.0,171.1
4.0,5.0,131.3,4.0,5.0,566.5,4.0,5.0,341.3,3.0,5.0,526.2,3.0,4.0,576.3,3.0,4.0,178.7
4.0,6.0,37.4,4.0,6.0,236.9,4.0,6.0,142.3,3.0,6.0,236.0,3.0,6.0,339.6,3.0,5.0,235.6
5.0,2.0,104.5,5.0,1.0,350.3,5.0,1.0,242.0,5.0,1.0,543.4,4.0,1.0,520.0,4.0,1.0,183.1
5.0,3.0,100.4,5.0,3.0,410.9,5.0,2.0,350.3,5.0,2.0,783.1,4.0,2.0,697.0,4.0,2.0,279.7
5.0,4.0,215.0,5.0,4.0,704.4,5.0,4.0,473.8,5.0,3.0,711.9,4.0,3.0,697.0,4.0,3.0,237.7
5.0,6.0,134.3,5.0,6.0,512.0,5.0,6.0,294.5,5.0,6.0,484.1,4.0,6.0,573.8,4.0,5.0,332.8
6.0,2.0,22.1,6.0,1.0,129.2,6.0,1.0,65.3,6.0,1.0,175.1,6.0,1.0,272.2,5.0,1.0,219.3
6.0,3.0,16.5,6.0,3.0,178.2,6.0,2.0,120.1,6.0,2.0,250.7,6.0,2.0,448.2,5.0,2.0,331.2
6.0,4.0,38.3,6.0,4.0,240.3,6.0,4.0,142.7,6.0,3.0,257.0,6.0,3.0,378.2,5.0,3.0,264.1
6.0,5.0,74.9,6.0,5.0,329.5,6.0,5.0,200.8,6.0,5.0,399.8,6.0,4.0,573.8,5.0,4.0,364.7
