1,粟田 祥,粟田 祥.1,2,齋藤 真之,齋藤 真之.1,3,小林 基樹,小林 基樹.1,4,天野 誠,天野 誠.1,5,大場 広孝,大場 広孝.1,6,西丸　侑太朗,西丸　侑太朗.1
2.0,3.0,12.5,1.0,3.0,25.2,1.0,2.0,44.5,1.0,2.0,125.4,1.0,2.0,60.2,1.0,2.0,240.6
2.0,4.0,37.1,1.0,4.0,68.7,1.0,4.0,83.5,1.0,3.0,195.3,1.0,3.0,78.2,1.0,3.0,391.3
2.0,5.0,20.6,1.0,5.0,36.5,1.0,5.0,49.3,1.0,5.0,106.1,1.0,4.0,122.8,1.0,4.0,611.0
2.0,6.0,44.6,1.0,6.0,68.4,1.0,6.0,113.3,1.0,6.0,117.6,1.0,6.0,75.3,1.0,5.0,291.7
3.0,2.0,13.8,3.0,1.0,46.7,2.0,1.0,53.8,2.0,1.0,177.6,2.0,1.0,77.7,2.0,1.0,301.3
3.0,4.0,43.0,3.0,4.0,120.8,2.0,4.0,116.8,2.0,3.0,213.5,2.0,3.0,99.2,2.0,3.0,365.3
3.0,5.0,20.6,3.0,5.0,55.6,2.0,5.0,58.5,2.0,5.0,145.0,2.0,4.0,168.6,2.0,4.0,516.3
3.0,6.0,49.8,3.0,6.0,94.9,2.0,6.0,103.4,2.0,6.0,170.7,2.0,6.0,99.9,2.0,5.0,256.9
4.0,2.0,62.4,4.0,1.0,148.8,4.0,1.0,184.5,3.0,1.0,301.3,3.0,1.0,102.5,3.0,1.0,458.2
4.0,3.0,73.9,4.0,3.0,162.2,4.0,2.0,173.1,3.0,2.0,258.7,3.0,2.0,108.5,3.0,2.0,462.1
4.0,5.0,70.6,4.0,5.0,127.7,4.0,5.0,116.1,3.0,5.0,186.4,3.0,4.0,199.2,3.0,4.0,826.9
4.0,6.0,101.7,4.0,6.0,151.2,4.0,6.0,205.1,3.0,6.0,298.8,3.0,6.0,116.3,3.0,5.0,387.2
5.0,2.0,36.7,5.0,1.0,64.1,5.0,1.0,67.0,5.0,1.0,86.3,4.0,1.0,135.6,4.0,1.0,700.5
5.0,3.0,39.6,5.0,3.0,78.8,5.0,2.0,62.5,5.0,2.0,103.9,4.0,2.0,163.6,4.0,2.0,611.0
5.0,4.0,84.7,5.0,4.0,143.0,5.0,4.0,116.2,5.0,3.0,182.3,4.0,3.0,223.0,4.0,3.0,1088.0
5.0,6.0,73.0,5.0,6.0,97.5,5.0,6.0,80.3,5.0,6.0,69.6,4.0,6.0,104.4,4.0,5.0,375.3
6.0,2.0,99.1,6.0,1.0,186.0,6.0,1.0,274.9,6.0,1.0,184.8,6.0,1.0,109.3,5.0,1.0,290.9
6.0,3.0,130.4,6.0,3.0,206.3,6.0,2.0,213.5,6.0,2.0,156.2,6.0,2.0,94.3,5.0,2.0,220.4
6.0,4.0,182.3,6.0,4.0,266.2,6.0,4.0,366.6,6.0,3.0,343.6,6.0,3.0,118.2,5.0,3.0,294.8
6.0,5.0,137.3,6.0,5.0,163.6,6.0,5.0,137.9,6.0,5.0,129.8,6.0,4.0,146.0,5.0,4.0,358.2
