1,佐藤 航,佐藤 航.1,2,原田　才一郎,原田　才一郎.1,3,笹木 香吾,笹木 香吾.1,4,高山 敬悟,高山 敬悟.1,5,小林 京平,小林 京平.1,6,西丸　侑太朗,西丸　侑太朗.1
2.0,3.0,6.8,1.0,3.0,13.3,1.0,2.0,108.5,1.0,2.0,192.3,1.0,2.0,541.3,1.0,2.0,51.2
2.0,4.0,14.7,1.0,4.0,21.2,1.0,4.0,224.0,1.0,3.0,556.1,1.0,3.0,944.8,1.0,3.0,185.8
2.0,5.0,32.8,1.0,5.0,44.4,1.0,5.0,259.8,1.0,5.0,615.8,1.0,4.0,1179.0,1.0,4.0,269.0
2.0,6.0,6.7,1.0,6.0,10.6,1.0,6.0,112.1,1.0,6.0,248.7,1.0,6.0,640.5,1.0,5.0,374.2
3.0,2.0,18.0,3.0,1.0,46.2,2.0,1.0,133.6,2.0,1.0,222.8,2.0,1.0,673.0,2.0,1.0,52.6
3.0,4.0,56.0,3.0,4.0,99.3,2.0,4.0,212.0,2.0,3.0,487.5,2.0,3.0,1428.0,2.0,3.0,152.0
3.0,5.0,86.9,3.0,5.0,151.8,2.0,5.0,363.4,2.0,5.0,813.4,2.0,4.0,1408.0,2.0,4.0,211.4
3.0,6.0,28.5,3.0,6.0,44.7,2.0,6.0,103.5,2.0,6.0,235.1,2.0,6.0,747.5,2.0,5.0,357.5
4.0,2.0,47.6,4.0,1.0,70.2,4.0,1.0,454.7,3.0,1.0,809.1,3.0,1.0,1294.0,3.0,1.0,306.6
4.0,3.0,100.5,4.0,3.0,130.6,4.0,2.0,382.6,3.0,2.0,654.2,3.0,2.0,1810.0,3.0,2.0,242.2
4.0,5.0,202.6,4.0,5.0,259.1,4.0,5.0,809.1,3.0,5.0,1513.0,3.0,4.0,2716.0,3.0,4.0,820.0
4.0,6.0,65.7,4.0,6.0,58.2,4.0,6.0,410.0,3.0,6.0,671.6,3.0,6.0,1601.0,3.0,5.0,1020.0
5.0,2.0,99.5,5.0,1.0,200.8,5.0,1.0,569.7,5.0,1.0,1014.0,4.0,1.0,1635.0,4.0,1.0,512.1
5.0,3.0,187.1,5.0,3.0,357.9,5.0,2.0,704.2,5.0,2.0,1031.0,4.0,2.0,1680.0,4.0,2.0,420.2
5.0,4.0,350.5,5.0,4.0,471.6,5.0,4.0,1317.0,5.0,3.0,1728.0,4.0,3.0,2692.0,4.0,3.0,1038.0
5.0,6.0,139.4,5.0,6.0,218.0,5.0,6.0,699.4,5.0,6.0,884.4,4.0,6.0,1513.0,4.0,5.0,1311.0
6.0,2.0,20.4,6.0,1.0,28.7,6.0,1.0,211.2,6.0,1.0,353.7,6.0,1.0,835.8,5.0,1.0,734.8
6.0,3.0,46.0,6.0,3.0,53.3,6.0,2.0,188.9,6.0,2.0,331.7,6.0,2.0,778.1,5.0,2.0,683.6
6.0,4.0,76.1,6.0,4.0,75.2,6.0,4.0,476.1,6.0,3.0,780.1,6.0,3.0,1609.0,5.0,3.0,1334.0
6.0,5.0,108.8,6.0,5.0,144.3,6.0,5.0,606.0,6.0,5.0,876.7,6.0,4.0,1609.0,5.0,4.0,1395.0
