1,金子 拓矢,金子 拓矢.1,2,宗行 治哉,宗行 治哉.1,3,戸敷 晃美,戸敷 晃美.1,4,坂口 周,坂口 周.1,5,森 智也,森 智也.1,6,田川 大貴,田川 大貴.1
2.0,3.0,9.5,1.0,3.0,100.0,1.0,2.0,48.8,1.0,2.0,126.2,1.0,2.0,384.7,1.0,2.0,1198.0
2.0,4.0,8.2,1.0,4.0,97.2,1.0,4.0,34.0,1.0,3.0,120.9,1.0,3.0,285.1,1.0,3.0,1258.0
2.0,5.0,22.1,1.0,5.0,173.9,1.0,5.0,51.5,1.0,5.0,138.4,1.0,4.0,381.2,1.0,4.0,1202.0
2.0,6.0,41.4,1.0,6.0,243.2,1.0,6.0,102.5,1.0,6.0,178.1,1.0,6.0,481.7,1.0,5.0,1971.0
3.0,2.0,9.6,3.0,1.0,253.0,2.0,1.0,137.3,2.0,1.0,289.6,2.0,1.0,693.9,2.0,1.0,1641.0
3.0,4.0,6.6,3.0,4.0,445.7,2.0,4.0,200.2,2.0,3.0,543.2,2.0,3.0,1177.0,2.0,3.0,3254.0
3.0,5.0,13.4,3.0,5.0,657.7,2.0,5.0,262.9,2.0,5.0,623.6,2.0,4.0,1296.0,2.0,4.0,2272.0
3.0,6.0,29.3,3.0,6.0,1025.0,2.0,6.0,386.5,2.0,6.0,616.4,2.0,6.0,1433.0,2.0,5.0,3297.0
4.0,2.0,12.1,4.0,1.0,267.9,4.0,1.0,77.0,3.0,1.0,204.6,3.0,1.0,426.8,3.0,1.0,1582.0
4.0,3.0,11.2,4.0,3.0,535.0,4.0,2.0,152.5,3.0,2.0,472.2,3.0,2.0,1027.0,3.0,2.0,3212.0
4.0,5.0,19.3,4.0,5.0,708.4,4.0,5.0,123.5,3.0,5.0,351.3,3.0,4.0,805.7,3.0,4.0,2680.0
4.0,6.0,29.8,4.0,6.0,786.1,4.0,6.0,174.1,3.0,6.0,453.3,3.0,6.0,993.7,3.0,5.0,3198.0
5.0,2.0,51.5,5.0,1.0,680.6,5.0,1.0,150.6,5.0,1.0,286.3,4.0,1.0,641.9,4.0,1.0,1370.0
5.0,3.0,37.3,5.0,3.0,987.1,5.0,2.0,287.0,5.0,2.0,627.3,4.0,2.0,1328.0,4.0,2.0,1896.0
5.0,4.0,50.8,5.0,4.0,1109.0,5.0,4.0,216.7,5.0,3.0,525.5,4.0,3.0,1099.0,4.0,3.0,2957.0
5.0,6.0,88.9,5.0,6.0,1219.0,5.0,6.0,296.2,5.0,6.0,421.5,4.0,6.0,904.4,4.0,5.0,2014.0
6.0,2.0,126.9,6.0,1.0,1060.0,6.0,1.0,443.6,6.0,1.0,483.9,6.0,1.0,1162.0,5.0,1.0,2780.0
6.0,3.0,116.7,6.0,3.0,1804.0,6.0,2.0,762.8,6.0,2.0,938.6,6.0,2.0,1976.0,5.0,2.0,3653.0
6.0,4.0,118.1,6.0,4.0,1508.0,6.0,4.0,518.6,6.0,3.0,1011.0,6.0,3.0,1729.0,5.0,3.0,3498.0
6.0,5.0,166.6,6.0,5.0,1849.0,6.0,5.0,534.2,6.0,5.0,732.1,6.0,4.0,1261.0,5.0,4.0,2030.0
