1,山ノ内　雅人,山ノ内　雅人.1,2,麻生 慎介,麻生 慎介.1,3,吉川 勇作,吉川 勇作.1,4,中 亮太,中 亮太.1,5,島崎　丈一朗,島崎　丈一朗.1,6,鐘ヶ江　真司,鐘ヶ江　真司.1
2.0,3.0,8.0,1.0,3.0,35.9,1.0,2.0,169.8,1.0,2.0,21.5,1.0,2.0,435.0,1.0,2.0,2713.0
2.0,4.0,3.6,1.0,4.0,16.1,1.0,4.0,156.4,1.0,3.0,74.8,1.0,3.0,940.4,1.0,3.0,6784.0
2.0,5.0,21.8,1.0,5.0,75.9,1.0,5.0,385.6,1.0,5.0,43.9,1.0,4.0,367.7,1.0,4.0,5376.0
2.0,6.0,238.4,1.0,6.0,441.8,1.0,6.0,2050.0,1.0,6.0,322.3,1.0,6.0,2064.0,1.0,5.0,5936.0
3.0,2.0,15.0,3.0,1.0,159.7,2.0,1.0,239.6,2.0,1.0,34.3,2.0,1.0,556.5,2.0,1.0,4671.0
3.0,4.0,17.4,3.0,4.0,199.1,2.0,4.0,315.2,2.0,3.0,136.0,2.0,3.0,1686.0,2.0,3.0,6627.0
3.0,5.0,62.2,3.0,5.0,473.3,2.0,5.0,922.2,2.0,5.0,77.6,2.0,4.0,569.9,2.0,4.0,5587.0
3.0,6.0,658.1,3.0,6.0,2614.0,2.0,6.0,3749.0,2.0,6.0,540.7,2.0,6.0,2849.0,2.0,5.0,5088.0
4.0,2.0,5.8,4.0,1.0,38.0,4.0,1.0,233.5,3.0,1.0,220.9,3.0,1.0,1565.0,3.0,1.0,8635.0
4.0,3.0,14.3,4.0,3.0,117.7,4.0,2.0,316.6,3.0,2.0,269.8,3.0,2.0,2766.0,3.0,2.0,6063.0
4.0,5.0,22.2,4.0,5.0,150.3,4.0,5.0,701.8,3.0,5.0,461.1,3.0,4.0,1874.0,3.0,4.0,7124.0
4.0,6.0,227.2,4.0,6.0,1126.0,4.0,6.0,3275.0,3.0,6.0,1647.0,3.0,6.0,4671.0,3.0,5.0,6950.0
5.0,2.0,71.5,5.0,1.0,295.3,5.0,1.0,828.3,5.0,1.0,72.2,4.0,1.0,385.0,4.0,1.0,7306.0
5.0,3.0,139.8,5.0,3.0,814.1,5.0,2.0,1277.0,5.0,2.0,80.0,4.0,2.0,453.0,4.0,2.0,4913.0
5.0,4.0,81.7,5.0,4.0,391.9,5.0,4.0,1238.0,5.0,3.0,282.4,4.0,3.0,1207.0,4.0,3.0,5587.0
5.0,6.0,716.0,5.0,6.0,1992.0,5.0,6.0,3850.0,5.0,6.0,360.7,4.0,6.0,1484.0,4.0,5.0,5181.0
6.0,2.0,937.3,6.0,1.0,1583.0,6.0,1.0,4999.0,6.0,1.0,1439.0,6.0,1.0,5936.0,5.0,1.0,8635.0
6.0,3.0,1727.0,6.0,3.0,4452.0,6.0,2.0,3749.0,6.0,2.0,953.0,6.0,2.0,5480.0,5.0,2.0,6476.0
6.0,4.0,1432.0,6.0,4.0,2849.0,6.0,4.0,6063.0,6.0,3.0,2394.0,6.0,3.0,6950.0,5.0,3.0,6194.0
6.0,5.0,1390.0,6.0,5.0,3097.0,6.0,5.0,5376.0,6.0,5.0,860.9,6.0,4.0,4070.0,5.0,4.0,6476.0
