1,中村 辰也,中村 辰也.1,2,木山 誠一,木山 誠一.1,3,中辻 博訓,中辻 博訓.1,4,宮迫 暢彦,宮迫 暢彦.1,5,古川 誠之,古川 誠之.1,6,吉本 玲緒,吉本 玲緒.1
2.0,3.0,20.4,1.0,3.0,148.2,1.0,2.0,67.4,1.0,2.0,325.1,1.0,2.0,89.2,1.0,2.0,1738.0
2.0,4.0,36.3,1.0,4.0,230.7,1.0,4.0,22.2,1.0,3.0,139.9,1.0,3.0,36.7,1.0,3.0,1342.0
2.0,5.0,33.3,1.0,5.0,208.7,1.0,5.0,17.2,1.0,5.0,122.2,1.0,4.0,61.1,1.0,4.0,2370.0
2.0,6.0,142.5,1.0,6.0,647.3,1.0,6.0,111.3,1.0,6.0,486.8,1.0,6.0,195.2,1.0,5.0,1816.0
3.0,2.0,13.6,3.0,1.0,259.8,2.0,1.0,195.2,2.0,1.0,637.1,2.0,1.0,201.0,2.0,1.0,2098.0
3.0,4.0,6.5,3.0,4.0,469.8,2.0,4.0,269.2,2.0,3.0,881.8,2.0,3.0,333.7,2.0,3.0,3925.0
3.0,5.0,5.9,3.0,5.0,439.3,2.0,5.0,220.0,2.0,5.0,639.4,2.0,4.0,447.4,2.0,4.0,2830.0
3.0,6.0,57.7,3.0,6.0,1137.0,2.0,6.0,793.7,2.0,6.0,1099.0,2.0,6.0,706.2,2.0,5.0,3444.0
4.0,2.0,40.3,4.0,1.0,606.4,4.0,1.0,63.6,3.0,1.0,185.1,3.0,1.0,59.0,3.0,1.0,1881.0
4.0,3.0,16.0,4.0,3.0,713.0,4.0,2.0,246.0,3.0,2.0,669.9,3.0,2.0,252.8,3.0,2.0,3968.0
4.0,5.0,20.2,4.0,5.0,818.6,4.0,5.0,64.3,3.0,5.0,183.5,3.0,4.0,113.8,3.0,4.0,2808.0
4.0,6.0,110.3,4.0,6.0,1070.0,4.0,6.0,273.8,3.0,6.0,704.8,3.0,6.0,368.0,3.0,5.0,2571.0
5.0,2.0,33.5,5.0,1.0,432.5,5.0,1.0,40.2,5.0,1.0,144.7,4.0,1.0,136.1,4.0,1.0,3289.0
5.0,3.0,11.5,5.0,3.0,586.0,5.0,2.0,177.7,5.0,2.0,451.3,4.0,2.0,428.5,4.0,2.0,2897.0
5.0,4.0,18.9,5.0,4.0,786.8,5.0,4.0,69.4,5.0,3.0,180.2,4.0,3.0,176.7,4.0,3.0,2992.0
5.0,6.0,102.1,5.0,6.0,1285.0,5.0,6.0,213.1,5.0,6.0,502.2,4.0,6.0,589.8,4.0,5.0,3380.0
6.0,2.0,406.1,6.0,1.0,1308.0,6.0,1.0,397.7,6.0,1.0,1166.0,6.0,1.0,613.6,5.0,1.0,2122.0
6.0,3.0,233.1,6.0,3.0,2830.0,6.0,2.0,1246.0,6.0,2.0,1502.0,6.0,2.0,1073.0,5.0,2.0,2920.0
6.0,4.0,376.0,6.0,4.0,2147.0,6.0,4.0,614.6,6.0,3.0,1372.0,6.0,3.0,847.1,5.0,3.0,2450.0
6.0,5.0,250.7,6.0,5.0,2173.0,6.0,5.0,422.5,6.0,5.0,1003.0,6.0,4.0,1028.0,5.0,4.0,2074.0
