1,井川 大作,井川 大作.1,2,赤峰 和也,赤峰 和也.1,3,横田 茂,横田 茂.1,4,乙津 康志,乙津 康志.1,5,中渡 修作,中渡 修作.1,6,上岡 巧汰,上岡 巧汰.1
2.0,3.0,12.1,1.0,3.0,36.4,1.0,2.0,25.8,1.0,2.0,90.5,1.0,2.0,195.3,1.0,2.0,913.1
2.0,4.0,17.0,1.0,4.0,38.0,1.0,4.0,15.2,1.0,3.0,69.6,1.0,3.0,140.1,1.0,3.0,833.7
2.0,5.0,28.2,1.0,5.0,86.1,1.0,5.0,21.0,1.0,5.0,100.8,1.0,4.0,186.4,1.0,4.0,1117.0
2.0,6.0,119.2,1.0,6.0,306.8,1.0,6.0,166.2,1.0,6.0,409.4,1.0,6.0,419.9,1.0,5.0,1085.0
3.0,2.0,11.0,3.0,1.0,104.5,2.0,1.0,69.3,2.0,1.0,186.1,2.0,1.0,354.0,2.0,1.0,1494.0
3.0,4.0,7.0,3.0,4.0,175.3,2.0,4.0,89.0,2.0,3.0,218.7,2.0,3.0,479.3,2.0,3.0,1950.0
3.0,5.0,12.2,3.0,5.0,266.3,2.0,5.0,158.9,2.0,5.0,308.4,2.0,4.0,513.6,2.0,4.0,1643.0
3.0,6.0,79.0,3.0,6.0,839.8,2.0,6.0,596.1,2.0,6.0,688.9,2.0,6.0,975.0,2.0,5.0,1770.0
4.0,2.0,24.1,4.0,1.0,143.1,4.0,1.0,29.7,3.0,1.0,79.7,3.0,1.0,176.4,3.0,1.0,1162.0
4.0,3.0,16.4,4.0,3.0,222.5,4.0,2.0,67.7,3.0,2.0,172.4,3.0,2.0,445.9,3.0,2.0,2091.0
4.0,5.0,30.5,4.0,5.0,316.0,4.0,5.0,41.3,3.0,5.0,125.8,3.0,4.0,271.3,3.0,4.0,1554.0
4.0,6.0,115.6,4.0,6.0,788.0,4.0,6.0,220.4,3.0,6.0,561.2,3.0,6.0,625.2,3.0,5.0,1554.0
5.0,2.0,52.8,5.0,1.0,307.6,5.0,1.0,72.7,5.0,1.0,165.7,4.0,1.0,273.2,4.0,1.0,1667.0
5.0,3.0,36.4,5.0,3.0,439.1,5.0,2.0,166.0,5.0,2.0,314.3,4.0,2.0,489.5,4.0,2.0,1770.0
5.0,4.0,56.0,5.0,4.0,481.3,5.0,4.0,98.5,5.0,3.0,202.9,4.0,3.0,320.4,4.0,3.0,2130.0
5.0,6.0,107.6,5.0,6.0,1211.0,5.0,6.0,283.3,5.0,6.0,489.5,4.0,6.0,913.1,4.0,5.0,1950.0
6.0,2.0,271.3,6.0,1.0,1009.0,6.0,1.0,520.6,6.0,1.0,1139.0,6.0,1.0,705.8,5.0,1.0,1162.0
6.0,3.0,295.0,6.0,3.0,1667.0,6.0,2.0,1117.0,6.0,2.0,1045.0,6.0,2.0,1085.0,5.0,2.0,1717.0
6.0,4.0,416.8,6.0,4.0,1223.0,6.0,4.0,777.3,6.0,3.0,1403.0,6.0,3.0,1075.0,5.0,3.0,1534.0
6.0,5.0,331.5,6.0,5.0,1743.0,6.0,5.0,668.9,6.0,5.0,1292.0,6.0,4.0,1278.0,5.0,4.0,1643.0
