1,竹田 広樹,竹田 広樹.1,2,町田 洸希,町田 洸希.1,3,小林 孝弘,小林 孝弘.1,4,大塚 雅治,大塚 雅治.1,5,村本 大成,村本 大成.1,6,久保田　凪紗,久保田　凪紗.1
2.0,3.0,8.1,1.0,3.0,13.6,1.0,2.0,51.6,1.0,2.0,36.0,1.0,2.0,218.0,1.0,2.0,1257.0
2.0,4.0,7.4,1.0,4.0,12.9,1.0,4.0,64.1,1.0,3.0,73.2,1.0,3.0,256.5,1.0,3.0,2038.0
2.0,5.0,32.1,1.0,5.0,47.1,1.0,5.0,104.3,1.0,5.0,106.8,1.0,4.0,293.5,1.0,4.0,2038.0
2.0,6.0,186.7,1.0,6.0,294.6,1.0,6.0,520.2,1.0,6.0,667.5,1.0,6.0,1033.0,1.0,5.0,2357.0
3.0,2.0,12.9,3.0,1.0,31.5,2.0,1.0,62.4,2.0,1.0,45.8,2.0,1.0,292.3,2.0,1.0,1839.0
3.0,4.0,22.0,3.0,4.0,29.3,2.0,4.0,63.4,2.0,3.0,45.0,2.0,3.0,384.8,2.0,3.0,3279.0
3.0,5.0,40.6,3.0,5.0,84.3,2.0,5.0,116.7,2.0,5.0,68.3,2.0,4.0,384.8,2.0,4.0,2514.0
3.0,6.0,234.2,3.0,6.0,554.6,2.0,6.0,898.0,2.0,6.0,698.4,2.0,6.0,1676.0,2.0,5.0,2601.0
4.0,2.0,13.0,4.0,1.0,26.4,4.0,1.0,99.1,3.0,1.0,131.6,3.0,1.0,355.8,3.0,1.0,2694.0
4.0,3.0,24.0,4.0,3.0,29.1,4.0,2.0,82.2,3.0,2.0,71.8,3.0,2.0,516.6,3.0,2.0,3771.0
4.0,5.0,52.9,4.0,5.0,63.8,4.0,5.0,141.5,3.0,5.0,207.2,3.0,4.0,538.8,3.0,4.0,3771.0
4.0,6.0,443.7,4.0,6.0,386.8,4.0,6.0,967.1,3.0,6.0,1605.0,3.0,6.0,1985.0,3.0,5.0,3771.0
5.0,2.0,77.3,5.0,1.0,196.4,5.0,1.0,180.4,5.0,1.0,133.2,4.0,1.0,379.0,4.0,1.0,2357.0
5.0,3.0,92.6,5.0,3.0,206.1,5.0,2.0,195.4,5.0,2.0,114.4,4.0,2.0,339.8,4.0,2.0,2357.0
5.0,4.0,148.4,5.0,4.0,175.0,5.0,4.0,261.0,5.0,3.0,214.9,4.0,3.0,421.4,4.0,3.0,3592.0
5.0,6.0,777.6,5.0,6.0,1125.0,5.0,6.0,1396.0,5.0,6.0,685.7,4.0,6.0,1423.0,4.0,5.0,2601.0
6.0,2.0,589.3,6.0,1.0,954.8,6.0,1.0,1047.0,6.0,1.0,1423.0,6.0,1.0,1450.0,5.0,1.0,2285.0
6.0,3.0,644.7,6.0,3.0,1714.0,6.0,2.0,1796.0,6.0,2.0,1508.0,6.0,2.0,1676.0,5.0,2.0,3279.0
6.0,4.0,1005.0,6.0,4.0,1093.0,6.0,4.0,2433.0,6.0,3.0,2038.0,6.0,3.0,2285.0,5.0,3.0,3771.0
6.0,5.0,1300.0,6.0,5.0,1539.0,6.0,5.0,2793.0,6.0,5.0,1571.0,6.0,4.0,1423.0,5.0,4.0,2601.0
