1,松崎　祐太郎,松崎　祐太郎.1,2,間野 兼礼,間野 兼礼.1,3,石川 哲秀,石川 哲秀.1,4,山本 浩輔,山本 浩輔.1,5,森 悠稀,森 悠稀.1,6,長尾　京志郎,長尾　京志郎.1
2.0,3.0,12.0,1.0,3.0,78.9,1.0,2.0,298.3,1.0,2.0,205.6,1.0,2.0,19.7,1.0,2.0,808.5
2.0,4.0,12.4,1.0,4.0,59.6,1.0,4.0,454.6,1.0,3.0,569.4,1.0,3.0,52.9,1.0,3.0,1324.0
2.0,5.0,5.5,1.0,5.0,26.3,1.0,5.0,251.9,1.0,5.0,139.6,1.0,4.0,46.3,1.0,4.0,1402.0
2.0,6.0,25.9,1.0,6.0,114.0,1.0,6.0,645.8,1.0,6.0,378.9,1.0,6.0,35.0,1.0,5.0,566.4
3.0,2.0,23.0,3.0,1.0,322.9,2.0,1.0,436.8,2.0,1.0,288.2,2.0,1.0,40.7,2.0,1.0,1366.0
3.0,4.0,48.6,3.0,4.0,958.5,2.0,4.0,1138.0,2.0,3.0,1224.0,2.0,3.0,144.7,2.0,3.0,3070.0
3.0,5.0,23.6,3.0,5.0,428.8,2.0,5.0,713.2,2.0,5.0,367.7,2.0,4.0,124.9,2.0,4.0,2552.0
3.0,6.0,115.9,3.0,6.0,1384.0,2.0,6.0,1617.0,2.0,6.0,571.0,2.0,6.0,88.2,2.0,5.0,1668.0
4.0,2.0,28.6,4.0,1.0,208.7,4.0,1.0,615.8,3.0,1.0,630.5,3.0,1.0,153.7,3.0,1.0,3310.0
4.0,3.0,58.1,4.0,3.0,1196.0,4.0,2.0,1604.0,3.0,2.0,1546.0,3.0,2.0,293.8,3.0,2.0,5884.0
4.0,5.0,25.4,4.0,5.0,476.0,4.0,5.0,1164.0,3.0,5.0,1126.0,3.0,4.0,446.9,3.0,4.0,4153.0
4.0,6.0,97.3,4.0,6.0,1283.0,4.0,6.0,1925.0,3.0,6.0,1842.0,3.0,6.0,404.2,3.0,5.0,3851.0
5.0,2.0,7.8,5.0,1.0,72.3,5.0,1.0,361.5,5.0,1.0,148.3,4.0,1.0,101.3,4.0,1.0,2522.0
5.0,3.0,20.5,5.0,3.0,319.5,5.0,2.0,670.4,5.0,2.0,234.8,4.0,2.0,179.0,4.0,2.0,3590.0
5.0,4.0,18.9,5.0,4.0,374.9,5.0,4.0,1043.0,5.0,3.0,641.9,4.0,3.0,489.2,4.0,3.0,6230.0
5.0,6.0,31.3,5.0,6.0,412.9,5.0,6.0,1138.0,5.0,6.0,236.9,4.0,6.0,195.0,4.0,5.0,2229.0
6.0,2.0,112.5,6.0,1.0,356.6,6.0,1.0,1513.0,6.0,1.0,674.6,6.0,1.0,77.3,5.0,1.0,517.9
6.0,3.0,253.4,6.0,3.0,2184.0,6.0,2.0,2522.0,6.0,2.0,595.0,6.0,2.0,103.0,5.0,2.0,847.3
6.0,4.0,233.0,6.0,4.0,1826.0,6.0,4.0,2522.0,6.0,3.0,1908.0,6.0,3.0,324.4,5.0,3.0,1441.0
6.0,5.0,109.3,6.0,5.0,949.9,6.0,5.0,1998.0,6.0,5.0,710.8,6.0,4.0,238.5,5.0,4.0,1402.0
