1,服部 達哉,服部 達哉.1,2,小林 文彦,小林 文彦.1,3,北山 康介,北山 康介.1,4,東 潤樹,東 潤樹.1,5,山口 修路,山口 修路.1,6,山本 幸也,山本 幸也.1
2.0,3.0,5.1,1.0,3.0,21.8,1.0,2.0,14.3,1.0,2.0,470.5,1.0,2.0,262.0,1.0,2.0,1584.0
2.0,4.0,22.2,1.0,4.0,81.2,1.0,4.0,34.5,1.0,3.0,467.5,1.0,3.0,223.2,1.0,3.0,1196.0
2.0,5.0,13.4,1.0,5.0,50.4,1.0,5.0,21.6,1.0,5.0,640.3,1.0,4.0,753.5,1.0,4.0,3064.0
2.0,6.0,119.3,1.0,6.0,323.5,1.0,6.0,148.4,1.0,6.0,1162.0,1.0,6.0,983.4,1.0,5.0,2143.0
3.0,2.0,5.2,3.0,1.0,34.3,2.0,1.0,23.7,2.0,1.0,549.2,2.0,1.0,358.2,2.0,1.0,1941.0
3.0,4.0,15.8,3.0,4.0,146.4,2.0,4.0,80.3,2.0,3.0,756.6,2.0,3.0,355.8,2.0,3.0,2118.0
3.0,5.0,10.0,3.0,5.0,79.3,2.0,5.0,49.3,2.0,5.0,1002.0,2.0,4.0,1059.0,2.0,4.0,2471.0
3.0,6.0,93.3,3.0,6.0,486.5,2.0,6.0,280.8,2.0,6.0,1383.0,2.0,6.0,1358.0,2.0,5.0,2288.0
4.0,2.0,60.1,4.0,1.0,271.0,4.0,1.0,88.4,3.0,1.0,479.6,3.0,1.0,266.9,3.0,1.0,1483.0
4.0,3.0,60.8,4.0,3.0,365.2,4.0,2.0,116.8,3.0,2.0,698.2,3.0,2.0,331.3,3.0,2.0,2155.0
4.0,5.0,107.4,4.0,5.0,533.4,4.0,5.0,100.0,3.0,5.0,543.6,3.0,4.0,766.0,3.0,4.0,2706.0
4.0,6.0,331.9,4.0,6.0,1248.0,4.0,6.0,356.8,3.0,6.0,1158.0,3.0,6.0,1196.0,3.0,5.0,1826.0
5.0,2.0,39.4,5.0,1.0,170.2,5.0,1.0,53.1,5.0,1.0,809.5,4.0,1.0,1018.0,4.0,1.0,3115.0
5.0,3.0,38.4,5.0,3.0,185.2,5.0,2.0,67.1,5.0,2.0,1056.0,4.0,2.0,1358.0,4.0,2.0,3433.0
5.0,4.0,129.7,5.0,4.0,547.6,5.0,4.0,112.5,5.0,3.0,783.8,4.0,3.0,1137.0,4.0,3.0,3433.0
5.0,6.0,338.2,5.0,6.0,994.0,5.0,6.0,309.4,5.0,6.0,1442.0,4.0,6.0,2037.0,4.0,5.0,3196.0
6.0,2.0,503.0,6.0,1.0,1090.0,6.0,1.0,568.6,6.0,1.0,1993.0,6.0,1.0,1891.0,5.0,1.0,2611.0
6.0,3.0,437.2,6.0,3.0,1265.0,6.0,2.0,747.5,6.0,2.0,2106.0,6.0,2.0,2288.0,5.0,2.0,3014.0
6.0,4.0,800.7,6.0,4.0,2118.0,6.0,4.0,931.5,6.0,3.0,2026.0,6.0,3.0,1872.0,5.0,3.0,2706.0
6.0,5.0,669.2,6.0,5.0,1378.0,6.0,5.0,787.1,6.0,5.0,2331.0,6.0,4.0,2874.0,5.0,4.0,3340.0
