1,水摩 敦,水摩 敦.1,2,前野 竜一,前野 竜一.1,3,大須賀 友,大須賀 友.1,4,鈴木 智啓,鈴木 智啓.1,5,吉永 浩則,吉永 浩則.1,6,下河 雅史,下河 雅史.1
2.0,3.0,5.2,1.0,3.0,43.1,1.0,2.0,16.8,1.0,2.0,414.3,1.0,2.0,1311.0,1.0,2.0,413.0
2.0,4.0,17.5,1.0,4.0,134.8,1.0,4.0,26.4,1.0,3.0,347.3,1.0,3.0,691.9,1.0,3.0,320.4
2.0,5.0,52.7,1.0,5.0,248.9,1.0,5.0,49.2,1.0,5.0,901.9,1.0,4.0,2078.0,1.0,4.0,1150.0
2.0,6.0,19.0,1.0,6.0,120.6,1.0,6.0,23.1,1.0,6.0,535.0,1.0,6.0,1830.0,1.0,5.0,1472.0
3.0,2.0,4.1,3.0,1.0,69.7,2.0,1.0,43.0,2.0,1.0,747.1,2.0,1.0,2451.0,2.0,1.0,639.3
3.0,4.0,9.6,3.0,4.0,302.4,2.0,4.0,153.8,2.0,3.0,837.6,2.0,3.0,1891.0,2.0,3.0,789.2
3.0,5.0,26.1,3.0,5.0,439.9,2.0,5.0,250.1,2.0,5.0,1996.0,2.0,4.0,4765.0,2.0,4.0,2113.0
3.0,6.0,10.8,3.0,6.0,275.7,2.0,6.0,116.8,2.0,6.0,1024.0,2.0,6.0,4174.0,2.0,5.0,3797.0
4.0,2.0,34.7,4.0,1.0,491.3,4.0,1.0,108.4,3.0,1.0,400.5,3.0,1.0,1095.0,3.0,1.0,425.1
4.0,3.0,34.0,4.0,3.0,690.0,4.0,2.0,219.7,3.0,2.0,662.0,3.0,2.0,1613.0,3.0,2.0,723.6
4.0,5.0,141.7,4.0,5.0,1485.0,4.0,5.0,298.3,3.0,5.0,879.9,3.0,4.0,2971.0,3.0,4.0,1741.0
4.0,6.0,69.0,4.0,6.0,863.4,4.0,6.0,185.8,3.0,6.0,641.8,3.0,6.0,3024.0,3.0,5.0,2563.0
5.0,2.0,154.3,5.0,1.0,1041.0,5.0,1.0,210.9,5.0,1.0,1549.0,4.0,1.0,3436.0,4.0,1.0,2113.0
5.0,3.0,128.2,5.0,3.0,956.6,5.0,2.0,419.5,5.0,2.0,2617.0,4.0,2.0,4550.0,4.0,2.0,2317.0
5.0,4.0,269.2,5.0,4.0,2360.0,5.0,4.0,501.5,5.0,3.0,1772.0,4.0,3.0,3660.0,4.0,3.0,2821.0
5.0,6.0,215.5,5.0,6.0,1624.0,5.0,6.0,398.3,5.0,6.0,1516.0,4.0,6.0,3797.0,4.0,5.0,3885.0
6.0,2.0,56.4,6.0,1.0,480.5,6.0,1.0,96.3,6.0,1.0,1074.0,6.0,1.0,3024.0,5.0,1.0,3483.0
6.0,3.0,56.1,6.0,3.0,579.2,6.0,2.0,188.2,6.0,2.0,1368.0,6.0,2.0,5051.0,5.0,2.0,5739.0
6.0,4.0,130.5,6.0,4.0,1231.0,6.0,4.0,313.7,6.0,3.0,1137.0,6.0,3.0,3826.0,5.0,3.0,4174.0
6.0,5.0,238.7,6.0,5.0,1996.0,6.0,5.0,450.5,6.0,5.0,2393.0,6.0,4.0,5051.0,5.0,4.0,4765.0
