1,三松 直美,三松 直美.1,2,松瀬 弘美,松瀬 弘美.1,3,淺田　千亜希,淺田　千亜希.1,4,大瀧　明日香,大瀧　明日香.1,5,井上 未都,井上 未都.1,6,魚谷 香織,魚谷 香織.1
2.0,3.0,49.7,1.0,3.0,75.7,1.0,2.0,69.9,1.0,2.0,140.0,1.0,2.0,1063.0,1.0,2.0,181.0
2.0,4.0,47.2,1.0,4.0,78.6,1.0,4.0,40.4,1.0,3.0,109.7,1.0,3.0,842.8,1.0,3.0,168.5
2.0,5.0,186.8,1.0,5.0,247.7,1.0,5.0,192.2,1.0,5.0,343.8,1.0,4.0,1250.0,1.0,4.0,141.0
2.0,6.0,60.1,1.0,6.0,81.0,1.0,6.0,47.7,1.0,6.0,81.4,1.0,6.0,933.6,1.0,5.0,484.7
3.0,2.0,48.5,3.0,1.0,78.7,2.0,1.0,79.0,2.0,1.0,165.2,2.0,1.0,1175.0,2.0,1.0,206.7
3.0,4.0,31.5,3.0,4.0,33.2,2.0,4.0,24.4,2.0,3.0,94.2,2.0,3.0,1029.0,2.0,3.0,122.6
3.0,5.0,164.1,3.0,5.0,172.5,2.0,5.0,150.1,2.0,5.0,318.5,2.0,4.0,1000.0,2.0,4.0,99.6
3.0,6.0,39.7,3.0,6.0,31.0,2.0,6.0,22.6,2.0,6.0,67.9,2.0,6.0,778.9,2.0,5.0,468.4
4.0,2.0,58.7,4.0,1.0,95.0,4.0,1.0,39.1,3.0,1.0,79.5,3.0,1.0,940.3,3.0,1.0,156.2
4.0,3.0,51.6,4.0,3.0,51.3,4.0,2.0,27.8,3.0,2.0,62.1,3.0,2.0,918.2,3.0,2.0,107.2
4.0,5.0,208.0,4.0,5.0,210.0,4.0,5.0,76.5,3.0,5.0,143.4,3.0,4.0,693.1,3.0,4.0,45.3
4.0,6.0,41.6,4.0,6.0,41.9,4.0,6.0,12.4,3.0,6.0,23.5,3.0,6.0,618.4,3.0,5.0,349.0
5.0,2.0,436.5,5.0,1.0,605.9,5.0,1.0,384.8,5.0,1.0,536.8,4.0,1.0,1235.0,4.0,1.0,119.8
5.0,3.0,453.7,5.0,3.0,441.4,5.0,2.0,326.0,5.0,2.0,544.2,4.0,2.0,1021.0,4.0,2.0,86.6
5.0,4.0,608.8,5.0,4.0,461.8,5.0,4.0,213.4,5.0,3.0,380.7,4.0,3.0,811.3,4.0,3.0,52.1
5.0,6.0,501.6,5.0,6.0,360.3,5.0,6.0,187.8,5.0,6.0,243.1,4.0,6.0,563.1,4.0,5.0,261.0
6.0,2.0,108.2,6.0,1.0,133.9,6.0,1.0,54.4,6.0,1.0,69.0,6.0,1.0,1060.0,5.0,1.0,771.2
6.0,3.0,83.7,6.0,3.0,65.3,6.0,2.0,32.8,6.0,2.0,53.8,6.0,2.0,876.9,5.0,2.0,816.4
6.0,4.0,81.5,6.0,4.0,62.9,6.0,4.0,17.3,6.0,3.0,28.9,6.0,3.0,726.7,5.0,3.0,720.0
6.0,5.0,329.3,6.0,5.0,264.7,6.0,5.0,107.9,6.0,5.0,135.5,6.0,4.0,559.1,5.0,4.0,521.0
