1,小池 礼乃,小池 礼乃.1,2,佐藤　ほのか,佐藤　ほのか.1,3,井上 未都,井上 未都.1,4,渡邉　真奈美,渡邉　真奈美.1,5,白石 有美,白石 有美.1,6,坂本 奈央,坂本 奈央.1
2.0,3.0,10.1,1.0,3.0,18.6,1.0,2.0,17.1,1.0,2.0,63.0,1.0,2.0,738.2,1.0,2.0,1532.0
2.0,4.0,14.9,1.0,4.0,25.1,1.0,4.0,15.6,1.0,3.0,50.3,1.0,3.0,541.2,1.0,3.0,1731.0
2.0,5.0,85.5,1.0,5.0,137.6,1.0,5.0,59.2,1.0,5.0,156.7,1.0,4.0,825.7,1.0,4.0,2626.0
2.0,6.0,219.5,1.0,6.0,322.6,1.0,6.0,215.8,1.0,6.0,389.7,1.0,6.0,2445.0,1.0,5.0,3408.0
3.0,2.0,8.9,3.0,1.0,23.0,2.0,1.0,25.6,2.0,1.0,83.6,2.0,1.0,1148.0,2.0,1.0,1965.0
3.0,4.0,8.4,3.0,4.0,24.9,2.0,4.0,27.8,2.0,3.0,85.2,2.0,3.0,1020.0,2.0,3.0,2240.0
3.0,5.0,41.3,3.0,5.0,85.7,2.0,5.0,92.7,2.0,5.0,214.7,2.0,4.0,967.9,2.0,4.0,2391.0
3.0,6.0,139.4,3.0,6.0,325.6,2.0,6.0,370.8,2.0,6.0,473.9,2.0,6.0,2522.0,2.0,5.0,3682.0
4.0,2.0,23.5,4.0,1.0,46.2,4.0,1.0,24.3,3.0,1.0,55.3,3.0,1.0,702.6,3.0,1.0,2150.0
4.0,3.0,18.9,4.0,3.0,42.0,4.0,2.0,31.8,3.0,2.0,78.2,3.0,2.0,1064.0,3.0,2.0,3337.0
4.0,5.0,95.4,4.0,5.0,150.7,4.0,5.0,76.0,3.0,5.0,170.6,3.0,4.0,1086.0,3.0,4.0,3022.0
4.0,6.0,254.8,4.0,6.0,370.8,4.0,6.0,257.9,3.0,6.0,484.7,3.0,6.0,2912.0,3.0,5.0,3860.0
5.0,2.0,300.2,5.0,1.0,403.5,5.0,1.0,176.5,5.0,1.0,299.4,4.0,1.0,979.8,4.0,1.0,2738.0
5.0,3.0,224.3,5.0,3.0,341.5,5.0,2.0,230.1,5.0,2.0,334.4,4.0,2.0,923.3,4.0,2.0,2355.0
5.0,4.0,334.7,5.0,4.0,443.7,5.0,4.0,219.5,5.0,3.0,362.8,4.0,3.0,970.8,4.0,3.0,2464.0
5.0,6.0,773.9,5.0,6.0,1313.0,5.0,6.0,715.1,5.0,6.0,701.0,4.0,6.0,2304.0,4.0,5.0,3559.0
6.0,2.0,797.0,6.0,1.0,640.7,6.0,1.0,759.2,6.0,1.0,1040.0,6.0,1.0,3682.0,5.0,1.0,4449.0
6.0,3.0,666.1,6.0,3.0,985.8,6.0,2.0,1152.0,6.0,2.0,1010.0,6.0,2.0,3814.0,5.0,2.0,4643.0
6.0,4.0,959.2,6.0,4.0,1007.0,6.0,4.0,899.9,6.0,3.0,1199.0,6.0,3.0,3303.0,5.0,3.0,3860.0
6.0,5.0,1291.0,6.0,5.0,1570.0,6.0,5.0,905.0,6.0,5.0,1199.0,6.0,4.0,3080.0,5.0,4.0,3520.0
