1,片橋 幸貴,片橋 幸貴.1,2,岩永 雅人,岩永 雅人.1,3,魚谷 香織,魚谷 香織.1,4,貫地谷　直人,貫地谷　直人.1,5,梶山 涼斗,梶山 涼斗.1,6,東 健介,東 健介.1
2.0,3.0,5.6,1.0,3.0,31.9,1.0,2.0,40.5,1.0,2.0,399.4,1.0,2.0,54.5,1.0,2.0,920.8
2.0,4.0,23.7,1.0,4.0,96.8,1.0,4.0,103.9,1.0,3.0,440.4,1.0,3.0,65.5,1.0,3.0,1162.0
2.0,5.0,7.4,1.0,5.0,39.6,1.0,5.0,49.5,1.0,5.0,398.4,1.0,4.0,198.5,1.0,4.0,2139.0
2.0,6.0,40.3,1.0,6.0,149.3,1.0,6.0,157.6,1.0,6.0,626.1,1.0,6.0,98.4,1.0,5.0,874.8
3.0,2.0,7.0,3.0,1.0,70.2,2.0,1.0,74.4,2.0,1.0,679.3,2.0,1.0,112.2,2.0,1.0,1231.0
3.0,4.0,25.6,3.0,4.0,321.4,2.0,4.0,296.7,2.0,3.0,850.4,2.0,3.0,180.8,2.0,3.0,2129.0
3.0,5.0,9.2,3.0,5.0,139.3,2.0,5.0,158.9,2.0,5.0,1012.0,2.0,4.0,529.4,2.0,4.0,3018.0
3.0,6.0,50.3,3.0,6.0,469.4,2.0,6.0,435.3,2.0,6.0,1248.0,2.0,6.0,259.2,2.0,5.0,1733.0
4.0,2.0,62.5,4.0,1.0,374.5,4.0,1.0,290.3,3.0,1.0,673.2,3.0,1.0,164.9,3.0,1.0,1657.0
4.0,3.0,66.6,4.0,3.0,584.3,4.0,2.0,430.0,3.0,2.0,885.0,3.0,2.0,248.8,3.0,2.0,2386.0
4.0,5.0,69.5,4.0,5.0,633.0,4.0,5.0,386.6,3.0,5.0,1006.0,3.0,4.0,655.8,3.0,4.0,2477.0
4.0,6.0,143.2,4.0,6.0,1067.0,4.0,6.0,642.9,3.0,6.0,1393.0,3.0,6.0,439.1,3.0,5.0,2884.0
5.0,2.0,13.3,5.0,1.0,116.2,5.0,1.0,112.0,5.0,1.0,513.3,4.0,1.0,494.9,4.0,1.0,2697.0
5.0,3.0,15.3,5.0,3.0,170.8,5.0,2.0,190.4,5.0,2.0,839.4,4.0,2.0,772.5,4.0,2.0,3038.0
5.0,4.0,54.1,5.0,4.0,522.7,5.0,4.0,351.9,5.0,3.0,904.4,4.0,3.0,825.7,4.0,3.0,3327.0
5.0,6.0,44.4,5.0,6.0,489.6,5.0,6.0,330.0,5.0,6.0,671.3,4.0,6.0,783.1,4.0,5.0,2796.0
6.0,2.0,145.9,6.0,1.0,714.4,6.0,1.0,573.3,6.0,1.0,1122.0,6.0,1.0,234.5,5.0,1.0,947.6
6.0,3.0,151.4,6.0,3.0,1125.0,6.0,2.0,712.2,6.0,2.0,1651.0,6.0,2.0,329.8,5.0,2.0,1389.0
6.0,4.0,255.9,6.0,4.0,1360.0,6.0,4.0,860.0,6.0,3.0,1801.0,6.0,3.0,461.3,5.0,3.0,2071.0
6.0,5.0,134.2,6.0,5.0,1128.0,6.0,5.0,726.9,6.0,5.0,1460.0,6.0,4.0,764.7,5.0,4.0,2267.0
