1,東 健介,東 健介.1,2,後藤 正宗,後藤 正宗.1,3,奈須 啓太,奈須 啓太.1,4,松下 哲也,松下 哲也.1,5,杉山 勝匡,杉山 勝匡.1,6,岡村 将也,岡村 将也.1
2.0,3.0,12.0,1.0,3.0,14.0,1.0,2.0,31.7,1.0,2.0,108.5,1.0,2.0,241.3,1.0,2.0,511.4
2.0,4.0,28.8,1.0,4.0,27.8,1.0,4.0,37.3,1.0,3.0,132.1,1.0,3.0,269.8,1.0,3.0,447.2
2.0,5.0,61.0,1.0,5.0,49.7,1.0,5.0,62.9,1.0,5.0,167.5,1.0,4.0,337.7,1.0,4.0,585.0
2.0,6.0,47.3,1.0,6.0,33.0,1.0,6.0,43.9,1.0,6.0,145.2,1.0,6.0,264.4,1.0,5.0,908.4
3.0,2.0,14.3,3.0,1.0,17.2,2.0,1.0,28.6,2.0,1.0,135.0,2.0,1.0,275.9,2.0,1.0,554.0
3.0,4.0,23.6,3.0,4.0,22.4,2.0,4.0,38.1,2.0,3.0,134.4,2.0,3.0,221.6,2.0,3.0,325.7
3.0,5.0,51.6,3.0,5.0,45.7,2.0,5.0,48.7,2.0,5.0,231.7,2.0,4.0,447.2,2.0,4.0,677.1
3.0,6.0,40.8,3.0,6.0,27.0,2.0,6.0,32.1,2.0,6.0,170.8,2.0,6.0,228.8,2.0,5.0,670.9
4.0,2.0,59.4,4.0,1.0,63.5,4.0,1.0,83.8,3.0,1.0,176.2,3.0,1.0,337.0,3.0,1.0,515.0
4.0,3.0,55.2,4.0,3.0,56.8,4.0,2.0,77.5,3.0,2.0,152.0,3.0,2.0,277.0,3.0,2.0,345.7
4.0,5.0,117.3,4.0,5.0,161.9,4.0,5.0,113.6,3.0,5.0,260.2,3.0,4.0,526.1,3.0,4.0,522.3
4.0,6.0,98.4,4.0,6.0,118.7,4.0,6.0,74.2,3.0,6.0,183.2,3.0,6.0,312.5,3.0,5.0,655.8
5.0,2.0,151.5,5.0,1.0,173.5,5.0,1.0,184.6,5.0,1.0,233.2,4.0,1.0,364.7,4.0,1.0,696.4
5.0,3.0,146.8,5.0,3.0,116.9,5.0,2.0,132.2,5.0,2.0,244.5,4.0,2.0,437.9,4.0,2.0,674.0
5.0,4.0,213.8,5.0,4.0,238.9,5.0,4.0,203.4,5.0,3.0,309.8,4.0,3.0,507.8,4.0,3.0,606.8
5.0,6.0,235.5,5.0,6.0,176.8,5.0,6.0,145.3,5.0,6.0,188.9,4.0,6.0,338.5,4.0,5.0,817.1
6.0,2.0,173.5,6.0,1.0,170.4,6.0,1.0,134.5,6.0,1.0,254.8,6.0,1.0,397.4,5.0,1.0,840.5
6.0,3.0,149.4,6.0,3.0,113.4,6.0,2.0,103.5,6.0,2.0,258.4,6.0,2.0,350.7,5.0,2.0,683.4
6.0,4.0,203.9,6.0,4.0,232.9,6.0,4.0,159.8,6.0,3.0,259.7,6.0,3.0,401.8,5.0,3.0,667.8
6.0,5.0,319.3,6.0,5.0,309.2,6.0,5.0,196.3,6.0,5.0,279.1,6.0,4.0,564.7,5.0,4.0,812.5
