1,中田 元泰,中田 元泰.1,2,國弘 翔平,國弘 翔平.1,3,下寺 秀和,下寺 秀和.1,4,永嶋 裕一,永嶋 裕一.1,5,角浜 修,角浜 修.1,6,間嶋 仁志,間嶋 仁志.1
2.0,3.0,28.7,1.0,3.0,105.8,1.0,2.0,45.6,1.0,2.0,167.2,1.0,2.0,748.4,1.0,2.0,124.8
2.0,4.0,50.1,1.0,4.0,147.8,1.0,4.0,16.3,1.0,3.0,67.9,1.0,3.0,448.2,1.0,3.0,61.4
2.0,5.0,112.1,1.0,5.0,333.5,1.0,5.0,52.9,1.0,5.0,144.7,1.0,4.0,778.5,1.0,4.0,121.6
2.0,6.0,41.2,1.0,6.0,198.3,1.0,6.0,20.1,1.0,6.0,111.7,1.0,6.0,894.9,1.0,5.0,280.0
3.0,2.0,17.3,3.0,1.0,125.6,2.0,1.0,86.4,2.0,1.0,288.3,2.0,1.0,1117.0,2.0,1.0,310.0
3.0,4.0,9.6,3.0,4.0,133.4,2.0,4.0,76.8,2.0,3.0,331.7,2.0,3.0,1107.0,2.0,3.0,370.9
3.0,5.0,35.8,3.0,5.0,258.1,2.0,5.0,197.2,2.0,5.0,644.8,2.0,4.0,1622.0,2.0,4.0,595.9
3.0,6.0,8.7,3.0,6.0,241.8,2.0,6.0,151.3,2.0,6.0,546.6,2.0,6.0,1809.0,2.0,5.0,1112.0
4.0,2.0,65.1,4.0,1.0,250.7,4.0,1.0,21.8,3.0,1.0,55.3,3.0,1.0,497.9,3.0,1.0,93.8
4.0,3.0,26.1,4.0,3.0,254.0,4.0,2.0,59.1,3.0,2.0,147.7,3.0,2.0,898.1,3.0,2.0,242.5
4.0,5.0,108.0,4.0,5.0,517.4,4.0,5.0,41.3,3.0,5.0,99.1,3.0,4.0,608.8,3.0,4.0,202.8
4.0,6.0,44.2,4.0,6.0,487.3,4.0,6.0,39.4,3.0,6.0,96.6,3.0,6.0,938.3,3.0,5.0,464.8
5.0,2.0,191.3,5.0,1.0,646.4,5.0,1.0,99.6,5.0,1.0,258.9,4.0,1.0,948.9,4.0,1.0,300.8
5.0,3.0,115.7,5.0,3.0,676.0,5.0,2.0,233.7,5.0,2.0,557.5,4.0,2.0,1571.0,4.0,2.0,625.5
5.0,4.0,166.8,5.0,4.0,945.3,5.0,4.0,100.5,5.0,3.0,269.5,4.0,3.0,716.4,4.0,3.0,321.1
5.0,6.0,156.5,5.0,6.0,1153.0,5.0,6.0,172.2,5.0,6.0,439.6,4.0,6.0,1571.0,4.0,5.0,911.1
6.0,2.0,29.9,6.0,1.0,374.7,6.0,1.0,46.8,6.0,1.0,221.7,6.0,1.0,1289.0,5.0,1.0,873.1
6.0,3.0,12.0,6.0,3.0,476.2,6.0,2.0,128.3,6.0,2.0,557.5,6.0,2.0,2095.0,5.0,2.0,1352.0
6.0,4.0,30.5,6.0,4.0,601.6,6.0,4.0,70.6,6.0,3.0,226.9,6.0,3.0,1302.0,5.0,3.0,901.3
6.0,5.0,74.0,6.0,5.0,1270.0,6.0,5.0,191.5,6.0,5.0,591.7,6.0,4.0,2028.0,5.0,4.0,1270.0
