1,佐藤 翼,佐藤 翼.1,2,今井 貴士,今井 貴士.1,3,馬場 貴也,馬場 貴也.1,4,古賀 繁輝,古賀 繁輝.1,5,大上 卓人,大上 卓人.1,6,柳沢 一,柳沢 一.1
2.0,3.0,12.1,1.0,3.0,59.7,1.0,2.0,24.0,1.0,2.0,271.0,1.0,2.0,287.6,1.0,2.0,783.5
2.0,4.0,28.8,1.0,4.0,111.2,1.0,4.0,17.0,1.0,3.0,173.7,1.0,3.0,133.2,1.0,3.0,401.4
2.0,5.0,30.1,1.0,5.0,107.9,1.0,5.0,13.6,1.0,5.0,250.7,1.0,4.0,412.5,1.0,4.0,931.0
2.0,6.0,41.0,1.0,6.0,147.8,1.0,6.0,21.5,1.0,6.0,327.7,1.0,6.0,269.0,1.0,5.0,780.1
3.0,2.0,10.3,3.0,1.0,93.4,2.0,1.0,67.9,2.0,1.0,463.7,2.0,1.0,534.1,2.0,1.0,1242.0
3.0,4.0,9.6,3.0,4.0,219.9,2.0,4.0,136.1,2.0,3.0,518.6,2.0,3.0,552.3,2.0,3.0,1266.0
3.0,5.0,9.2,3.0,5.0,193.2,2.0,5.0,116.1,2.0,5.0,709.7,2.0,4.0,1231.0,2.0,4.0,1876.0
3.0,6.0,16.7,3.0,6.0,260.4,2.0,6.0,139.2,2.0,6.0,760.7,2.0,6.0,838.2,2.0,5.0,1604.0
4.0,2.0,44.2,4.0,1.0,321.5,4.0,1.0,59.7,3.0,1.0,203.6,3.0,1.0,168.9,3.0,1.0,422.0
4.0,3.0,30.1,4.0,3.0,407.4,4.0,2.0,139.6,3.0,2.0,448.1,3.0,2.0,434.3,3.0,2.0,1001.0
4.0,5.0,58.2,4.0,5.0,609.8,4.0,5.0,90.4,3.0,5.0,292.8,3.0,4.0,448.6,3.0,4.0,887.0
4.0,6.0,70.5,4.0,6.0,687.7,4.0,6.0,117.9,3.0,6.0,387.4,3.0,6.0,338.1,3.0,5.0,849.9
5.0,2.0,50.2,5.0,1.0,366.0,5.0,1.0,46.4,5.0,1.0,392.3,4.0,1.0,670.1,4.0,1.0,1286.0
5.0,3.0,30.0,5.0,3.0,416.2,5.0,2.0,118.9,5.0,2.0,730.3,4.0,2.0,1217.0,4.0,2.0,1876.0
5.0,4.0,84.0,5.0,4.0,824.1,5.0,4.0,105.9,5.0,3.0,400.1,4.0,3.0,731.0,4.0,3.0,1261.0
5.0,6.0,70.2,5.0,6.0,801.5,5.0,6.0,87.5,5.0,6.0,427.4,4.0,6.0,600.3,4.0,5.0,1003.0
6.0,2.0,108.6,6.0,1.0,586.3,6.0,1.0,93.9,6.0,1.0,592.5,6.0,1.0,647.0,5.0,1.0,1112.0
6.0,3.0,62.6,6.0,3.0,728.8,6.0,2.0,214.1,6.0,2.0,998.3,6.0,2.0,1105.0,5.0,2.0,1655.0
6.0,4.0,137.7,6.0,4.0,1118.0,6.0,4.0,225.1,6.0,3.0,698.2,6.0,3.0,637.4,5.0,3.0,1095.0
6.0,5.0,121.1,6.0,5.0,1105.0,6.0,5.0,170.5,6.0,5.0,570.8,6.0,4.0,702.9,5.0,4.0,982.2
