1,前田 将太,前田 将太.1,2,赤坂 俊輔,赤坂 俊輔.1,3,山口 剛,山口 剛.1,4,岡村 仁,岡村 仁.1,5,市橋 卓士,市橋 卓士.1,6,佐藤　隆太郎,佐藤　隆太郎.1
2.0,3.0,13.5,1.0,3.0,77.7,1.0,2.0,42.7,1.0,2.0,269.5,1.0,2.0,419.7,1.0,2.0,411.0
2.0,4.0,24.3,1.0,4.0,126.6,1.0,4.0,19.9,1.0,3.0,126.9,1.0,3.0,221.2,1.0,3.0,208.6
2.0,5.0,41.7,1.0,5.0,171.6,1.0,5.0,29.0,1.0,5.0,216.2,1.0,4.0,430.8,1.0,4.0,473.3
2.0,6.0,34.7,1.0,6.0,156.7,1.0,6.0,20.8,1.0,6.0,178.6,1.0,6.0,343.9,1.0,5.0,662.8
3.0,2.0,11.8,3.0,1.0,159.5,2.0,1.0,116.2,2.0,1.0,496.9,2.0,1.0,799.9,2.0,1.0,705.5
3.0,4.0,7.5,3.0,4.0,305.2,2.0,4.0,184.7,2.0,3.0,558.1,2.0,3.0,884.8,2.0,3.0,919.9
3.0,5.0,12.5,3.0,5.0,372.8,2.0,5.0,221.8,2.0,5.0,774.5,2.0,4.0,1399.0,2.0,4.0,1217.0
3.0,6.0,9.9,3.0,6.0,337.0,2.0,6.0,146.5,2.0,6.0,667.8,2.0,6.0,1064.0,2.0,5.0,1533.0
4.0,2.0,32.5,4.0,1.0,323.7,4.0,1.0,53.6,3.0,1.0,171.5,3.0,1.0,322.6,3.0,1.0,260.0
4.0,3.0,17.9,4.0,3.0,449.3,4.0,2.0,155.4,3.0,2.0,476.1,3.0,2.0,739.2,3.0,2.0,770.2
4.0,5.0,41.9,4.0,5.0,693.0,4.0,5.0,90.0,3.0,5.0,279.8,3.0,4.0,592.7,3.0,4.0,504.4
4.0,6.0,29.6,4.0,6.0,589.1,4.0,6.0,61.6,3.0,6.0,225.4,3.0,6.0,445.0,3.0,5.0,696.0
5.0,2.0,71.0,5.0,1.0,584.5,5.0,1.0,99.3,5.0,1.0,388.9,4.0,1.0,717.5,4.0,1.0,773.8
5.0,3.0,40.4,5.0,3.0,653.5,5.0,2.0,260.6,5.0,2.0,647.0,4.0,2.0,1237.0,4.0,2.0,1470.0
5.0,4.0,76.9,5.0,4.0,1022.0,5.0,4.0,154.8,5.0,3.0,375.7,4.0,3.0,660.1,4.0,3.0,726.6
5.0,6.0,63.5,5.0,6.0,930.4,5.0,6.0,120.8,5.0,6.0,390.9,4.0,6.0,714.8,4.0,5.0,1272.0
6.0,2.0,82.3,6.0,1.0,544.4,6.0,1.0,69.6,6.0,1.0,340.4,6.0,1.0,749.5,5.0,1.0,1062.0
6.0,3.0,35.5,6.0,3.0,696.5,6.0,2.0,208.6,6.0,2.0,684.7,6.0,2.0,1352.0,5.0,2.0,1728.0
6.0,4.0,66.5,6.0,4.0,973.1,6.0,4.0,108.6,6.0,3.0,355.7,6.0,3.0,691.5,5.0,3.0,888.0
6.0,5.0,100.9,6.0,5.0,1234.0,6.0,5.0,152.9,6.0,5.0,533.4,6.0,4.0,1005.0,5.0,4.0,1243.0
