1,板橋 侑我,板橋 侑我.1,2,武田 正紀,武田 正紀.1,3,大原 祥昌,大原 祥昌.1,4,小林 礼央,小林 礼央.1,5,鈴木 秀茉,鈴木 秀茉.1,6,大野 芳顕,大野 芳顕.1
2.0,3.0,19.0,1.0,3.0,143.4,1.0,2.0,51.1,1.0,2.0,880.2,1.0,2.0,112.4,1.0,2.0,102.4
2.0,4.0,145.9,1.0,4.0,547.4,1.0,4.0,188.8,1.0,3.0,895.2,1.0,3.0,71.1,1.0,3.0,58.4
2.0,5.0,32.5,1.0,5.0,194.2,1.0,5.0,27.2,1.0,5.0,885.1,1.0,4.0,343.4,1.0,4.0,333.2
2.0,6.0,25.9,1.0,6.0,157.4,1.0,6.0,20.0,1.0,6.0,779.7,1.0,6.0,47.0,1.0,5.0,59.1
3.0,2.0,14.9,3.0,1.0,179.8,2.0,1.0,130.6,2.0,1.0,1272.0,2.0,1.0,245.8,2.0,1.0,208.2
3.0,4.0,89.7,3.0,4.0,787.5,2.0,4.0,578.7,2.0,3.0,1870.0,2.0,3.0,410.2,2.0,3.0,297.2
3.0,5.0,9.3,3.0,5.0,238.7,2.0,5.0,170.5,2.0,5.0,2732.0,2.0,4.0,1532.0,2.0,4.0,897.8
3.0,6.0,7.3,3.0,6.0,200.4,2.0,6.0,126.8,2.0,6.0,1671.0,2.0,6.0,272.7,2.0,5.0,321.9
4.0,2.0,351.4,4.0,1.0,1176.0,4.0,1.0,670.0,3.0,1.0,1190.0,3.0,1.0,108.3,3.0,1.0,83.9
4.0,3.0,309.2,4.0,3.0,1503.0,4.0,2.0,1213.0,3.0,2.0,1904.0,3.0,2.0,267.6,3.0,2.0,208.9
4.0,5.0,381.8,4.0,5.0,2212.0,4.0,5.0,1079.0,3.0,5.0,2212.0,3.0,4.0,882.6,3.0,4.0,742.8
4.0,6.0,250.3,4.0,6.0,1540.0,4.0,6.0,714.1,3.0,6.0,2067.0,3.0,6.0,107.7,3.0,5.0,117.5
5.0,2.0,35.8,5.0,1.0,343.4,5.0,1.0,54.5,5.0,1.0,1262.0,4.0,1.0,1016.0,4.0,1.0,789.5
5.0,3.0,16.1,5.0,3.0,415.6,5.0,2.0,166.8,5.0,2.0,2277.0,4.0,2.0,1859.0,4.0,2.0,1331.0
5.0,4.0,167.5,5.0,4.0,1859.0,5.0,4.0,501.9,5.0,3.0,2053.0,4.0,3.0,1579.0,4.0,3.0,1172.0
5.0,6.0,15.2,5.0,6.0,367.1,5.0,6.0,53.0,5.0,6.0,1342.0,4.0,6.0,905.5,4.0,5.0,988.1
6.0,2.0,31.9,6.0,1.0,273.4,6.0,1.0,41.6,6.0,1.0,1083.0,6.0,1.0,53.2,5.0,1.0,75.8
6.0,3.0,14.1,6.0,3.0,355.4,6.0,2.0,123.3,6.0,2.0,1726.0,6.0,2.0,135.0,5.0,2.0,192.3
6.0,4.0,139.0,6.0,4.0,1303.0,6.0,4.0,389.8,6.0,3.0,1707.0,6.0,3.0,86.9,5.0,3.0,116.1
6.0,5.0,20.8,6.0,5.0,414.0,6.0,5.0,56.4,6.0,5.0,1475.0,6.0,4.0,334.6,5.0,4.0,452.7
