1,和田 操拓,和田 操拓.1,2,大久保信一郎,大久保信一郎.1,3,藤森 陸斗,藤森 陸斗.1,4,中野 希一,中野 希一.1,5,上之 晃弘,上之 晃弘.1,6,吉永 則雄,吉永 則雄.1
2.0,3.0,24.1,1.0,3.0,74.9,1.0,2.0,107.9,1.0,2.0,46.8,1.0,2.0,287.9,1.0,2.0,62.0
2.0,4.0,17.1,1.0,4.0,58.4,1.0,4.0,88.4,1.0,3.0,73.0,1.0,3.0,369.0,1.0,3.0,96.0
2.0,5.0,109.6,1.0,5.0,225.9,1.0,5.0,268.2,1.0,5.0,112.1,1.0,4.0,249.1,1.0,4.0,48.0
2.0,6.0,17.2,1.0,6.0,59.3,1.0,6.0,77.0,1.0,6.0,32.1,1.0,6.0,250.2,1.0,5.0,207.8
3.0,2.0,26.4,3.0,1.0,163.9,2.0,1.0,162.8,2.0,1.0,76.0,2.0,1.0,421.8,2.0,1.0,148.3
3.0,4.0,19.3,3.0,4.0,229.9,2.0,4.0,197.1,2.0,3.0,164.0,2.0,3.0,717.2,2.0,3.0,307.6
3.0,5.0,98.9,3.0,5.0,588.5,2.0,5.0,590.5,2.0,5.0,247.6,2.0,4.0,627.5,2.0,4.0,159.0
3.0,6.0,19.2,3.0,6.0,201.9,2.0,6.0,183.4,2.0,6.0,74.5,2.0,6.0,544.8,2.0,5.0,591.9
4.0,2.0,17.8,4.0,1.0,108.8,4.0,1.0,125.6,3.0,1.0,134.0,3.0,1.0,576.2,3.0,1.0,214.3
4.0,3.0,21.8,4.0,3.0,218.7,4.0,2.0,176.7,3.0,2.0,181.5,3.0,2.0,860.5,3.0,2.0,327.1
4.0,5.0,68.4,4.0,5.0,554.7,4.0,5.0,380.0,3.0,5.0,411.2,3.0,4.0,913.2,3.0,4.0,223.8
4.0,6.0,11.1,4.0,6.0,128.1,4.0,6.0,106.0,3.0,6.0,115.8,3.0,6.0,687.9,3.0,5.0,504.8
5.0,2.0,183.6,5.0,1.0,678.1,5.0,1.0,712.3,5.0,1.0,174.5,4.0,1.0,312.0,4.0,1.0,64.3
5.0,3.0,206.8,5.0,3.0,937.8,5.0,2.0,755.7,5.0,2.0,285.8,4.0,2.0,545.4,4.0,2.0,114.1
5.0,4.0,163.0,5.0,4.0,1018.0,5.0,4.0,791.2,5.0,3.0,395.9,4.0,3.0,699.9,4.0,3.0,162.9
5.0,6.0,155.7,5.0,6.0,834.3,5.0,6.0,590.5,5.0,6.0,156.8,4.0,6.0,329.0,4.0,5.0,206.7
6.0,2.0,18.7,6.0,1.0,121.6,6.0,1.0,126.7,6.0,1.0,38.2,6.0,1.0,371.6,5.0,1.0,430.6
6.0,3.0,24.7,6.0,3.0,252.1,6.0,2.0,209.0,6.0,2.0,62.4,6.0,2.0,619.3,5.0,2.0,699.0
6.0,4.0,15.1,6.0,4.0,157.5,6.0,4.0,147.8,6.0,3.0,95.8,6.0,3.0,646.1,5.0,3.0,759.0
6.0,5.0,77.2,6.0,5.0,565.5,6.0,5.0,411.5,6.0,5.0,105.9,6.0,4.0,404.8,5.0,4.0,375.1
