1,菅 章哉,菅 章哉.1,2,三苫 晃幸,三苫 晃幸.1,3,貫地谷　直人,貫地谷　直人.1,4,樋口　由加里,樋口　由加里.1,5,伏田 裕隆,伏田 裕隆.1,6,杉村 賢也,杉村 賢也.1
2.0,3.0,10.2,1.0,3.0,66.5,1.0,2.0,349.2,1.0,2.0,64.3,1.0,2.0,59.3,1.0,2.0,222.5
2.0,4.0,4.4,1.0,4.0,26.4,1.0,4.0,435.5,1.0,3.0,216.2,1.0,3.0,155.9,1.0,3.0,633.6
2.0,5.0,9.6,1.0,5.0,44.9,1.0,5.0,568.9,1.0,5.0,104.2,1.0,4.0,100.0,1.0,4.0,377.4
2.0,6.0,17.0,1.0,6.0,69.7,1.0,6.0,752.4,1.0,6.0,112.3,1.0,6.0,76.2,1.0,5.0,349.9
3.0,2.0,33.2,3.0,1.0,241.8,2.0,1.0,504.1,2.0,1.0,101.8,2.0,1.0,93.0,2.0,1.0,291.9
3.0,4.0,48.8,3.0,4.0,337.2,2.0,4.0,614.5,2.0,3.0,418.6,2.0,3.0,292.1,2.0,3.0,918.5
3.0,5.0,71.9,3.0,5.0,499.0,2.0,5.0,836.2,2.0,5.0,223.9,2.0,4.0,184.5,2.0,4.0,525.6
3.0,6.0,104.4,3.0,6.0,581.4,2.0,6.0,1158.0,2.0,6.0,232.8,2.0,6.0,128.1,2.0,5.0,539.6
4.0,2.0,9.7,4.0,1.0,76.8,4.0,1.0,790.2,3.0,1.0,544.7,3.0,1.0,474.3,3.0,1.0,1190.0
4.0,3.0,39.1,4.0,3.0,259.4,4.0,2.0,856.9,3.0,2.0,872.1,3.0,2.0,597.5,3.0,2.0,1718.0
4.0,5.0,24.1,4.0,5.0,187.8,4.0,5.0,1328.0,3.0,5.0,1151.0,3.0,4.0,668.0,3.0,4.0,2068.0
4.0,6.0,31.3,4.0,6.0,203.2,4.0,6.0,1246.0,3.0,6.0,1283.0,3.0,6.0,505.6,3.0,5.0,1451.0
5.0,2.0,23.0,5.0,1.0,178.9,5.0,1.0,1147.0,5.0,1.0,149.6,4.0,1.0,164.8,4.0,1.0,531.3
5.0,3.0,69.4,5.0,3.0,543.8,5.0,2.0,1421.0,5.0,2.0,213.3,4.0,2.0,227.8,4.0,2.0,638.3
5.0,4.0,40.9,5.0,4.0,297.7,5.0,4.0,1652.0,5.0,3.0,630.2,4.0,3.0,494.7,4.0,3.0,1508.0
5.0,6.0,58.1,5.0,6.0,360.5,5.0,6.0,1139.0,5.0,6.0,235.2,4.0,6.0,237.8,4.0,5.0,1027.0
6.0,2.0,53.2,6.0,1.0,225.5,6.0,1.0,1598.0,6.0,1.0,234.7,6.0,1.0,114.6,5.0,1.0,377.4
6.0,3.0,131.0,6.0,3.0,697.6,6.0,2.0,2257.0,6.0,2.0,331.7,6.0,2.0,134.5,5.0,2.0,481.6
6.0,4.0,77.4,6.0,4.0,413.1,6.0,4.0,2158.0,6.0,3.0,954.0,6.0,3.0,302.4,5.0,3.0,918.5
6.0,5.0,96.0,6.0,5.0,430.6,6.0,5.0,1718.0,6.0,5.0,361.6,6.0,4.0,255.6,5.0,4.0,799.4
