1,芦澤 望,芦澤 望.1,2,大神 康司,大神 康司.1,3,北中 元樹,北中 元樹.1,4,坂元 浩仁,坂元 浩仁.1,5,藤森 陸斗,藤森 陸斗.1,6,山戸 信二,山戸 信二.1
2.0,3.0,10.5,1.0,3.0,32.6,1.0,2.0,101.7,1.0,2.0,26.5,1.0,2.0,440.3,1.0,2.0,2175.0
2.0,4.0,5.1,1.0,4.0,15.5,1.0,4.0,62.8,1.0,3.0,42.0,1.0,3.0,582.3,1.0,3.0,2842.0
2.0,5.0,29.9,1.0,5.0,74.2,1.0,5.0,212.8,1.0,5.0,73.5,1.0,4.0,393.2,1.0,4.0,1993.0
2.0,6.0,96.8,1.0,6.0,161.3,1.0,6.0,464.5,1.0,6.0,136.3,1.0,6.0,825.0,1.0,5.0,3417.0
3.0,2.0,19.1,3.0,1.0,98.6,2.0,1.0,159.2,2.0,1.0,39.7,2.0,1.0,585.9,2.0,1.0,2683.0
3.0,4.0,13.8,3.0,4.0,112.6,2.0,4.0,144.5,2.0,3.0,98.1,2.0,3.0,1083.0,2.0,3.0,2658.0
3.0,5.0,50.0,3.0,5.0,290.0,2.0,5.0,333.4,2.0,5.0,129.3,2.0,4.0,673.9,2.0,4.0,2175.0
3.0,6.0,151.4,3.0,6.0,656.9,2.0,6.0,672.3,2.0,6.0,223.6,2.0,6.0,1305.0,2.0,5.0,3054.0
4.0,2.0,6.1,4.0,1.0,31.0,4.0,1.0,107.3,3.0,1.0,90.5,3.0,1.0,1029.0,3.0,1.0,4350.0
4.0,3.0,11.8,4.0,3.0,70.1,4.0,2.0,152.0,3.0,2.0,133.1,3.0,2.0,1487.0,3.0,2.0,5316.0
4.0,5.0,26.7,4.0,5.0,136.3,4.0,5.0,283.4,3.0,5.0,271.8,3.0,4.0,1414.0,3.0,4.0,4043.0
4.0,6.0,65.7,4.0,6.0,265.3,4.0,6.0,600.6,3.0,6.0,513.6,3.0,6.0,2296.0,3.0,5.0,3879.0
5.0,2.0,80.1,5.0,1.0,288.8,5.0,1.0,570.7,5.0,1.0,125.7,4.0,1.0,423.4,4.0,1.0,2080.0
5.0,3.0,114.8,5.0,3.0,561.8,5.0,2.0,712.4,5.0,2.0,157.3,4.0,2.0,553.1,4.0,2.0,2900.0
5.0,4.0,94.4,5.0,4.0,407.8,5.0,4.0,626.8,5.0,3.0,326.6,4.0,3.0,900.0,4.0,3.0,3680.0
5.0,6.0,240.8,5.0,6.0,1186.0,5.0,6.0,1153.0,5.0,6.0,249.0,4.0,6.0,799.7,4.0,5.0,3300.0
6.0,2.0,300.0,6.0,1.0,691.8,6.0,1.0,1551.0,6.0,1.0,383.8,6.0,1.0,1640.0,5.0,1.0,4101.0
6.0,3.0,384.8,6.0,3.0,1281.0,6.0,2.0,1511.0,6.0,2.0,463.0,6.0,2.0,1783.0,5.0,2.0,3634.0
6.0,4.0,288.8,6.0,4.0,1000.0,6.0,4.0,1595.0,6.0,3.0,820.2,6.0,3.0,1852.0,5.0,3.0,5220.0
6.0,5.0,447.8,6.0,5.0,1519.0,6.0,5.0,1817.0,6.0,5.0,425.3,6.0,4.0,1719.0,5.0,4.0,3300.0
