1,角浜 修,角浜 修.1,2,加藤 翔,加藤 翔.1,3,中嶋 達也,中嶋 達也.1,4,海老澤　泰行,海老澤　泰行.1,5,植田 太一,植田 太一.1,6,池上 隆行,池上 隆行.1
2.0,3.0,16.7,1.0,3.0,54.0,1.0,2.0,65.6,1.0,2.0,76.3,1.0,2.0,90.8,1.0,2.0,1240.0
2.0,4.0,18.6,1.0,4.0,59.8,1.0,4.0,39.9,1.0,3.0,58.0,1.0,3.0,90.0,1.0,3.0,1404.0
2.0,5.0,18.2,1.0,5.0,54.3,1.0,5.0,43.7,1.0,5.0,40.9,1.0,4.0,90.5,1.0,4.0,1273.0
2.0,6.0,107.0,1.0,6.0,213.7,1.0,6.0,169.9,1.0,6.0,127.5,1.0,6.0,206.3,1.0,5.0,1647.0
3.0,2.0,18.2,3.0,1.0,121.3,2.0,1.0,144.7,2.0,1.0,131.4,2.0,1.0,158.4,2.0,1.0,1540.0
3.0,4.0,11.7,3.0,4.0,156.8,2.0,4.0,98.9,2.0,3.0,153.8,2.0,3.0,172.4,2.0,3.0,2894.0
3.0,5.0,16.0,3.0,5.0,142.7,2.0,5.0,127.3,2.0,5.0,109.4,2.0,4.0,151.1,2.0,4.0,1073.0
3.0,6.0,87.3,3.0,6.0,536.6,2.0,6.0,492.4,2.0,6.0,329.4,2.0,6.0,341.1,2.0,5.0,2449.0
4.0,2.0,22.6,4.0,1.0,119.7,4.0,1.0,59.4,3.0,1.0,81.3,3.0,1.0,144.3,3.0,1.0,1949.0
4.0,3.0,15.6,4.0,3.0,169.9,4.0,2.0,89.6,3.0,2.0,148.8,3.0,2.0,178.5,3.0,2.0,1705.0
4.0,5.0,17.1,4.0,5.0,125.2,4.0,5.0,50.1,3.0,5.0,69.5,3.0,4.0,154.5,3.0,4.0,1404.0
4.0,6.0,74.5,4.0,6.0,612.3,4.0,6.0,216.1,3.0,6.0,263.8,3.0,6.0,355.1,3.0,5.0,1647.0
5.0,2.0,35.5,5.0,1.0,149.2,5.0,1.0,85.9,5.0,1.0,45.0,4.0,1.0,89.6,4.0,1.0,1516.0
5.0,3.0,32.5,5.0,3.0,175.9,5.0,2.0,130.6,5.0,2.0,80.6,4.0,2.0,123.7,4.0,2.0,2032.0
5.0,4.0,34.3,5.0,4.0,148.3,5.0,4.0,74.6,5.0,3.0,69.7,4.0,3.0,113.8,4.0,3.0,1540.0
5.0,6.0,140.9,5.0,6.0,428.3,5.0,6.0,240.6,5.0,6.0,86.7,4.0,6.0,192.2,4.0,5.0,1110.0
6.0,2.0,307.1,6.0,1.0,712.9,6.0,1.0,600.8,6.0,1.0,310.1,6.0,1.0,448.5,5.0,1.0,1802.0
6.0,3.0,307.1,6.0,3.0,1290.0,6.0,2.0,816.5,6.0,2.0,542.7,6.0,2.0,565.2,5.0,2.0,2729.0
6.0,4.0,357.7,6.0,4.0,1384.0,6.0,4.0,620.3,6.0,3.0,555.4,6.0,3.0,649.8,5.0,3.0,1769.0
6.0,5.0,286.8,6.0,5.0,789.5,6.0,5.0,555.4,6.0,5.0,257.4,6.0,4.0,461.5,5.0,4.0,1209.0
