1,内田 圭,内田 圭.1,2,伊藤 将吉,伊藤 将吉.1,3,佐藤 旭,佐藤 旭.1,4,藤丸 光一,藤丸 光一.1,5,川崎 公靖,川崎 公靖.1,6,松田　大志郎,松田　大志郎.1
2.0,3.0,24.9,1.0,3.0,21.8,1.0,2.0,67.5,1.0,2.0,101.2,1.0,2.0,617.8,1.0,2.0,94.2
2.0,4.0,27.4,1.0,4.0,36.8,1.0,4.0,202.3,1.0,3.0,162.5,1.0,3.0,700.7,1.0,3.0,178.2
2.0,5.0,71.7,1.0,5.0,68.8,1.0,5.0,197.0,1.0,5.0,322.0,1.0,4.0,995.8,1.0,4.0,204.5
2.0,6.0,19.0,1.0,6.0,15.8,1.0,6.0,78.9,1.0,6.0,126.4,1.0,6.0,591.2,1.0,5.0,454.5
3.0,2.0,41.2,3.0,1.0,26.7,2.0,1.0,63.8,2.0,1.0,103.8,2.0,1.0,534.8,2.0,1.0,76.3
3.0,4.0,79.1,3.0,4.0,38.8,2.0,4.0,92.0,2.0,3.0,132.8,2.0,3.0,450.4,2.0,3.0,65.9
3.0,5.0,126.0,3.0,5.0,43.4,2.0,5.0,80.5,2.0,5.0,209.6,2.0,4.0,630.6,2.0,4.0,84.4
3.0,6.0,55.7,3.0,6.0,12.9,2.0,6.0,32.7,2.0,6.0,93.7,2.0,6.0,315.3,2.0,5.0,160.0
4.0,2.0,41.2,4.0,1.0,68.8,4.0,1.0,307.0,3.0,1.0,275.7,3.0,1.0,800.8,3.0,1.0,231.7
4.0,3.0,75.3,4.0,3.0,66.7,4.0,2.0,176.0,3.0,2.0,205.3,3.0,2.0,598.2,3.0,2.0,99.8
4.0,5.0,167.2,4.0,5.0,135.0,4.0,5.0,468.6,3.0,5.0,499.5,3.0,4.0,1240.0,3.0,4.0,234.3
4.0,6.0,46.6,4.0,6.0,38.2,4.0,6.0,173.9,3.0,6.0,216.5,3.0,6.0,516.5,3.0,5.0,235.3
5.0,2.0,181.4,5.0,1.0,128.9,5.0,1.0,246.5,5.0,1.0,625.4,4.0,1.0,982.8,4.0,1.0,314.0
5.0,3.0,226.9,5.0,3.0,81.6,5.0,2.0,183.2,5.0,2.0,426.3,4.0,2.0,951.9,4.0,2.0,154.2
5.0,4.0,363.8,5.0,4.0,145.4,5.0,4.0,458.6,5.0,3.0,780.2,4.0,3.0,1261.0,4.0,3.0,291.0
5.0,6.0,214.3,5.0,6.0,57.7,5.0,6.0,148.8,5.0,6.0,615.2,4.0,6.0,850.3,4.0,5.0,560.6
6.0,2.0,52.0,6.0,1.0,26.3,6.0,1.0,130.2,6.0,1.0,246.5,6.0,1.0,646.8,5.0,1.0,628.0
6.0,3.0,79.5,6.0,3.0,17.5,6.0,2.0,54.0,6.0,2.0,162.2,6.0,2.0,392.1,5.0,2.0,311.4
6.0,4.0,81.5,6.0,4.0,31.7,6.0,4.0,143.3,6.0,3.0,296.2,6.0,3.0,536.7,5.0,3.0,368.2
6.0,5.0,181.2,6.0,5.0,49.3,6.0,5.0,128.9,6.0,5.0,467.1,6.0,4.0,874.9,5.0,4.0,860.0
