1,花田 和明,花田 和明.1,2,溝口　海義也,溝口　海義也.1,3,荻野 裕介,荻野 裕介.1,4,林 恵祐,林 恵祐.1,5,高濱 芳久,高濱 芳久.1,6,正木 聖賢,正木 聖賢.1
2.0,3.0,27.2,1.0,3.0,31.9,1.0,2.0,72.0,1.0,2.0,252.3,1.0,2.0,61.7,1.0,2.0,69.9
2.0,4.0,73.7,1.0,4.0,59.3,1.0,4.0,159.3,1.0,3.0,365.8,1.0,3.0,79.4,1.0,3.0,158.3
2.0,5.0,20.1,1.0,5.0,18.5,1.0,5.0,136.2,1.0,5.0,394.0,1.0,4.0,341.3,1.0,4.0,296.8
2.0,6.0,16.0,1.0,6.0,14.2,1.0,6.0,117.8,1.0,6.0,343.1,1.0,6.0,89.0,1.0,5.0,160.7
3.0,2.0,42.1,3.0,1.0,67.3,2.0,1.0,95.7,2.0,1.0,243.1,2.0,1.0,87.0,2.0,1.0,53.8
3.0,4.0,224.7,3.0,4.0,89.6,2.0,4.0,117.6,2.0,3.0,279.9,2.0,3.0,73.3,2.0,3.0,115.1
3.0,5.0,73.8,3.0,5.0,63.8,2.0,5.0,99.0,2.0,5.0,238.1,2.0,4.0,187.7,2.0,4.0,149.4
3.0,6.0,84.4,3.0,6.0,60.9,2.0,6.0,87.8,2.0,6.0,201.0,2.0,6.0,70.8,2.0,5.0,79.3
4.0,2.0,177.3,4.0,1.0,162.0,4.0,1.0,162.0,3.0,1.0,338.6,3.0,1.0,129.2,3.0,1.0,218.9
4.0,3.0,284.9,4.0,3.0,151.0,4.0,2.0,114.9,3.0,2.0,248.8,3.0,2.0,94.8,3.0,2.0,151.4
4.0,5.0,327.3,4.0,5.0,115.6,4.0,5.0,176.5,3.0,5.0,306.8,3.0,4.0,237.2,3.0,4.0,312.1
4.0,6.0,249.8,4.0,6.0,88.1,4.0,6.0,205.9,3.0,6.0,401.4,3.0,6.0,111.7,3.0,5.0,227.5
5.0,2.0,31.7,5.0,1.0,40.4,5.0,1.0,175.3,5.0,1.0,485.4,4.0,1.0,572.4,4.0,1.0,531.9
5.0,3.0,52.9,5.0,3.0,53.3,5.0,2.0,116.4,5.0,2.0,356.6,4.0,2.0,329.0,4.0,2.0,267.0
5.0,4.0,184.2,5.0,4.0,98.9,5.0,4.0,186.9,5.0,3.0,332.4,4.0,3.0,306.1,4.0,3.0,419.9
5.0,6.0,49.0,5.0,6.0,33.2,5.0,6.0,139.9,5.0,6.0,476.3,4.0,6.0,421.3,4.0,5.0,487.2
6.0,2.0,31.1,6.0,1.0,26.2,6.0,1.0,170.9,6.0,1.0,496.7,6.0,1.0,143.9,5.0,1.0,205.5
6.0,3.0,71.0,6.0,3.0,48.7,6.0,2.0,118.5,6.0,2.0,258.9,6.0,2.0,99.5,5.0,2.0,124.9
6.0,4.0,153.0,6.0,4.0,52.0,6.0,4.0,258.4,6.0,3.0,536.4,6.0,3.0,120.5,5.0,3.0,195.2
6.0,5.0,57.6,6.0,5.0,30.0,6.0,5.0,187.1,6.0,5.0,567.4,6.0,4.0,276.9,5.0,4.0,379.9
