1,井上 遥妃,井上 遥妃.1,2,高濱 芳久,高濱 芳久.1,3,伊藤 玲奈,伊藤 玲奈.1,4,石塚 裕介,石塚 裕介.1,5,片岡 大地,片岡 大地.1,6,橋口 真樹,橋口 真樹.1
2.0,3.0,13.7,1.0,3.0,23.6,1.0,2.0,99.9,1.0,2.0,42.1,1.0,2.0,272.0,1.0,2.0,466.8
2.0,4.0,10.3,1.0,4.0,14.5,1.0,4.0,99.1,1.0,3.0,97.7,1.0,3.0,304.0,1.0,3.0,657.1
2.0,5.0,27.8,1.0,5.0,37.3,1.0,5.0,123.9,1.0,5.0,63.7,1.0,4.0,276.4,1.0,4.0,441.4
2.0,6.0,41.2,1.0,6.0,52.5,1.0,6.0,200.5,1.0,6.0,74.9,1.0,6.0,350.8,1.0,5.0,790.9
3.0,2.0,25.0,3.0,1.0,58.9,2.0,1.0,115.2,2.0,1.0,43.9,2.0,1.0,317.5,2.0,1.0,619.0
3.0,4.0,28.5,3.0,4.0,46.3,2.0,4.0,104.7,2.0,3.0,67.3,2.0,3.0,441.4,2.0,3.0,776.6
3.0,5.0,47.6,3.0,5.0,90.7,2.0,5.0,174.1,2.0,5.0,53.3,2.0,4.0,239.6,2.0,4.0,407.7
3.0,6.0,77.7,3.0,6.0,173.4,2.0,6.0,256.1,2.0,6.0,64.9,2.0,6.0,376.3,2.0,5.0,717.8
4.0,2.0,17.4,4.0,1.0,26.8,4.0,1.0,132.0,3.0,1.0,187.9,3.0,1.0,492.3,3.0,1.0,1041.0
4.0,3.0,30.8,4.0,3.0,38.5,4.0,2.0,117.8,3.0,2.0,139.2,3.0,2.0,573.3,3.0,2.0,1186.0
4.0,5.0,39.0,4.0,5.0,45.4,4.0,5.0,162.2,3.0,5.0,182.7,3.0,4.0,595.3,3.0,4.0,1067.0
4.0,6.0,50.7,4.0,6.0,65.8,4.0,6.0,241.3,3.0,6.0,252.7,3.0,6.0,825.3,3.0,5.0,1581.0
5.0,2.0,78.1,5.0,1.0,122.2,5.0,1.0,223.6,5.0,1.0,63.1,4.0,1.0,234.6,4.0,1.0,502.5
5.0,3.0,100.6,5.0,3.0,185.1,5.0,2.0,272.4,5.0,2.0,56.6,4.0,2.0,202.4,4.0,2.0,430.3
5.0,4.0,86.2,5.0,4.0,105.5,5.0,4.0,272.0,5.0,3.0,140.0,4.0,3.0,419.7,4.0,3.0,1023.0
5.0,6.0,128.2,5.0,6.0,225.4,5.0,6.0,369.0,5.0,6.0,59.2,4.0,6.0,205.6,4.0,5.0,601.5
6.0,2.0,154.6,6.0,1.0,202.4,6.0,1.0,446.0,6.0,1.0,118.8,6.0,1.0,510.0,5.0,1.0,845.8
6.0,3.0,213.0,6.0,3.0,327.3,6.0,2.0,486.7,6.0,2.0,117.5,6.0,2.0,517.7,5.0,2.0,938.7
6.0,4.0,152.2,6.0,4.0,196.1,6.0,4.0,551.1,6.0,3.0,232.1,6.0,3.0,769.6,5.0,3.0,1435.0
6.0,5.0,209.1,6.0,5.0,343.0,6.0,5.0,672.6,6.0,5.0,113.5,6.0,4.0,392.7,5.0,4.0,667.3
