1,溝口　海義也,溝口　海義也.1,2,黒野 元基,黒野 元基.1,3,石川 吉鎬,石川 吉鎬.1,4,小野 信樹,小野 信樹.1,5,土井 歩夢,土井 歩夢.1,6,乙津 康志,乙津 康志.1
2.0,3.0,4.2,1.0,3.0,19.6,1.0,2.0,30.5,1.0,2.0,224.8,1.0,2.0,226.9,1.0,2.0,824.3
2.0,4.0,12.4,1.0,4.0,41.4,1.0,4.0,46.6,1.0,3.0,199.3,1.0,3.0,236.5,1.0,3.0,1099.0
2.0,5.0,12.4,1.0,5.0,47.0,1.0,5.0,49.9,1.0,5.0,297.6,1.0,4.0,402.7,1.0,4.0,1578.0
2.0,6.0,43.8,1.0,6.0,113.8,1.0,6.0,149.0,1.0,6.0,543.3,1.0,6.0,576.8,1.0,5.0,1698.0
3.0,2.0,5.9,3.0,1.0,54.3,2.0,1.0,59.5,2.0,1.0,360.4,2.0,1.0,336.6,2.0,1.0,1132.0
3.0,4.0,11.1,3.0,4.0,175.9,2.0,4.0,205.1,2.0,3.0,539.8,2.0,3.0,564.2,2.0,3.0,1779.0
3.0,5.0,12.8,3.0,5.0,179.4,2.0,5.0,180.3,2.0,5.0,724.8,2.0,4.0,1188.0,2.0,4.0,2627.0
3.0,6.0,49.3,3.0,6.0,324.3,2.0,6.0,376.6,2.0,6.0,1227.0,2.0,6.0,1283.0,2.0,5.0,2437.0
4.0,2.0,33.2,4.0,1.0,191.3,4.0,1.0,126.7,3.0,1.0,271.6,3.0,1.0,402.2,3.0,1.0,1413.0
4.0,3.0,32.8,4.0,3.0,330.6,4.0,2.0,258.7,3.0,2.0,570.9,3.0,2.0,849.2,3.0,2.0,2142.0
4.0,5.0,65.4,4.0,5.0,561.4,4.0,5.0,238.0,3.0,5.0,597.3,3.0,4.0,958.1,3.0,4.0,2567.0
4.0,6.0,165.1,4.0,6.0,906.5,4.0,6.0,524.6,3.0,6.0,1128.0,3.0,6.0,947.3,3.0,5.0,1514.0
5.0,2.0,36.5,5.0,1.0,239.5,5.0,1.0,147.1,5.0,1.0,426.7,4.0,1.0,696.3,4.0,1.0,1978.0
5.0,3.0,37.3,5.0,3.0,363.9,5.0,2.0,260.3,5.0,2.0,715.5,4.0,2.0,1236.0,4.0,2.0,2169.0
5.0,4.0,98.1,5.0,4.0,834.5,5.0,4.0,353.6,5.0,3.0,682.1,4.0,3.0,969.2,4.0,3.0,2756.0
5.0,6.0,182.8,5.0,6.0,894.4,5.0,6.0,406.1,5.0,6.0,771.3,4.0,6.0,1288.0,4.0,5.0,2627.0
6.0,2.0,236.3,6.0,1.0,665.9,6.0,1.0,575.8,6.0,1.0,1143.0,6.0,1.0,1329.0,5.0,1.0,2038.0
6.0,3.0,222.1,6.0,3.0,1091.0,6.0,2.0,734.3,6.0,2.0,1308.0,6.0,2.0,1779.0,5.0,2.0,2690.0
6.0,4.0,421.4,6.0,4.0,1468.0,6.0,4.0,1013.0,6.0,3.0,1419.0,6.0,3.0,1099.0,5.0,3.0,1419.0
6.0,5.0,402.2,6.0,5.0,1481.0,6.0,5.0,690.5,6.0,5.0,1350.0,6.0,4.0,1578.0,5.0,4.0,2734.0
