1,後藤 浩,後藤 浩.1,2,篠原 飛翔,篠原 飛翔.1,3,貫地谷　直人,貫地谷　直人.1,4,樋口 亮,樋口 亮.1,5,山室 展弘,山室 展弘.1,6,木村 仁紀,木村 仁紀.1
2.0,3.0,72.2,1.0,3.0,73.0,1.0,2.0,272.2,1.0,2.0,78.1,1.0,2.0,68.6,1.0,2.0,221.2
2.0,4.0,35.0,1.0,4.0,33.0,1.0,4.0,239.7,1.0,3.0,186.6,1.0,3.0,172.4,1.0,3.0,440.2
2.0,5.0,36.7,1.0,5.0,62.9,1.0,5.0,324.1,1.0,5.0,68.5,1.0,4.0,67.9,1.0,4.0,185.8
2.0,6.0,46.4,1.0,6.0,46.6,1.0,6.0,320.5,1.0,6.0,57.9,1.0,6.0,93.1,1.0,5.0,287.2
3.0,2.0,97.6,3.0,1.0,73.9,2.0,1.0,160.0,2.0,1.0,69.0,2.0,1.0,128.9,2.0,1.0,286.3
3.0,4.0,135.0,3.0,4.0,29.6,2.0,4.0,84.5,2.0,3.0,87.9,2.0,3.0,209.1,2.0,3.0,290.1
3.0,5.0,158.2,3.0,5.0,79.4,2.0,5.0,167.9,2.0,5.0,68.9,2.0,4.0,100.3,2.0,4.0,114.3
3.0,6.0,159.1,3.0,6.0,37.1,2.0,6.0,105.8,2.0,6.0,38.0,2.0,6.0,122.2,2.0,5.0,307.2
4.0,2.0,47.4,4.0,1.0,33.9,4.0,1.0,205.2,3.0,1.0,253.5,3.0,1.0,475.7,3.0,1.0,574.5
4.0,3.0,116.8,4.0,3.0,30.1,4.0,2.0,115.9,3.0,2.0,118.7,3.0,2.0,355.3,3.0,2.0,319.4
4.0,5.0,52.6,4.0,5.0,34.8,4.0,5.0,225.7,3.0,5.0,224.0,3.0,4.0,351.1,3.0,4.0,319.4
4.0,6.0,51.7,4.0,6.0,17.4,4.0,6.0,137.3,3.0,6.0,128.0,3.0,6.0,274.7,3.0,5.0,407.7
5.0,2.0,28.0,5.0,1.0,90.2,5.0,1.0,435.8,5.0,1.0,83.7,4.0,1.0,109.3,4.0,1.0,192.3
5.0,3.0,79.0,5.0,3.0,98.4,5.0,2.0,298.9,5.0,2.0,85.2,4.0,2.0,108.5,4.0,2.0,106.0
5.0,4.0,35.5,5.0,4.0,47.4,5.0,4.0,383.0,5.0,3.0,215.2,4.0,3.0,241.7,4.0,3.0,314.8
5.0,6.0,47.2,5.0,6.0,56.0,5.0,6.0,290.1,5.0,6.0,59.9,4.0,6.0,92.0,4.0,5.0,143.8
6.0,2.0,119.2,6.0,1.0,96.1,6.0,1.0,367.1,6.0,1.0,83.2,6.0,1.0,183.9,5.0,1.0,402.1
6.0,3.0,240.4,6.0,3.0,66.3,6.0,2.0,196.1,6.0,2.0,52.0,6.0,2.0,192.3,5.0,2.0,280.0
6.0,4.0,120.5,6.0,4.0,30.0,6.0,4.0,185.5,6.0,3.0,128.0,6.0,3.0,333.9,5.0,3.0,409.6
6.0,5.0,124.2,6.0,5.0,79.1,6.0,5.0,264.1,6.0,5.0,58.7,6.0,4.0,142.9,5.0,4.0,178.3
