1,田村 隆信,田村 隆信.1,2,芝田 浩治,芝田 浩治.1,3,南野 利騰,南野 利騰.1,4,嶋 義信,嶋 義信.1,5,石川 諒,石川 諒.1,6,武井　莉里佳,武井　莉里佳.1
2.0,3.0,5.0,1.0,3.0,20.0,1.0,2.0,134.8,1.0,2.0,93.5,1.0,2.0,569.5,1.0,2.0,90.5
2.0,4.0,5.3,1.0,4.0,19.2,1.0,4.0,174.4,1.0,3.0,212.7,1.0,3.0,857.2,1.0,3.0,151.7
2.0,5.0,22.9,1.0,5.0,64.3,1.0,5.0,349.2,1.0,5.0,204.9,1.0,4.0,634.9,1.0,4.0,261.7
2.0,6.0,19.4,1.0,6.0,36.9,1.0,6.0,276.6,1.0,6.0,174.4,1.0,6.0,710.0,1.0,5.0,525.1
3.0,2.0,13.2,3.0,1.0,65.3,2.0,1.0,203.6,2.0,1.0,122.7,2.0,1.0,753.5,2.0,1.0,125.3
3.0,4.0,20.6,3.0,4.0,82.8,2.0,4.0,274.6,2.0,3.0,304.8,2.0,3.0,1542.0,2.0,3.0,193.7
3.0,5.0,51.8,3.0,5.0,189.7,2.0,5.0,504.7,2.0,5.0,310.6,2.0,4.0,1180.0,2.0,4.0,263.9
3.0,6.0,46.1,3.0,6.0,106.6,2.0,6.0,309.8,2.0,6.0,195.5,2.0,6.0,968.6,2.0,5.0,597.9
4.0,2.0,13.9,4.0,1.0,60.1,4.0,1.0,332.9,3.0,1.0,490.6,3.0,1.0,1708.0,3.0,1.0,316.8
4.0,3.0,27.5,4.0,3.0,93.5,4.0,2.0,357.6,3.0,2.0,508.3,3.0,2.0,2148.0,3.0,2.0,316.8
4.0,5.0,51.9,4.0,5.0,177.8,4.0,5.0,816.0,3.0,5.0,1010.0,3.0,4.0,2510.0,3.0,4.0,848.4
4.0,6.0,48.1,4.0,6.0,104.4,4.0,6.0,518.5,3.0,6.0,637.4,3.0,6.0,2844.0,3.0,5.0,1312.0
5.0,2.0,83.9,5.0,1.0,347.0,5.0,1.0,996.1,5.0,1.0,312.0,4.0,1.0,844.0,4.0,1.0,427.5
5.0,3.0,122.7,5.0,3.0,420.2,5.0,2.0,955.5,5.0,2.0,362.6,4.0,2.0,984.1,4.0,2.0,394.6
5.0,4.0,127.0,5.0,4.0,444.1,5.0,4.0,1252.0,5.0,3.0,842.6,4.0,3.0,1795.0,4.0,3.0,834.0
5.0,6.0,143.1,5.0,6.0,482.4,5.0,6.0,1319.0,5.0,6.0,379.1,4.0,6.0,978.2,4.0,5.0,992.1
6.0,2.0,53.8,6.0,1.0,112.9,6.0,1.0,600.1,6.0,1.0,307.7,6.0,1.0,1477.0,5.0,1.0,994.1
6.0,3.0,101.1,6.0,3.0,181.9,6.0,2.0,515.8,6.0,2.0,287.7,6.0,2.0,1155.0,5.0,2.0,984.1
6.0,4.0,108.0,6.0,4.0,175.1,6.0,4.0,863.3,6.0,3.0,654.3,6.0,3.0,2278.0,5.0,3.0,1518.0
6.0,5.0,177.2,6.0,5.0,420.9,6.0,5.0,1315.0,6.0,5.0,510.4,6.0,4.0,1426.0,5.0,4.0,1271.0
