1,渡辺 真至,渡辺 真至.1,2,浦田 晃嗣,浦田 晃嗣.1,3,佐々木　完太,佐々木　完太.1,4,倉田 茂将,倉田 茂将.1,5,金山 立樹,金山 立樹.1,6,荻野 裕介,荻野 裕介.1
2.0,3.0,12.4,1.0,3.0,96.2,1.0,2.0,29.8,1.0,2.0,243.3,1.0,2.0,249.9,1.0,2.0,953.8
2.0,4.0,25.9,1.0,4.0,186.7,1.0,4.0,22.7,1.0,3.0,114.9,1.0,3.0,148.2,1.0,3.0,444.7
2.0,5.0,24.7,1.0,5.0,182.5,1.0,5.0,19.3,1.0,5.0,164.8,1.0,4.0,281.2,1.0,4.0,1176.0
2.0,6.0,43.5,1.0,6.0,213.5,1.0,6.0,27.5,1.0,6.0,185.9,1.0,6.0,217.1,1.0,5.0,970.0
3.0,2.0,9.1,3.0,1.0,194.6,2.0,1.0,108.9,2.0,1.0,509.5,2.0,1.0,513.1,2.0,1.0,1658.0
3.0,4.0,9.5,3.0,4.0,510.0,2.0,4.0,242.0,2.0,3.0,778.9,2.0,3.0,790.9,2.0,3.0,1481.0
3.0,5.0,8.6,3.0,5.0,440.9,2.0,5.0,217.4,2.0,5.0,960.9,2.0,4.0,1227.0,2.0,4.0,3060.0
3.0,6.0,16.7,3.0,6.0,482.7,2.0,6.0,206.7,2.0,6.0,883.3,2.0,6.0,939.9,2.0,5.0,2570.0
4.0,2.0,31.8,4.0,1.0,509.5,4.0,1.0,78.0,3.0,1.0,189.5,3.0,1.0,211.1,3.0,1.0,530.5
4.0,3.0,16.8,4.0,3.0,737.6,4.0,2.0,234.4,3.0,2.0,559.4,3.0,2.0,549.8,3.0,2.0,1192.0
4.0,5.0,29.5,4.0,5.0,1073.0,4.0,5.0,131.7,3.0,5.0,287.2,3.0,4.0,496.7,3.0,4.0,1253.0
4.0,6.0,41.5,4.0,6.0,1103.0,4.0,6.0,124.7,3.0,6.0,299.9,3.0,6.0,326.6,3.0,5.0,1034.0
5.0,2.0,39.2,5.0,1.0,489.6,5.0,1.0,55.2,5.0,1.0,368.8,4.0,1.0,519.8,4.0,1.0,2040.0
5.0,3.0,22.4,5.0,3.0,763.9,5.0,2.0,154.1,5.0,2.0,900.4,4.0,2.0,1129.0,4.0,2.0,2937.0
5.0,4.0,43.7,5.0,4.0,1278.0,5.0,4.0,127.5,5.0,3.0,433.1,4.0,3.0,638.6,4.0,3.0,1779.0
5.0,6.0,52.9,5.0,6.0,1026.0,5.0,6.0,88.3,5.0,6.0,494.3,4.0,6.0,789.7,4.0,5.0,2570.0
6.0,2.0,120.4,6.0,1.0,990.6,6.0,1.0,98.9,6.0,1.0,591.6,6.0,1.0,522.4,5.0,1.0,1342.0
6.0,3.0,68.1,6.0,3.0,1086.0,6.0,2.0,235.7,6.0,2.0,1278.0,6.0,2.0,1055.0,5.0,2.0,2326.0
6.0,4.0,116.4,6.0,4.0,1947.0,6.0,4.0,193.7,6.0,3.0,602.7,6.0,3.0,550.4,5.0,3.0,1266.0
6.0,5.0,114.4,6.0,5.0,1557.0,6.0,5.0,148.3,6.0,5.0,748.3,6.0,4.0,1014.0,5.0,4.0,2107.0
