1,前田 聖文,前田 聖文.1,2,松尾 充,松尾 充.1,3,前沢 丈史,前沢 丈史.1,4,吉永 浩則,吉永 浩則.1,5,中尾 彩香,中尾 彩香.1,6,中村 守成,中村 守成.1
2.0,3.0,3.0,1.0,3.0,16.2,1.0,2.0,31.6,1.0,2.0,378.4,1.0,2.0,680.2,1.0,2.0,1626.0
2.0,4.0,11.7,1.0,4.0,54.4,1.0,4.0,52.2,1.0,3.0,324.3,1.0,3.0,616.6,1.0,3.0,1487.0
2.0,5.0,18.4,1.0,5.0,87.0,1.0,5.0,81.7,1.0,5.0,848.6,1.0,4.0,1299.0,1.0,4.0,1953.0
2.0,6.0,39.2,1.0,6.0,124.4,1.0,6.0,141.3,1.0,6.0,731.4,1.0,6.0,1235.0,1.0,5.0,2106.0
3.0,2.0,4.6,3.0,1.0,48.0,2.0,1.0,55.2,2.0,1.0,561.2,2.0,1.0,1022.0,2.0,1.0,1689.0
3.0,4.0,9.6,3.0,4.0,177.3,2.0,4.0,190.0,2.0,3.0,760.1,2.0,3.0,1295.0,2.0,3.0,2315.0
3.0,5.0,16.5,3.0,5.0,275.5,2.0,5.0,290.1,2.0,5.0,1319.0,2.0,4.0,2199.0,2.0,4.0,2842.0
3.0,6.0,37.1,3.0,6.0,323.7,2.0,6.0,366.8,2.0,6.0,1193.0,2.0,6.0,2068.0,2.0,5.0,2913.0
4.0,2.0,38.7,4.0,1.0,256.1,4.0,1.0,196.6,3.0,1.0,438.7,3.0,1.0,1001.0,3.0,1.0,1626.0
4.0,3.0,37.1,4.0,3.0,422.2,4.0,2.0,307.5,3.0,2.0,822.7,3.0,2.0,1582.0,3.0,2.0,2797.0
4.0,5.0,112.5,4.0,5.0,745.5,4.0,5.0,500.2,3.0,5.0,1533.0,3.0,4.0,2300.0,3.0,4.0,3121.0
4.0,6.0,146.2,4.0,6.0,710.6,4.0,6.0,573.2,3.0,6.0,1271.0,3.0,6.0,2775.0,3.0,5.0,4113.0
5.0,2.0,93.0,5.0,1.0,512.6,5.0,1.0,414.2,5.0,1.0,1253.0,4.0,1.0,2132.0,4.0,1.0,2411.0
5.0,3.0,85.5,5.0,3.0,809.3,5.0,2.0,639.2,5.0,2.0,1964.0,4.0,2.0,2731.0,4.0,2.0,3604.0
5.0,4.0,199.3,5.0,4.0,1193.0,5.0,4.0,844.5,5.0,3.0,1603.0,4.0,3.0,2533.0,4.0,3.0,2963.0
5.0,6.0,269.7,5.0,6.0,1462.0,5.0,6.0,1124.0,5.0,6.0,1596.0,4.0,6.0,1730.0,4.0,5.0,2669.0
6.0,2.0,226.7,6.0,1.0,652.3,6.0,1.0,638.0,6.0,1.0,1201.0,6.0,1.0,2021.0,5.0,1.0,2497.0
6.0,3.0,237.2,6.0,3.0,984.9,6.0,2.0,1034.0,6.0,2.0,1705.0,6.0,2.0,3298.0,5.0,2.0,3719.0
6.0,4.0,356.0,6.0,4.0,1360.0,6.0,4.0,1096.0,6.0,3.0,1582.0,6.0,3.0,3150.0,5.0,3.0,4162.0
6.0,5.0,400.9,6.0,5.0,1567.0,6.0,5.0,1456.0,6.0,5.0,1840.0,6.0,4.0,2255.0,5.0,4.0,2710.0
