1,渡辺 史之,渡辺 史之.1,2,和合 俊介,和合 俊介.1,3,山田 和佐,山田 和佐.1,4,吉田 祐貴,吉田 祐貴.1,5,小林 甘寧,小林 甘寧.1,6,木山 誠一,木山 誠一.1
2.0,3.0,7.5,1.0,3.0,20.8,1.0,2.0,32.4,1.0,2.0,80.1,1.0,2.0,808.6,1.0,2.0,109.7
2.0,4.0,9.8,1.0,4.0,28.0,1.0,4.0,45.3,1.0,3.0,115.8,1.0,3.0,786.1,1.0,3.0,140.6
2.0,5.0,98.7,1.0,5.0,213.4,1.0,5.0,242.7,1.0,5.0,250.9,1.0,4.0,962.6,1.0,4.0,220.7
2.0,6.0,17.2,1.0,6.0,37.3,1.0,6.0,65.3,1.0,6.0,112.1,1.0,6.0,969.2,1.0,5.0,620.6
3.0,2.0,9.9,3.0,1.0,37.4,2.0,1.0,39.9,2.0,1.0,114.6,2.0,1.0,1096.0,2.0,1.0,202.7
3.0,4.0,14.4,3.0,4.0,57.4,2.0,4.0,55.4,2.0,3.0,146.0,2.0,3.0,975.9,2.0,3.0,336.1
3.0,5.0,104.2,3.0,5.0,361.9,2.0,5.0,340.1,2.0,5.0,365.6,2.0,4.0,1063.0,2.0,4.0,332.9
3.0,6.0,22.4,3.0,6.0,71.6,2.0,6.0,81.9,2.0,6.0,149.5,2.0,6.0,1360.0,2.0,5.0,813.2
4.0,2.0,22.5,4.0,1.0,56.9,4.0,1.0,87.2,3.0,1.0,203.3,3.0,1.0,956.1,3.0,1.0,385.5
4.0,3.0,27.1,4.0,3.0,77.1,4.0,2.0,93.2,3.0,2.0,198.1,3.0,2.0,1347.0,3.0,2.0,390.9
4.0,5.0,152.9,4.0,5.0,351.1,4.0,5.0,496.5,3.0,5.0,760.7,3.0,4.0,1401.0,3.0,4.0,452.1
4.0,6.0,33.9,4.0,6.0,89.5,4.0,6.0,151.9,3.0,6.0,237.0,3.0,6.0,1704.0,3.0,5.0,1105.0
5.0,2.0,363.7,5.0,1.0,733.2,5.0,1.0,559.3,5.0,1.0,587.1,4.0,1.0,1088.0,4.0,1.0,331.4
5.0,3.0,344.3,5.0,3.0,683.6,5.0,2.0,764.9,5.0,2.0,873.5,4.0,2.0,1347.0,4.0,2.0,340.9
5.0,4.0,391.9,5.0,4.0,781.8,5.0,4.0,777.5,5.0,3.0,889.9,4.0,3.0,1429.0,4.0,3.0,422.4
5.0,6.0,419.9,5.0,6.0,658.1,5.0,6.0,907.1,5.0,6.0,550.6,4.0,6.0,1132.0,4.0,5.0,628.9
6.0,2.0,38.3,6.0,1.0,95.4,6.0,1.0,164.9,6.0,1.0,144.9,6.0,1.0,1230.0,5.0,1.0,969.2
6.0,3.0,46.4,6.0,3.0,132.3,6.0,2.0,171.9,6.0,2.0,157.7,6.0,2.0,1373.0,5.0,2.0,1219.0
6.0,4.0,59.4,6.0,4.0,148.7,6.0,4.0,227.8,6.0,3.0,220.0,6.0,3.0,1572.0,5.0,3.0,1189.0
6.0,5.0,258.6,6.0,5.0,529.9,6.0,5.0,690.2,6.0,5.0,366.6,6.0,4.0,1219.0,5.0,4.0,918.8
