1,松山 将吾,松山 将吾.1,2,伏田 裕隆,伏田 裕隆.1,3,宇佐見 淳,宇佐見 淳.1,4,重富 伸也,重富 伸也.1,5,宮本 裕之,宮本 裕之.1,6,樋口　由加里,樋口　由加里.1
2.0,3.0,7.5,1.0,3.0,61.4,1.0,2.0,51.2,1.0,2.0,141.9,1.0,2.0,168.2,1.0,2.0,132.2
2.0,4.0,28.2,1.0,4.0,182.0,1.0,4.0,71.7,1.0,3.0,140.1,1.0,3.0,166.4,1.0,3.0,80.4
2.0,5.0,45.2,1.0,5.0,195.6,1.0,5.0,89.1,1.0,5.0,137.9,1.0,4.0,249.9,1.0,4.0,166.2
2.0,6.0,16.1,1.0,6.0,96.6,1.0,6.0,34.9,1.0,6.0,140.0,1.0,6.0,204.4,1.0,5.0,202.8
3.0,2.0,7.3,3.0,1.0,133.5,2.0,1.0,118.2,2.0,1.0,272.6,2.0,1.0,300.2,2.0,1.0,259.1
3.0,4.0,15.9,3.0,4.0,440.2,2.0,4.0,358.4,2.0,3.0,438.0,2.0,3.0,457.2,2.0,3.0,294.5
3.0,5.0,24.7,3.0,5.0,514.7,2.0,5.0,419.4,2.0,5.0,439.9,2.0,4.0,599.4,2.0,4.0,479.1
3.0,6.0,7.7,3.0,6.0,235.7,2.0,6.0,194.4,2.0,6.0,440.6,2.0,6.0,517.7,2.0,5.0,548.7
4.0,2.0,48.1,4.0,1.0,485.2,4.0,1.0,223.3,3.0,1.0,264.6,3.0,1.0,281.1,3.0,1.0,106.6
4.0,3.0,36.8,4.0,3.0,657.9,4.0,2.0,415.5,3.0,2.0,478.2,3.0,2.0,473.9,3.0,2.0,243.4
4.0,5.0,83.3,4.0,5.0,962.5,4.0,5.0,524.9,3.0,5.0,520.3,3.0,4.0,598.7,3.0,4.0,347.2
4.0,6.0,54.4,4.0,6.0,620.3,4.0,6.0,312.9,3.0,6.0,395.7,3.0,6.0,407.2,3.0,5.0,379.3
5.0,2.0,88.8,5.0,1.0,605.5,5.0,1.0,267.2,5.0,1.0,153.2,4.0,1.0,321.0,4.0,1.0,211.5
5.0,3.0,67.4,5.0,3.0,783.9,5.0,2.0,495.1,5.0,2.0,261.5,4.0,2.0,559.7,4.0,2.0,446.5
5.0,4.0,129.0,5.0,4.0,1077.0,5.0,4.0,610.4,5.0,3.0,269.9,4.0,3.0,542.0,4.0,3.0,372.7
5.0,6.0,88.6,5.0,6.0,908.3,5.0,6.0,363.0,5.0,6.0,223.2,4.0,6.0,475.6,4.0,5.0,334.7
6.0,2.0,21.7,6.0,1.0,258.6,6.0,1.0,74.6,6.0,1.0,190.6,6.0,1.0,364.3,5.0,1.0,371.4
6.0,3.0,14.9,6.0,3.0,300.8,6.0,2.0,170.1,6.0,2.0,361.3,6.0,2.0,631.4,5.0,2.0,654.7
6.0,4.0,46.9,6.0,4.0,538.2,6.0,4.0,213.0,6.0,3.0,373.2,6.0,3.0,502.1,5.0,3.0,521.8
6.0,5.0,55.2,6.0,5.0,706.8,6.0,5.0,248.9,6.0,5.0,291.8,6.0,4.0,508.3,5.0,4.0,503.5
