1,福島 勇樹,福島 勇樹.1,2,宮武 英司,宮武 英司.1,3,横田 茂,横田 茂.1,4,立間 充宏,立間 充宏.1,5,鈴木 猛,鈴木 猛.1,6,黒野 元基,黒野 元基.1
2.0,3.0,11.5,1.0,3.0,48.3,1.0,2.0,115.8,1.0,2.0,57.1,1.0,2.0,282.9,1.0,2.0,118.9
2.0,4.0,7.9,1.0,4.0,34.3,1.0,4.0,132.5,1.0,3.0,145.8,1.0,3.0,436.0,1.0,3.0,294.6
2.0,5.0,23.0,1.0,5.0,75.8,1.0,5.0,176.6,1.0,5.0,92.6,1.0,4.0,320.0,1.0,4.0,130.4
2.0,6.0,10.0,1.0,6.0,37.0,1.0,6.0,121.2,1.0,6.0,49.5,1.0,6.0,284.4,1.0,5.0,280.8
3.0,2.0,19.7,3.0,1.0,151.2,2.0,1.0,191.3,2.0,1.0,94.6,2.0,1.0,496.7,2.0,1.0,189.3
3.0,4.0,25.7,3.0,4.0,236.9,2.0,4.0,255.2,2.0,3.0,312.0,2.0,3.0,893.6,2.0,3.0,432.9
3.0,5.0,49.5,3.0,5.0,318.4,2.0,5.0,299.0,2.0,5.0,225.5,2.0,4.0,786.0,2.0,4.0,259.8
3.0,6.0,28.7,3.0,6.0,188.9,2.0,6.0,184.8,2.0,6.0,115.6,2.0,6.0,626.8,2.0,5.0,481.7
4.0,2.0,14.1,4.0,1.0,89.0,4.0,1.0,242.2,3.0,1.0,359.6,3.0,1.0,783.9,3.0,1.0,616.2
4.0,3.0,33.0,4.0,3.0,252.5,4.0,2.0,309.0,3.0,2.0,458.3,3.0,2.0,1035.0,3.0,2.0,599.5
4.0,5.0,37.8,4.0,5.0,238.1,4.0,5.0,383.0,3.0,5.0,548.7,3.0,4.0,1219.0,3.0,4.0,733.8
4.0,6.0,16.4,4.0,6.0,106.8,4.0,6.0,268.5,3.0,6.0,366.7,3.0,6.0,1103.0,3.0,5.0,1069.0
5.0,2.0,64.3,5.0,1.0,287.6,5.0,1.0,442.0,5.0,1.0,143.4,4.0,1.0,418.5,4.0,1.0,170.9
5.0,3.0,94.8,5.0,3.0,569.4,5.0,2.0,634.3,5.0,2.0,218.3,4.0,2.0,607.9,4.0,2.0,234.5
5.0,4.0,92.1,5.0,4.0,473.4,5.0,4.0,705.8,5.0,3.0,440.1,4.0,3.0,884.0,4.0,3.0,547.0
5.0,6.0,71.4,5.0,6.0,375.2,5.0,6.0,572.9,5.0,6.0,113.1,4.0,6.0,323.6,4.0,5.0,304.6
6.0,2.0,25.2,6.0,1.0,122.9,6.0,1.0,335.8,6.0,1.0,72.9,6.0,1.0,428.8,5.0,1.0,442.0
6.0,3.0,60.6,6.0,3.0,299.2,6.0,2.0,324.5,6.0,2.0,106.0,6.0,2.0,575.5,5.0,2.0,602.6
6.0,4.0,37.2,6.0,4.0,174.7,6.0,4.0,464.4,6.0,3.0,265.8,6.0,3.0,958.8,5.0,3.0,953.7
6.0,5.0,79.0,6.0,5.0,346.9,6.0,5.0,612.8,6.0,5.0,130.2,6.0,4.0,387.7,5.0,4.0,343.9
