1,山下 大輝,山下 大輝.1,2,竹田 広樹,竹田 広樹.1,3,相原 利章,相原 利章.1,4,出畑 孝成,出畑 孝成.1,5,永田 啓二,永田 啓二.1,6,山田 竜一,山田 竜一.1
2.0,3.0,36.2,1.0,3.0,144.8,1.0,2.0,79.9,1.0,2.0,1398.0,1.0,2.0,40.8,1.0,2.0,383.6
2.0,4.0,286.9,1.0,4.0,657.6,1.0,4.0,331.7,1.0,3.0,1093.0,1.0,3.0,15.0,1.0,3.0,236.0
2.0,5.0,30.1,1.0,5.0,114.3,1.0,5.0,23.9,1.0,5.0,1139.0,1.0,4.0,133.4,1.0,4.0,952.4
2.0,6.0,77.7,1.0,6.0,232.6,1.0,6.0,56.6,1.0,6.0,1269.0,1.0,6.0,17.3,1.0,5.0,157.8
3.0,2.0,31.7,3.0,1.0,204.2,2.0,1.0,186.6,2.0,1.0,2254.0,2.0,1.0,92.6,2.0,1.0,566.5
3.0,4.0,169.1,3.0,4.0,1032.0,2.0,4.0,538.9,2.0,3.0,1938.0,2.0,3.0,99.4,2.0,3.0,653.7
3.0,5.0,9.1,3.0,5.0,212.8,2.0,5.0,137.4,2.0,5.0,2301.0,2.0,4.0,610.4,2.0,4.0,2008.0
3.0,6.0,30.2,3.0,6.0,359.8,2.0,6.0,233.0,2.0,6.0,1811.0,2.0,6.0,90.1,2.0,5.0,509.1
4.0,2.0,634.9,4.0,1.0,1381.0,4.0,1.0,1104.0,3.0,1.0,1938.0,3.0,1.0,19.9,3.0,1.0,307.7
4.0,3.0,407.6,4.0,3.0,1811.0,4.0,2.0,1493.0,3.0,2.0,2084.0,3.0,2.0,62.7,3.0,2.0,600.4
4.0,5.0,292.2,4.0,5.0,2166.0,4.0,5.0,898.2,3.0,5.0,1649.0,3.0,4.0,220.5,3.0,4.0,1381.0
4.0,6.0,558.0,4.0,6.0,1841.0,4.0,6.0,1062.0,3.0,6.0,2084.0,3.0,6.0,17.7,3.0,5.0,172.9
5.0,2.0,26.2,5.0,1.0,142.1,5.0,1.0,24.7,5.0,1.0,1299.0,4.0,1.0,420.0,4.0,1.0,2301.0
5.0,3.0,8.7,5.0,3.0,179.6,5.0,2.0,72.7,5.0,2.0,1534.0,4.0,2.0,603.7,4.0,2.0,2511.0
5.0,4.0,142.7,5.0,4.0,1513.0,5.0,4.0,270.1,5.0,3.0,1453.0,4.0,3.0,491.0,4.0,3.0,2401.0
5.0,6.0,14.4,5.0,6.0,261.8,5.0,6.0,30.0,5.0,6.0,986.4,4.0,6.0,343.1,4.0,5.0,1104.0
6.0,2.0,129.9,6.0,1.0,516.2,6.0,1.0,137.2,6.0,1.0,2350.0,6.0,1.0,21.4,5.0,1.0,114.2
6.0,3.0,59.6,6.0,3.0,624.2,6.0,2.0,231.6,6.0,2.0,3682.0,6.0,2.0,51.9,5.0,2.0,276.9
6.0,4.0,356.4,6.0,4.0,1726.0,6.0,4.0,694.8,6.0,3.0,2124.0,6.0,3.0,21.8,5.0,3.0,121.4
6.0,5.0,43.1,6.0,5.0,518.7,6.0,5.0,84.3,6.0,5.0,1624.0,6.0,4.0,113.4,5.0,4.0,452.8
