1,西村 歩,西村 歩.1,2,片岡 恵里,片岡 恵里.1,3,安達 美帆,安達 美帆.1,4,池田 紫乃,池田 紫乃.1,5,平山 智加,平山 智加.1,6,藤田 美代,藤田 美代.1
2.0,3.0,49.1,1.0,3.0,174.8,1.0,2.0,322.4,1.0,2.0,89.3,1.0,2.0,23.0,1.0,2.0,1083.0
2.0,4.0,21.1,1.0,4.0,82.2,1.0,4.0,368.7,1.0,3.0,277.6,1.0,3.0,77.1,1.0,3.0,1936.0
2.0,5.0,9.0,1.0,5.0,42.7,1.0,5.0,236.2,1.0,5.0,37.7,1.0,4.0,24.5,1.0,4.0,1288.0
2.0,6.0,91.2,1.0,6.0,242.8,1.0,6.0,690.6,1.0,6.0,120.8,1.0,6.0,37.9,1.0,5.0,412.4
3.0,2.0,63.6,3.0,1.0,382.2,2.0,1.0,497.6,2.0,1.0,157.1,2.0,1.0,59.0,2.0,1.0,1728.0
3.0,4.0,73.0,3.0,4.0,658.5,2.0,4.0,810.8,2.0,3.0,620.5,2.0,3.0,264.2,2.0,3.0,2928.0
3.0,5.0,35.1,3.0,5.0,426.8,2.0,5.0,582.7,2.0,5.0,98.8,2.0,4.0,82.0,2.0,4.0,2725.0
3.0,6.0,179.9,3.0,6.0,932.4,2.0,6.0,693.3,2.0,6.0,306.5,2.0,6.0,119.6,2.0,5.0,1337.0
4.0,2.0,25.6,4.0,1.0,159.8,4.0,1.0,639.5,3.0,1.0,581.8,3.0,1.0,226.2,3.0,1.0,3615.0
4.0,3.0,78.5,4.0,3.0,548.4,4.0,2.0,1015.0,3.0,2.0,710.0,3.0,2.0,379.3,3.0,2.0,3729.0
4.0,5.0,11.8,4.0,5.0,120.1,4.0,5.0,615.1,3.0,5.0,452.5,3.0,4.0,391.5,3.0,4.0,3440.0
4.0,6.0,81.3,4.0,6.0,444.0,4.0,6.0,1533.0,3.0,6.0,1100.0,3.0,6.0,420.3,3.0,5.0,2684.0
5.0,2.0,7.8,5.0,1.0,68.3,5.0,1.0,315.5,5.0,1.0,27.8,4.0,1.0,31.0,4.0,1.0,1464.0
5.0,3.0,28.4,5.0,3.0,306.2,5.0,2.0,498.3,5.0,2.0,48.2,4.0,2.0,54.1,4.0,2.0,2147.0
5.0,4.0,10.5,5.0,4.0,108.1,5.0,4.0,513.5,5.0,3.0,185.9,4.0,3.0,208.9,4.0,3.0,3280.0
5.0,6.0,24.1,5.0,6.0,220.6,5.0,6.0,739.7,5.0,6.0,40.3,4.0,6.0,46.0,4.0,5.0,637.2
6.0,2.0,253.6,6.0,1.0,785.6,6.0,1.0,1154.0,6.0,1.0,336.1,6.0,1.0,97.3,5.0,1.0,463.1
6.0,3.0,402.1,6.0,3.0,2096.0,6.0,2.0,732.0,6.0,2.0,518.0,6.0,2.0,172.0,5.0,2.0,1073.0
6.0,4.0,252.3,6.0,4.0,1279.0,6.0,4.0,1807.0,6.0,3.0,1000.0,6.0,3.0,326.8,5.0,3.0,2013.0
6.0,5.0,104.5,6.0,5.0,654.9,6.0,5.0,1332.0,6.0,5.0,200.5,6.0,4.0,136.1,5.0,4.0,600.5
