1,瓜生 正義,瓜生 正義.1,2,岡村 慶太,岡村 慶太.1,3,宮地 元輝,宮地 元輝.1,4,山崎 郡,山崎 郡.1,5,下條　雄太郎,下條　雄太郎.1,6,佐藤　隆太郎,佐藤　隆太郎.1
2.0,3.0,13.1,1.0,3.0,74.7,1.0,2.0,83.6,1.0,2.0,83.7,1.0,2.0,121.2,1.0,2.0,614.7
2.0,4.0,11.6,1.0,4.0,63.3,1.0,4.0,56.3,1.0,3.0,99.5,1.0,3.0,150.7,1.0,3.0,665.5
2.0,5.0,17.0,1.0,5.0,68.2,1.0,5.0,55.2,1.0,5.0,57.1,1.0,4.0,125.0,1.0,4.0,619.7
2.0,6.0,33.0,1.0,6.0,117.6,1.0,6.0,93.4,1.0,6.0,83.8,1.0,6.0,145.5,1.0,5.0,760.4
3.0,2.0,16.9,3.0,1.0,171.7,2.0,1.0,226.6,2.0,1.0,183.5,2.0,1.0,249.5,2.0,1.0,1026.0
3.0,4.0,13.4,3.0,4.0,417.7,2.0,4.0,404.9,2.0,3.0,427.6,2.0,3.0,639.6,2.0,3.0,2209.0
3.0,5.0,16.9,3.0,5.0,414.5,2.0,5.0,376.3,2.0,5.0,218.1,2.0,4.0,478.4,2.0,4.0,1685.0
3.0,6.0,30.2,3.0,6.0,637.0,2.0,6.0,521.3,2.0,6.0,279.6,2.0,6.0,484.6,2.0,5.0,1520.0
4.0,2.0,14.7,4.0,1.0,143.1,4.0,1.0,142.8,3.0,1.0,221.6,3.0,1.0,318.1,3.0,1.0,1062.0
4.0,3.0,16.9,4.0,3.0,437.9,4.0,2.0,372.6,3.0,2.0,453.2,3.0,2.0,752.0,3.0,2.0,2055.0
4.0,5.0,15.3,4.0,5.0,311.7,4.0,5.0,203.7,3.0,5.0,282.5,3.0,4.0,672.1,3.0,4.0,1748.0
4.0,6.0,25.0,4.0,6.0,464.6,4.0,6.0,306.8,3.0,6.0,366.1,3.0,6.0,788.8,3.0,5.0,2244.0
5.0,2.0,26.2,5.0,1.0,159.0,5.0,1.0,167.8,5.0,1.0,66.7,4.0,1.0,144.6,4.0,1.0,730.8
5.0,3.0,29.4,5.0,3.0,535.0,5.0,2.0,444.3,5.0,2.0,116.9,4.0,2.0,236.8,4.0,2.0,1328.0
5.0,4.0,28.9,5.0,4.0,426.6,5.0,4.0,334.8,5.0,3.0,180.1,4.0,3.0,344.7,4.0,3.0,1499.0
5.0,6.0,38.5,5.0,6.0,526.8,5.0,6.0,410.4,5.0,6.0,79.4,4.0,6.0,171.9,4.0,5.0,745.4
6.0,2.0,78.9,6.0,1.0,356.1,6.0,1.0,394.1,6.0,1.0,144.4,6.0,1.0,316.6,5.0,1.0,952.5
6.0,3.0,84.9,6.0,3.0,1135.0,6.0,2.0,917.7,6.0,2.0,232.0,6.0,2.0,489.5,5.0,2.0,1279.0
6.0,4.0,75.7,6.0,4.0,997.6,6.0,4.0,709.2,6.0,3.0,332.8,6.0,3.0,719.1,5.0,3.0,1730.0
6.0,5.0,82.5,6.0,5.0,926.6,6.0,5.0,780.9,6.0,5.0,147.1,6.0,4.0,350.7,5.0,4.0,774.2
