1,川上 清人,川上 清人.1,2,赤峰 和也,赤峰 和也.1,3,森林 太,森林 太.1,4,抹香 雄三,抹香 雄三.1,5,今村 暢孝,今村 暢孝.1,6,榎 幸司,榎 幸司.1
2.0,3.0,133.5,1.0,3.0,452.9,1.0,2.0,360.1,1.0,2.0,318.5,1.0,2.0,72.6,1.0,2.0,355.1
2.0,4.0,264.0,1.0,4.0,606.6,1.0,4.0,216.3,1.0,3.0,169.3,1.0,3.0,39.6,1.0,3.0,274.7
2.0,5.0,201.0,1.0,5.0,373.3,1.0,5.0,158.0,1.0,5.0,99.9,1.0,4.0,28.9,1.0,4.0,226.9
2.0,6.0,147.0,1.0,6.0,422.9,1.0,6.0,190.5,1.0,6.0,95.9,1.0,6.0,22.5,1.0,5.0,158.0
3.0,2.0,221.0,3.0,1.0,302.4,2.0,1.0,328.7,2.0,1.0,261.3,2.0,1.0,100.6,2.0,1.0,512.1
3.0,4.0,204.6,3.0,4.0,441.2,2.0,4.0,351.4,2.0,3.0,247.3,2.0,3.0,90.9,2.0,3.0,613.9
3.0,5.0,123.9,3.0,5.0,258.0,2.0,5.0,232.1,2.0,5.0,245.0,2.0,4.0,75.1,2.0,4.0,353.8
3.0,6.0,146.4,3.0,6.0,346.6,2.0,6.0,290.3,2.0,6.0,179.1,2.0,6.0,58.5,2.0,5.0,340.8
4.0,2.0,273.9,4.0,1.0,712.7,4.0,1.0,182.6,3.0,1.0,176.0,3.0,1.0,56.1,3.0,1.0,396.5
4.0,3.0,246.7,4.0,3.0,547.9,4.0,2.0,252.9,3.0,2.0,246.1,3.0,2.0,94.1,3.0,2.0,457.0
4.0,5.0,121.6,4.0,5.0,387.5,4.0,5.0,66.6,3.0,5.0,59.0,3.0,4.0,35.1,3.0,4.0,156.8
4.0,6.0,139.8,4.0,6.0,367.9,4.0,6.0,58.9,3.0,6.0,56.4,3.0,6.0,27.0,3.0,5.0,160.0
5.0,2.0,139.0,5.0,1.0,314.5,5.0,1.0,121.1,5.0,1.0,62.6,4.0,1.0,31.0,4.0,1.0,139.4
5.0,3.0,81.2,5.0,3.0,260.6,5.0,2.0,210.5,5.0,2.0,134.9,4.0,2.0,70.7,4.0,2.0,219.1
5.0,4.0,78.5,5.0,4.0,246.7,5.0,4.0,68.3,5.0,3.0,49.4,4.0,3.0,31.5,4.0,3.0,133.2
5.0,6.0,52.0,5.0,6.0,147.4,5.0,6.0,49.7,5.0,6.0,21.8,4.0,6.0,12.7,4.0,5.0,48.0
6.0,2.0,206.3,6.0,1.0,520.0,6.0,1.0,194.1,6.0,1.0,65.1,6.0,1.0,24.0,5.0,1.0,90.4
6.0,3.0,231.1,6.0,3.0,443.1,6.0,2.0,246.1,6.0,2.0,115.1,6.0,2.0,73.4,5.0,2.0,225.9
6.0,4.0,188.7,6.0,4.0,338.6,6.0,4.0,79.8,6.0,3.0,51.8,6.0,3.0,30.8,5.0,3.0,120.0
6.0,5.0,107.7,6.0,5.0,288.7,6.0,5.0,69.3,6.0,5.0,24.1,6.0,4.0,14.8,5.0,4.0,41.7
