1,西岡 顕心,西岡 顕心.1,2,後藤 隼之,後藤 隼之.1,3,山口 隆史,山口 隆史.1,4,山一 鉄也,山一 鉄也.1,5,石橋 道友,石橋 道友.1,6,関根 彰人,関根 彰人.1
2.0,3.0,21.5,1.0,3.0,72.4,1.0,2.0,124.5,1.0,2.0,63.2,1.0,2.0,73.0,1.0,2.0,887.6
2.0,4.0,11.0,1.0,4.0,44.8,1.0,4.0,117.6,1.0,3.0,122.0,1.0,3.0,111.3,1.0,3.0,1515.0
2.0,5.0,12.7,1.0,5.0,47.7,1.0,5.0,112.5,1.0,5.0,38.5,1.0,4.0,52.7,1.0,4.0,1553.0
2.0,6.0,63.0,1.0,6.0,188.8,1.0,6.0,307.5,1.0,6.0,136.8,1.0,6.0,183.2,1.0,5.0,1242.0
3.0,2.0,25.5,3.0,1.0,141.2,2.0,1.0,183.2,2.0,1.0,80.9,2.0,1.0,102.3,2.0,1.0,1294.0
3.0,4.0,23.0,3.0,4.0,145.1,2.0,4.0,205.7,2.0,3.0,203.0,2.0,3.0,199.1,2.0,3.0,1553.0
3.0,5.0,25.7,3.0,5.0,123.0,2.0,5.0,179.5,2.0,5.0,88.2,2.0,4.0,100.5,2.0,4.0,2301.0
3.0,6.0,94.1,3.0,6.0,288.9,2.0,6.0,363.3,2.0,6.0,188.8,2.0,6.0,227.5,2.0,5.0,1242.0
4.0,2.0,14.8,4.0,1.0,81.5,4.0,1.0,153.7,3.0,1.0,244.6,3.0,1.0,259.9,3.0,1.0,1350.0
4.0,3.0,26.3,4.0,3.0,131.9,4.0,2.0,257.8,3.0,2.0,376.5,3.0,2.0,376.5,3.0,2.0,1635.0
4.0,5.0,12.9,4.0,5.0,71.5,4.0,5.0,145.8,3.0,5.0,183.8,3.0,4.0,315.4,3.0,4.0,2301.0
4.0,6.0,65.5,4.0,6.0,345.1,4.0,6.0,437.5,3.0,6.0,417.0,3.0,6.0,489.2,3.0,5.0,1322.0
5.0,2.0,18.2,5.0,1.0,100.2,5.0,1.0,176.5,5.0,1.0,42.6,4.0,1.0,61.4,4.0,1.0,1444.0
5.0,3.0,33.6,5.0,3.0,143.8,5.0,2.0,230.1,5.0,2.0,53.2,4.0,2.0,83.4,4.0,2.0,2071.0
5.0,4.0,15.3,5.0,4.0,87.1,5.0,4.0,222.7,5.0,3.0,91.9,4.0,3.0,158.1,4.0,3.0,1941.0
5.0,6.0,72.0,5.0,6.0,277.3,5.0,6.0,374.3,5.0,6.0,71.9,4.0,6.0,130.8,4.0,5.0,887.6
6.0,2.0,249.5,6.0,1.0,640.5,6.0,1.0,714.1,6.0,1.0,355.0,6.0,1.0,419.8,5.0,1.0,941.4
6.0,3.0,343.2,6.0,3.0,706.0,6.0,2.0,887.6,6.0,2.0,422.6,6.0,2.0,481.6,5.0,2.0,1129.0
6.0,4.0,214.9,6.0,4.0,706.0,6.0,4.0,776.6,6.0,3.0,615.1,6.0,3.0,615.1,5.0,3.0,1018.0
6.0,5.0,161.8,6.0,5.0,682.7,6.0,5.0,675.3,6.0,5.0,199.1,6.0,4.0,385.9,5.0,4.0,862.9
